datetime,USDKRW,VIX,SPY,DXY,XAUUSD
2025-06-02 09:00:00+00:00,1378.41,19.45,588.59,98.66,3371.97
2025-06-02 10:00:00+00:00,1376.84,18.97,588.55,98.723,3376.09
2025-06-02 11:00:00+00:00,1376.93,18.94,589.39,98.825,3374.7
2025-06-02 12:00:00+00:00,1378.8,18.92,589.84,98.881,3371.83
2025-06-03 09:00:00+00:00,1378.93,18.32,593.835,99.156,3345.94
2025-06-03 10:00:00+00:00,1377.81,17.98,594.96,99.21,3346.48
2025-06-03 11:00:00+00:00,1378.62,17.98,596.055,99.234,3350.43
2025-06-03 12:00:00+00:00,1377.36,17.84,596.745,99.211,3348.69
2025-06-04 09:00:00+00:00,1366.64,17.82,597.58,98.876,3354.74
2025-06-04 10:00:00+00:00,1366.46,17.61,596.97,98.791,3377.65
2025-06-04 11:00:00+00:00,1364.31,17.86,595.91,98.737,3371.97
2025-06-04 12:00:00+00:00,1363.77,17.53,597.318,98.747,3375.08
2025-06-05 09:00:00+00:00,1354.16,18.08,596.15,98.523,3377.63
2025-06-05 10:00:00+00:00,1355.4,17.23,598.68,98.69,3367.92
2025-06-05 11:00:00+00:00,1355.68,17.2,597.9,98.764,3344.55
2025-06-05 12:00:00+00:00,1355.54,17.42,596.46,98.757,3354.6
2025-06-06 09:00:00+00:00,1360.29,17.31,599.145,99.047,3342.52
2025-06-06 10:00:00+00:00,1361.45,17.03,598.49,99.217,3325.95
2025-06-06 11:00:00+00:00,1360.76,16.84,598.59,99.2,3332.16
2025-06-06 12:00:00+00:00,1361.36,17.02,598.23,99.223,3323.06
2025-06-09 09:00:00+00:00,1357.36,17.25,599.75,99.114,3319.66
2025-06-09 10:00:00+00:00,1356.59,17.25,599.215,98.983,3321.03
2025-06-09 11:00:00+00:00,1355.05,17.09,599.8,98.953,3328.64
2025-06-09 12:00:00+00:00,1354.44,16.96,600.825,98.949,3338.07
2025-06-10 09:00:00+00:00,1364.88,17.06,601.19,98.954,3343.6
2025-06-10 10:00:00+00:00,1367.35,17.13,601.1346,99.084,3328.3
2025-06-10 11:00:00+00:00,1368.01,16.94,601.8901,99.094,3326.77
2025-06-10 12:00:00+00:00,1367.15,16.88,601.92,99.094,3321.61
2025-06-11 09:00:00+00:00,1371.47,16.5,604.76,98.757,3329.24
2025-06-11 10:00:00+00:00,1370.6,16.47,604.2,98.64,3337.82
2025-06-11 11:00:00+00:00,1368.58,16.64,603.225,98.615,3333.32
2025-06-11 12:00:00+00:00,1369.09,16.4,604.35,98.57,3330.29
2025-06-12 09:00:00+00:00,1355.04,17.7,602.52,97.921,3392.36
2025-06-12 10:00:00+00:00,1356.21,17.59,602.41,97.996,3383.88
2025-06-12 11:00:00+00:00,1356.86,18.02,602.98,97.969,3386.31
2025-06-12 12:00:00+00:00,1356.55,17.71,602.97,98.0,3384.27
2025-06-13 09:00:00+00:00,1369.63,20.52,596.85,98.19,3437.28
2025-06-13 10:00:00+00:00,1368.73,19.59,600.58,98.043,3428.1
2025-06-13 11:00:00+00:00,1365.14,19.02,600.901,98.034,3426.5
2025-06-13 12:00:00+00:00,1363.23,19.51,599.49,98.161,3430.43
2025-06-16 09:00:00+00:00,1355.66,18.78,604.1,97.739,3387.99
2025-06-16 10:00:00+00:00,1356.58,18.99,603.36,97.895,3397.23
2025-06-16 11:00:00+00:00,1357.57,19.05,603.05,97.925,3404.69
2025-06-16 12:00:00+00:00,1359.06,19.34,603.4,97.975,3399.5
2025-06-17 09:00:00+00:00,1367.58,19.55,601.14,98.346,3390.5
2025-06-17 10:00:00+00:00,1369.68,19.75,600.44,98.469,3385.11
2025-06-17 11:00:00+00:00,1370.58,19.84,601.14,98.446,3379.35
2025-06-17 12:00:00+00:00,1374.39,20.53,598.81,98.617,3383.12
2025-06-18 09:00:00+00:00,1375.84,20.15,600.742,98.701,3392.17
2025-06-18 10:00:00+00:00,1372.03,19.97,600.14,98.508,3387.38
2025-06-18 11:00:00+00:00,1372.43,19.99,599.455,98.607,3392.96
2025-06-18 12:00:00+00:00,1373.52,20.45,598.825,98.678,3391.1
2025-06-20 09:00:00+00:00,1365.53,19.69,596.14,98.795,3370.86
2025-06-20 10:00:00+00:00,1371.96,20.27,595.115,98.727,3369.59
2025-06-20 11:00:00+00:00,1372.63,20.39,594.965,98.679,3370.22
2025-06-20 12:00:00+00:00,1370.48,20.28,593.36,98.624,3371.59
2025-06-23 09:00:00+00:00,1385.79,20.19,597.5974,98.755,3380.79
2025-06-23 10:00:00+00:00,1380.14,20.22,596.43,98.589,3386.57
2025-06-23 11:00:00+00:00,1382.86,20.98,594.24,98.681,3387.5
2025-06-23 12:00:00+00:00,1381.34,20.85,597.88,98.534,3390.05
2025-06-24 09:00:00+00:00,1362.18,18.15,604.625,97.77,3301.68
2025-06-24 10:00:00+00:00,1358.69,17.85,605.78,97.846,3304.58
2025-06-24 11:00:00+00:00,1359.18,17.7,606.5,97.907,3313.33
2025-06-24 12:00:00+00:00,1358.18,17.6,606.35,97.822,3318.69
2025-06-25 09:00:00+00:00,1364.91,17.25,607.73,98.02,3314.49
2025-06-25 10:00:00+00:00,1363.72,17.46,607.17,97.967,3323.48
2025-06-25 11:00:00+00:00,1362.38,17.28,606.95,97.871,3325.92
2025-06-25 12:00:00+00:00,1361.0,17.33,607.02,97.873,3334.94
2025-06-26 09:00:00+00:00,1354.09,16.44,609.95,97.23,3320.18
2025-06-26 10:00:00+00:00,1354.72,16.37,610.05,97.319,3318.7
2025-06-26 11:00:00+00:00,1355.8,16.38,610.89,97.106,3324.96
2025-06-26 12:00:00+00:00,1353.36,16.37,611.23,97.104,3331.4
2025-06-27 09:00:00+00:00,1360.88,16.4,614.9,97.249,3274.17
2025-06-27 10:00:00+00:00,1361.26,16.55,615.35,97.276,3272.54
2025-06-27 11:00:00+00:00,1360.85,16.4,616.3,97.196,3274.73
2025-06-27 12:00:00+00:00,1361.07,16.41,615.39,97.315,3277.78
2025-06-30 09:00:00+00:00,1356.25,17.28,616.73,97.144,3285.3
2025-06-30 10:00:00+00:00,1353.95,17.36,616.22,97.079,3287.72
2025-06-30 11:00:00+00:00,1353.55,17.11,616.22,97.015,3289.86
2025-06-30 12:00:00+00:00,1353.5,17.11,616.515,96.924,3298.08
2025-07-01 09:00:00+00:00,1354.38,16.84,617.03,96.705,3351.28
2025-07-01 10:00:00+00:00,1356.84,17.2,617.2898,96.888,3345.86
2025-07-01 11:00:00+00:00,1358.3,16.8,617.3,96.929,3340.48
2025-07-01 12:00:00+00:00,1357.98,16.78,618.07,96.839,3341.72
2025-07-02 09:00:00+00:00,1360.01,17.02,618.65,97.098,3337.66
2025-07-02 10:00:00+00:00,1359.86,16.76,618.7601,96.953,3343.38
2025-07-02 11:00:00+00:00,1357.02,16.76,619.14,96.872,3341.08
2025-07-02 12:00:00+00:00,1356.41,16.74,619.465,96.827,3348.66
2025-07-03 09:00:00+00:00,1364.05,16.43,624.99,97.088,3332.6
