source,file,same_schema,matching_cells,total_cells,reason
default_B300,economic_magnitude.csv,True,28,28,
default_B300,exp1_persistence_mediation.csv,True,76,88,base_p[0]: 0.03 -> 0.073; base_p[1]: 0.11 -> 0.153; base_p[2]: 0.01 -> 0.027; base_p[4]: 0.07 -> 0.067; base_p[5]: 0.13 -> 0.087; dn_p_after[0]: 0.75 -> 0.833; dn_p_after[1]: 0.9 -> 0.88; dn_p_after[2]: 0.49 -> 0.54; dn_p_after[4]: 0.78 -> 0.693; dn_p_after[5]: 0.61 -> 0.627; dn_p_after[6]: 0.77 -> 0.86; dn_p_after[7]: 0.27 -> 0.287
default_B300,exp2_subsample_stability.csv,True,34,45,q10_p[1]: 0.05 -> 0.027; q10_p[2]: 1.0 -> 0.987; q10_p[4]: 0.32 -> 0.273; q25_p[0]: 0.01 -> 0.0; q25_p[1]: 0.04 -> 0.02; q25_p[2]: 0.81 -> 0.707; q25_p[4]: 0.1 -> 0.087; M2_leverage_p[0]: 0.01 -> 0.007; M2_leverage_p[2]: 0.45 -> 0.513; M2_leverage_p[3]: 0.01 -> 0.0; M2_leverage_p[4]: 0.49 -> 0.513
default_B300,robustness_kp_main_quantile.csv,True,44,60,beta_downside[0]: -8.815 -> -8.922; beta_downside[2]: -4.214 -> -4.213; beta_downside[3]: -4.747 -> -4.744; beta_downside[6]: -11.435 -> -11.445; beta_downside[9]: -4.25 -> -4.249; beta_downside[10]: -6.893 -> -6.892; beta_downside[11]: -10.935 -> -10.972; beta_downside[13]: -5.05 -> -4.943; beta_downside[14]: -4.354 -> -4.29; p[0]: 0.107 -> 0.12; p[1]: 0.013 -> 0.0; p[3]: 0.013 -> 0.0; p[4]: 0.053 -> 0.067; p[7]: 0.0 -> 0.013; p[13]: 0.053 -> 0.033; p[14]: 0.053 -> 0.127
default_B300,robustness_kp_mediation.csv,False,0,63,schema/shape differs
default_B300,table1_residual_descriptive.csv,True,18,18,
default_B300,table2_stationarity.csv,False,0,1,schema/shape differs
default_B300,table3_main_quantile_tail.csv,True,17,20,p_boot[2]: 0.0 -> 0.0133333333333333; p_boot[3]: 0.05 -> 0.0666666666666666; p_boot[4]: 0.05 -> 0.0533333333333333
default_B300,table4_quantile_local_projection.csv,True,61,75,p_boot[0]: 0.1 -> 0.0533333333333333; p_boot[1]: 0.05 -> 0.0466666666666666; p_boot[2]: 0.2 -> 0.1333333333333333; p_boot[3]: 0.25 -> 0.2733333333333333; p_boot[4]: 0.0 -> 0.02; p_boot[5]: 0.05 -> 0.1; p_boot[6]: 0.0 -> 0.1333333333333333; p_boot[7]: 0.35 -> 0.38; p_boot[8]: 0.45 -> 0.52; p_boot[9]: 0.0 -> 0.0133333333333333; p_boot[10]: 0.1 -> 0.0333333333333333; p_boot[11]: 0.7 -> 0.9266666666666666; p_boot[13]: 0.15 -> 0.0466666666666666; p_boot[14]: 0.4 -> 0.3266666666666666
default_B300,table5_stress_regime.csv,True,14,18,p_normal[2]: 0.05 -> 0.0466666666666666; p_interaction[0]: 0.5 -> 0.5666666666666667; p_interaction[1]: 0.55 -> 0.4866666666666667; p_interaction[2]: 0.55 -> 0.8933333333333333
