definition,q,saved_coefficient,it40_raw,it40_csv3dp,it60_raw,it60_csv3dp,it70_raw,it70_csv3dp,it80_raw,it80_csv3dp
EQ,0.1,-6.779,-6.871804430857229,-6.872,-6.778782042091885,-6.779,-6.77906141484356,-6.779,-6.7791546222021175,-6.779
EQ,0.25,-11.435,-11.313537118075807,-11.314,-11.435393518457152,-11.435,-11.44458570618694,-11.445,-11.453025770199131,-11.453
EQ,0.5,-9.277,-9.27694936338441,-9.277,-9.276944727078005,-9.277,-9.276944727078005,-9.277,-9.276944727078005,-9.277
EQ,0.75,-5.531,-5.488766046619447,-5.489,-5.531160249389842,-5.531,-5.531163676637377,-5.531,-5.531163700328097,-5.531
EQ,0.9,-4.25,-4.381386899269864,-4.381,-4.249897619720058,-4.25,-4.24863933336052,-4.249,-4.24863933336052,-4.249
CAP,0.1,-8.815,-8.557304161547734,-8.557,-8.815374385439304,-8.815,-8.921673413643408,-8.922,-8.94802470072801,-8.948
CAP,0.25,-6.87,-6.863991657236884,-6.864,-6.870096250649225,-6.87,-6.870102736156084,-6.87,-6.870101154295601,-6.87
CAP,0.5,-4.214,-4.216311348989383,-4.216,-4.21424613116269,-4.214,-4.213215178834428,-4.213,-4.212187738876138,-4.212
CAP,0.75,-4.747,-4.747253725110128,-4.747,-4.747302024910177,-4.747,-4.7443858996039285,-4.744,-4.742135193295177,-4.742
CAP,0.9,-6.378,-6.340756394204545,-6.341,-6.378065912410711,-6.378,-6.3783022105214116,-6.378,-6.37830228233338,-6.378
PCA,0.1,-6.893,-6.911501325965309,-6.912,-6.893228491569975,-6.893,-6.8923440250096375,-6.892,-6.891268347045974,-6.891
PCA,0.25,-10.935,-10.861969717807908,-10.862,-10.935301288611944,-10.935,-10.972042911215084,-10.972,-11.005498342964605,-11.005
PCA,0.5,-9.369,-9.368612801824021,-9.369,-9.368613156520368,-9.369,-9.368613156520368,-9.369,-9.368613156520368,-9.369
PCA,0.75,-5.05,-5.312735418941608,-5.313,-5.05034538614437,-5.05,-4.9427944564619,-4.943,-4.839251517569697,-4.839
PCA,0.9,-4.354,-4.51029863274655,-4.51,-4.354483504883389,-4.354,-4.289652191118572,-4.29,-4.257412314318453,-4.257
