case,file,row,column,saved,recomputed,matches
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,0,definition,EQ,EQ,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,1,definition,EQ,EQ,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,2,definition,EQ,EQ,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,3,definition,EQ,EQ,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,4,definition,EQ,EQ,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,5,definition,CAP,CAP,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,6,definition,CAP,CAP,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,7,definition,CAP,CAP,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,8,definition,CAP,CAP,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,9,definition,CAP,CAP,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,10,definition,PCA,PCA,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,11,definition,PCA,PCA,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,12,definition,PCA,PCA,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,13,definition,PCA,PCA,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,14,definition,PCA,PCA,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,0,q,0.1,0.1,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,1,q,0.25,0.25,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,2,q,0.5,0.5,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,3,q,0.75,0.75,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,4,q,0.9,0.9,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,5,q,0.1,0.1,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,6,q,0.25,0.25,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,7,q,0.5,0.5,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,8,q,0.75,0.75,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,9,q,0.9,0.9,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,10,q,0.1,0.1,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,11,q,0.25,0.25,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,12,q,0.5,0.5,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,13,q,0.75,0.75,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,14,q,0.9,0.9,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,0,beta_downside,-6.779,-6.779,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,1,beta_downside,-11.435,-11.435,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,2,beta_downside,-9.277,-9.277,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,3,beta_downside,-5.531,-5.531,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,4,beta_downside,-4.25,-4.25,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,5,beta_downside,-8.815,-8.815,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,6,beta_downside,-6.87,-6.87,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,7,beta_downside,-4.214,-4.214,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,8,beta_downside,-4.747,-4.747,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,9,beta_downside,-6.378,-6.378,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,10,beta_downside,-6.893,-6.893,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,11,beta_downside,-10.935,-10.935,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,12,beta_downside,-9.369,-9.369,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,13,beta_downside,-5.05,-5.05,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,14,beta_downside,-4.354,-4.354,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,0,p,0.0,0.0,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,1,p,0.0,0.0,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,2,p,0.0,0.0,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,3,p,0.067,0.067,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,4,p,0.053,0.053,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,5,p,0.107,0.093,False
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,6,p,0.013,0.013,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,7,p,0.013,0.013,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,8,p,0.013,0.013,True
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,9,p,0.053,0.027,False
kp_B150_point60_boot30,robustness_kp_main_quantile.csv,10,p,0.0,0.0,True
