h,q,beta_downside,p_boot,n
1,0.1,-12.385093907734145,0.1,713
1,0.5,-5.537029404095418,0.05,713
1,0.9,-3.2501283922001485,0.2,713
2,0.1,-9.556650907828597,0.25,712
2,0.5,-3.360020716052599,0.0,712
2,0.9,-2.6085885828346536,0.05,712
3,0.1,-8.99656076376237,0.0,711
3,0.5,-1.357819771111818,0.35,711
3,0.9,-1.6566008445770926,0.45,711
6,0.1,-19.300055429520906,0.0,708
6,0.5,-4.315319027982821,0.1,708
6,0.9,-0.4377435070096408,0.7,708
12,0.1,-32.283238496757214,0.0,702
12,0.5,-6.627564060439066,0.15,702
12,0.9,-4.468486257117091,0.4,702
