method,sample,h,q,term,n,effect,coefficient,replicate,block_days,refit_first_stage
sequential_ols,all,6,0.1,e_origin,577,0.18184472189696324,0.019002469320077448,80,3,False
sequential_ols,all,6,0.1,downside,577,-0.8998397735115973,-54068.97066834141,80,3,False
sequential_ols,all,6,0.1,btc_vol,577,-0.2190518694545766,-104.3730859824257,80,3,False
sequential_ols,all,6,0.1,btc_ret,577,-0.25401840315434276,-38.083928955488936,80,3,False
sequential_ols,all,6,0.1,account_ls,577,1.1256530595964538,1.9957593779451885,80,3,False
sequential_ols,all,6,0.5,e_origin,577,0.7961737444316938,0.08319882476757824,80,3,False
sequential_ols,all,6,0.5,downside,577,-3.0721337799211086,-184596.32050664676,80,3,False
sequential_ols,all,6,0.5,btc_vol,577,3.143817413925264,1497.9553750154641,80,3,False
sequential_ols,all,6,0.5,btc_ret,577,-0.29037016714721064,-43.53399863595182,80,3,False
sequential_ols,all,6,0.5,account_ls,577,1.718392737290868,3.0466744537349957,80,3,False
sequential_ols,matched,1,0.1,e_origin,229,3.3314704021857677,0.32514191153898775,80,3,False
sequential_ols,matched,1,0.1,downside,229,5.564079586223048,374489.6523412828,80,3,False
sequential_ols,matched,1,0.1,btc_vol,229,-5.3121895389749865,-2548.59519176576,80,3,False
sequential_ols,matched,1,0.1,btc_ret,229,1.8161889212502578,367.85724597093366,80,3,False
sequential_ols,matched,1,0.1,account_ls,229,-0.055321003239915824,-0.1024679007484237,80,3,False
sequential_ols,matched,6,0.1,e_origin,229,-0.8228282411285758,-0.08030566533422562,80,3,False
sequential_ols,matched,6,0.1,downside,229,-0.2491398738684763,-16768.326783170603,80,3,False
sequential_ols,matched,6,0.1,btc_vol,229,-0.6403387008523884,-307.2112021079779,80,3,False
sequential_ols,matched,6,0.1,btc_ret,229,-2.009956446343539,-407.1035971106324,80,3,False
sequential_ols,matched,6,0.1,account_ls,229,-0.09032824810844926,-0.16730979953156855,80,3,False
sequential_ols,matched,12,0.1,e_origin,229,-0.7879398157739207,-0.07690065555147164,80,3,False
sequential_ols,matched,12,0.1,downside,229,4.094940031132711,275609.4058061909,80,3,False
sequential_ols,matched,12,0.1,btc_vol,229,-2.9129520891794893,-1397.528388973741,80,3,False
sequential_ols,matched,12,0.1,btc_ret,229,1.809916142467689,366.58673545270403,80,3,False
sequential_ols,matched,12,0.1,account_ls,229,0.7136102082484004,1.3217789936806346,80,3,False
