method,sample,h,q,term,n,effect,coefficient
sequential_ols,all,6,0.1,e_origin,577,0.6972400149039922,0.07286041548926978
sequential_ols,all,6,0.1,downside,577,-1.5852832007795128,-95255.43703126516
sequential_ols,all,6,0.1,btc_vol,577,0.2673620360442846,127.39174902258975
sequential_ols,all,6,0.1,btc_ret,577,-0.016684315557770116,-2.501410450907375
sequential_ols,all,6,0.1,account_ls,577,0.22562245325654312,0.40002390001336113
sequential_ols,all,6,0.5,e_origin,577,0.6069682289663619,0.06342716482983964
sequential_ols,all,6,0.5,downside,577,-2.986046468641663,-179423.56370537748
sequential_ols,all,6,0.5,btc_vol,577,2.3468895934003573,1118.2379311947839
sequential_ols,all,6,0.5,btc_ret,577,-0.36016803816379545,-53.998504860821186
sequential_ols,all,6,0.5,account_ls,577,1.2393889269698524,2.197410696692162
sequential_ols,matched,1,0.1,e_origin,229,3.8684432355501324,0.37754891277485236
sequential_ols,matched,1,0.1,downside,229,6.262786898170381,421516.05702955317
sequential_ols,matched,1,0.1,btc_vol,229,-5.8021235507971545,-2783.647698392513
sequential_ols,matched,1,0.1,btc_ret,229,2.3526418377680574,476.5122928960444
sequential_ols,matched,1,0.1,account_ls,229,-0.8295784503754332,-1.5365802739955945
sequential_ols,matched,6,0.1,e_origin,229,1.4070782060507754,0.13732677837991128
sequential_ols,matched,6,0.1,downside,229,-0.07793925283558335,-5245.691267681826
sequential_ols,matched,6,0.1,btc_vol,229,0.13282109554394514,63.72272732077174
sequential_ols,matched,6,0.1,btc_ret,229,-0.05030237443084285,-10.188418565613986
sequential_ols,matched,6,0.1,account_ls,229,-0.6739361928233134,-1.2482931051973976
sequential_ols,matched,12,0.1,e_origin,229,0.22940986489033105,0.022389741763097874
sequential_ols,matched,12,0.1,downside,229,-0.5950283338907953,-40048.30456482331
sequential_ols,matched,12,0.1,btc_vol,229,0.826011809581783,396.2904016877511
sequential_ols,matched,12,0.1,btc_ret,229,1.796676360492003,363.9051037800041
sequential_ols,matched,12,0.1,account_ls,229,1.352890548875697,2.505881064457108
pca_1,all,6,0.1,e_origin,577,0.7055359567437612,0.0743128462258264
pca_1,all,6,0.1,downside,577,-1.7436997175998774,-104774.26277500266
pca_1,all,6,0.1,btc_vol,577,0.3866696175481476,184.23901763373553
pca_1,all,6,0.1,btc_ret,577,-0.06430178388868937,-9.640500605147524
pca_1,all,6,0.1,account_ls,577,0.32819861419527746,0.5818892921977745
pca_1,all,6,0.5,e_origin,577,0.5223103093547088,0.05501401499135361
pca_1,all,6,0.5,downside,577,-2.8382337751236246,-170541.89340640136
pca_1,all,6,0.5,btc_vol,577,2.2858117474865343,1089.1357679534574
pca_1,all,6,0.5,btc_ret,577,-0.348245346987426,-52.210985066662026
pca_1,all,6,0.5,account_ls,577,1.1891685284299285,2.1083709783742197
pca_1,matched,1,0.1,e_origin,229,3.8631473934252023,0.3801893044063093
pca_1,matched,1,0.1,downside,229,6.295101268689443,423690.9715313649
pca_1,matched,1,0.1,btc_vol,229,-5.793985478404236,-2779.74334746176
pca_1,matched,1,0.1,btc_ret,229,2.3570842620592085,477.41207702425737
pca_1,matched,1,0.1,account_ls,229,-0.8315859259909905,-1.540298605191392
pca_1,matched,6,0.1,e_origin,229,1.443296997574681,0.14204119741678115
pca_1,matched,6,0.1,downside,229,-0.15764441173561614,-10610.236613184623
pca_1,matched,6,0.1,btc_vol,229,0.2663084485553576,127.76510072450176
pca_1,matched,6,0.1,btc_ret,229,-0.08765600309202387,-17.754152947951187
pca_1,matched,6,0.1,account_ls,229,-0.6426561996856165,-1.1903549796297062
pca_1,matched,12,0.1,e_origin,229,0.15933547909713913,0.01568090440149556
pca_1,matched,12,0.1,downside,229,-0.38336257576867205,-25802.168264405118
pca_1,matched,12,0.1,btc_vol,229,0.7156082589041898,343.32279645710753
pca_1,matched,12,0.1,btc_ret,229,1.7550624346705455,355.476473934502
pca_1,matched,12,0.1,account_ls,229,1.3284876464984643,2.460680977106567
pca_2,all,6,0.1,e_origin,577,0.9997050611867161,0.15177957034514672
pca_2,all,6,0.1,downside,577,-0.20267709827112562,-12178.325968856283
pca_2,all,6,0.1,btc_vol,577,-0.10466030774995337,-49.86818568100922
pca_2,all,6,0.1,btc_ret,577,-0.14716589235856023,-22.063973789525498
pca_2,all,6,0.1,account_ls,577,-0.1209019607518759,-0.21435665272301596
pca_2,all,6,0.5,e_origin,577,0.5393836424968134,0.08189157051199132
pca_2,all,6,0.5,downside,577,-0.5943703601436912,-35714.12879798269
pca_2,all,6,0.5,btc_vol,577,1.0068601551974399,479.74528504305937
