method,sample,h,q,term,n,effect,coefficient,replicate,block_days,refit_first_stage
sequential_ols,all,6,0.1,e_origin,577,0.9042502780340257,0.09449264178120766,22,7,True
sequential_ols,all,6,0.1,downside,577,-1.424519952631576,-85595.60246456598,22,7,True
sequential_ols,all,6,0.1,btc_vol,577,0.9314881888645333,443.832308165406,22,7,True
sequential_ols,all,6,0.1,btc_ret,577,0.8773059992246418,131.5308612754118,22,7,True
sequential_ols,all,6,0.1,account_ls,577,-0.28089624043933686,-0.49802317091140713,22,7,True
sequential_ols,all,6,0.5,e_origin,577,-0.2663321429770444,-0.027831263525698643,22,7,True
sequential_ols,all,6,0.5,downside,577,-2.7474235815143446,-165085.35120946626,22,7,True
sequential_ols,all,6,0.5,btc_vol,577,3.1512379108600026,1501.4910680297728,22,7,True
sequential_ols,all,6,0.5,btc_ret,577,-0.37048301018716867,-55.544985969425404,22,7,True
sequential_ols,all,6,0.5,account_ls,577,0.735537140283771,1.3040919962271351,22,7,True
sequential_ols,matched,1,0.1,e_origin,229,3.3368267932519258,0.3256646798724715,22,7,True
sequential_ols,matched,1,0.1,downside,229,6.240539548212282,420018.70203629386,22,7,True
sequential_ols,matched,1,0.1,btc_vol,229,-5.259880218078001,-2523.4990835142626,22,7,True
sequential_ols,matched,1,0.1,btc_ret,229,2.1073771549520277,426.835527610784,22,7,True
sequential_ols,matched,1,0.1,account_ls,229,-0.2801117598137366,-0.5188348425024683,22,7,True
sequential_ols,matched,6,0.1,e_origin,229,0.6613454022288776,0.06454540557440845,22,7,True
sequential_ols,matched,6,0.1,downside,229,-0.5113299664624789,-34414.99683907241,22,7,True
sequential_ols,matched,6,0.1,btc_vol,229,1.2468492286501183,598.1928780364441,22,7,True
sequential_ols,matched,6,0.1,btc_ret,229,-1.2005702775548295,-243.1676962283509,22,7,True
sequential_ols,matched,6,0.1,account_ls,229,-1.5690897143277545,-2.9063342979488866,22,7,True
sequential_ols,matched,12,0.1,e_origin,229,0.40879825466058245,0.03989753169259344,22,7,True
sequential_ols,matched,12,0.1,downside,229,0.47503941317001713,31972.465873229034,22,7,True
sequential_ols,matched,12,0.1,btc_vol,229,1.612188025850836,773.4691356096812,22,7,True
sequential_ols,matched,12,0.1,btc_ret,229,2.47425486633573,501.1442203567032,22,7,True
sequential_ols,matched,12,0.1,account_ls,229,0.8085846968370598,1.497694756237038,22,7,True
pca_1,all,6,0.1,e_origin,577,1.0194325686021983,0.10737501750835363,22,7,True
pca_1,all,6,0.1,downside,577,-1.2610434615218018,-75772.73636887896,22,7,True
pca_1,all,6,0.1,btc_vol,577,0.8754070711124438,417.1109688784881,22,7,True
pca_1,all,6,0.1,btc_ret,577,0.765045091101584,114.70004745898336,22,7,True
pca_1,all,6,0.1,account_ls,577,-0.35896633009951423,-0.6364398102551301,22,7,True
pca_1,all,6,0.5,e_origin,577,-0.1813440163755759,-0.019100642389777225,22,7,True
pca_1,all,6,0.5,downside,577,-2.8537838740661896,-171476.257354701,22,7,True
pca_1,all,6,0.5,btc_vol,577,3.259797088827345,1553.2169740646284,22,7,True
pca_1,all,6,0.5,btc_ret,577,-0.32678622364349713,-48.99370742563734,22,7,True
pca_1,all,6,0.5,account_ls,577,0.9680490943286365,1.7163308373277477,22,7,True
pca_1,matched,1,0.1,e_origin,229,3.321788513134498,0.32691179900172906,22,7,True
pca_1,matched,1,0.1,downside,229,6.089739110938379,409869.09823345684,22,7,True
pca_1,matched,1,0.1,btc_vol,229,-5.173767461150592,-2482.1853170071217,22,7,True
pca_1,matched,1,0.1,btc_ret,229,2.0997599904665307,425.2927205178888,22,7,True
pca_1,matched,1,0.1,account_ls,229,-0.22472445080026354,-0.41624412739736255,22,7,True
pca_1,matched,6,0.1,e_origin,229,0.6568234111093993,0.06464087707667136,22,7,True
pca_1,matched,6,0.1,downside,229,-0.5554850479424314,-37386.84885094361,22,7,True
pca_1,matched,6,0.1,btc_vol,229,1.3350048065203846,640.4867156789248,22,7,True
pca_1,matched,6,0.1,btc_ret,229,-1.202576922421391,-243.57412908652896,22,7,True
pca_1,matched,6,0.1,account_ls,229,-1.5840522910873451,-2.9340486151259144,22,7,True
pca_1,matched,12,0.1,e_origin,229,0.42610855916144286,0.04193521504897256,22,7,True
pca_1,matched,12,0.1,downside,229,0.5398967547554897,36337.68080693753,22,7,True
pca_1,matched,12,0.1,btc_vol,229,1.521153140402852,729.7939109902587,22,7,True
pca_1,matched,12,0.1,btc_ret,229,2.465688960150588,499.40925180709735,22,7,True
pca_1,matched,12,0.1,account_ls,229,0.818717560372016,1.5164632744161886,22,7,True
