method,sample,h,q,term,n,effect,coefficient,replicate,block_days,refit_first_stage
sequential_ols,all,6,0.1,e_origin,576,0.23269339641317047,0.02445944923326796,81,3,False
sequential_ols,all,6,0.1,downside,576,0.732825284738316,31120.13921021236,81,3,False
sequential_ols,all,6,0.1,btc_vol,576,-1.0250409225813173,-452.7988960974452,81,3,False
sequential_ols,all,6,0.1,btc_ret,576,-0.7256409248568876,-134.1778473940191,81,3,False
sequential_ols,all,6,0.1,account_ls,576,1.1459846194415106,1.9940419341740623,81,3,False
sequential_ols,all,6,0.5,e_origin,576,1.4075340701164665,0.14795223527091092,81,3,False
sequential_ols,all,6,0.5,downside,576,-2.0220107205504783,-85866.65391948454,81,3,False
sequential_ols,all,6,0.5,btc_vol,576,1.9928367687547712,880.3105018697198,81,3,False
sequential_ols,all,6,0.5,btc_ret,576,-0.12049255258134836,-22.28020881755609,81,3,False
sequential_ols,all,6,0.5,account_ls,576,0.4189177730324297,0.7289274151031584,81,3,False
sequential_ols,matched,1,0.1,e_origin,228,1.8740638427747525,0.19754401581922396,81,3,False
sequential_ols,matched,1,0.1,downside,228,-3.989540806636483,-176573.31681842374,81,3,False
sequential_ols,matched,1,0.1,btc_vol,228,0.4614182843422996,209.6755322820984,81,3,False
sequential_ols,matched,1,0.1,btc_ret,228,-0.9903151670793612,-156.7646445447443,81,3,False
sequential_ols,matched,1,0.1,account_ls,228,2.6776708424415347,4.510978960533054,81,3,False
sequential_ols,matched,6,0.1,e_origin,228,0.8246318134362205,0.08692397573675374,81,3,False
sequential_ols,matched,6,0.1,downside,228,-0.2725965786049458,-12064.867705466542,81,3,False
sequential_ols,matched,6,0.1,btc_vol,228,0.10225272094380645,46.46520178918716,81,3,False
sequential_ols,matched,6,0.1,btc_ret,228,-1.2209910203708867,-193.28010886197785,81,3,False
sequential_ols,matched,6,0.1,account_ls,228,-0.29807790021107927,-0.5021614737478356,81,3,False
sequential_ols,matched,12,0.1,e_origin,228,1.5211316093973022,0.16034162756429574,81,3,False
sequential_ols,matched,12,0.1,downside,228,1.3342839076100657,59054.1484754949,81,3,False
sequential_ols,matched,12,0.1,btc_vol,228,-0.8238804447646505,-374.38388693042907,81,3,False
sequential_ols,matched,12,0.1,btc_ret,228,1.747783411494972,276.6701494154264,81,3,False
sequential_ols,matched,12,0.1,account_ls,228,1.1089170025107236,1.8681539149681634,81,3,False
pca_1,all,6,0.1,e_origin,576,0.18251460639559744,0.019365357227653944,81,3,False
pca_1,all,6,0.1,downside,576,0.7001622220853067,29733.07045322138,81,3,False
pca_1,all,6,0.1,btc_vol,576,-0.9725518877357314,-429.61252713234063,81,3,False
pca_1,all,6,0.1,btc_ret,576,-0.7325219231171112,-135.45020883733335,81,3,False
pca_1,all,6,0.1,account_ls,576,1.09768000929474,1.9099907029336884,81,3,False
pca_1,all,6,0.5,e_origin,576,1.2905177414738995,0.13692787424420655,81,3,False
pca_1,all,6,0.5,downside,576,-2.0256981700378662,-86023.24505214328,81,3,False
pca_1,all,6,0.5,btc_vol,576,2.033495543206014,898.2710025508399,81,3,False
pca_1,all,6,0.5,btc_ret,576,-0.1309388765938688,-24.211832601670643,81,3,False
pca_1,all,6,0.5,account_ls,576,0.45726750801746896,0.7956569142843063,81,3,False
pca_1,matched,1,0.1,e_origin,228,1.973575788331032,0.20999571150971016,81,3,False
pca_1,matched,1,0.1,downside,228,-4.011916385510809,-177563.63885523556,81,3,False
pca_1,matched,1,0.1,btc_vol,228,0.5820961158742032,264.5133863935109,81,3,False
pca_1,matched,1,0.1,btc_ret,228,-0.9969657326154974,-157.81741398315316,81,3,False
pca_1,matched,1,0.1,account_ls,228,2.7399393765398807,4.615880594732705,81,3,False
pca_1,matched,6,0.1,e_origin,228,1.1644608176155749,0.12390290728442278,81,3,False
pca_1,matched,6,0.1,downside,228,0.019536738614181932,864.6776418935885,81,3,False
pca_1,matched,6,0.1,btc_vol,228,-0.21620923131851547,-98.24878466970883,81,3,False
pca_1,matched,6,0.1,btc_ret,228,-1.374386476533187,-217.5622616144004,81,3,False
pca_1,matched,6,0.1,account_ls,228,-0.4829903957117985,-0.8136771251573387,81,3,False
pca_1,matched,12,0.1,e_origin,228,1.5603414598411613,0.16602606142353252,81,3,False
pca_1,matched,12,0.1,downside,228,1.3729212167245826,60764.199369557755,81,3,False
pca_1,matched,12,0.1,btc_vol,228,-0.7995870451043261,-363.3445942158354,81,3,False
pca_1,matched,12,0.1,btc_ret,228,1.7084459413013016,270.44311711581304,81,3,False
pca_1,matched,12,0.1,account_ls,228,1.0285176459764218,1.7327079146539746,81,3,False
pca_2,all,6,0.1,e_origin,576,0.976099030666986,0.14515375425770796,81,3,False
pca_2,all,6,0.1,downside,576,-0.43144648467159114,-18321.79503676813,81,3,False
pca_2,all,6,0.1,btc_vol,576,0.34921891330659705,154.26304936526307,81,3,False
pca_2,all,6,0.1,btc_ret,576,0.11283465417741467,20.86419121407739,81,3,False
pca_2,all,6,0.1,account_ls,576,0.6983363993593253,1.2151228217715981,81,3,False
pca_2,all,6,0.5,e_origin,576,0.3496846751180956,0.05200091569099768,81,3,False
pca_2,all,6,0.5,downside,576,-2.329304340522036,-98916.17667897805,81,3,False
pca_2,all,6,0.5,btc_vol,576,2.3101022952011574,1020.458545698967,81,3,False
pca_2,all,6,0.5,btc_ret,576,-0.050701731855772224,-9.37522816935662,81,3,False
pca_2,all,6,0.5,account_ls,576,1.408751828024771,2.4512634570041305,81,3,False
