method,sample,h,q,term,n,effect,coefficient,replicate,block_days,refit_first_stage
sequential_ols,all,6,0.1,e_origin,577,0.4588997044146712,0.047179719721864306,194,3,False
sequential_ols,all,6,0.1,downside,577,0.8691320623487944,37232.82379262569,194,3,False
sequential_ols,all,6,0.1,btc_vol,577,-1.5992846962256577,-714.297433608421,194,3,False
sequential_ols,all,6,0.1,btc_ret,577,-0.17333768999618931,-31.55071170844896,194,3,False
sequential_ols,all,6,0.1,account_ls,577,1.1703659020986403,2.0174208263058446,194,3,False
sequential_ols,all,6,0.5,e_origin,577,1.120237744018265,0.11517223104784724,194,3,False
sequential_ols,all,6,0.5,downside,577,-0.42095474339191746,-18033.316758588648,194,3,False
sequential_ols,all,6,0.5,btc_vol,577,1.1520772011003744,514.5586586346325,194,3,False
sequential_ols,all,6,0.5,btc_ret,577,0.8163795504430278,148.59639494023136,194,3,False
sequential_ols,all,6,0.5,account_ls,577,0.7371400763117282,1.2706468457337396,194,3,False
sequential_ols,matched,1,0.1,e_origin,229,1.7410032928175758,0.18143116651496452,194,3,False
sequential_ols,matched,1,0.1,downside,229,-5.503564640362884,-245077.48315344672,194,3,False
sequential_ols,matched,1,0.1,btc_vol,229,1.6990996492392398,779.6890774755676,194,3,False
sequential_ols,matched,1,0.1,btc_ret,229,-0.7970508137004578,-123.88390579928085,194,3,False
sequential_ols,matched,1,0.1,account_ls,229,3.3369681603306423,5.558326897750182,194,3,False
sequential_ols,matched,6,0.1,e_origin,229,0.8072019163693136,0.0841190742741144,194,3,False
sequential_ols,matched,6,0.1,downside,229,1.6347522102158922,72796.62971903032,194,3,False
sequential_ols,matched,6,0.1,btc_vol,229,0.21512543374858317,98.71754788252974,194,3,False
sequential_ols,matched,6,0.1,btc_ret,229,-0.6189492434497753,-96.20195908724668,194,3,False
sequential_ols,matched,6,0.1,account_ls,229,0.3821527317332201,0.6365448232598654,194,3,False
sequential_ols,matched,12,0.1,e_origin,229,0.5889227554097827,0.06137205078359364,194,3,False
sequential_ols,matched,12,0.1,downside,229,2.3415615030863055,104271.32909763644,194,3,False
sequential_ols,matched,12,0.1,btc_vol,229,-3.5141857458950696,-1612.602441252648,194,3,False
sequential_ols,matched,12,0.1,btc_ret,229,1.084398050992105,168.5456732354786,194,3,False
sequential_ols,matched,12,0.1,account_ls,229,2.46041690199744,4.09827148146852,194,3,False
pca_1,all,6,0.1,e_origin,577,0.43747213788920164,0.045377785399851066,194,3,False
pca_1,all,6,0.1,downside,577,0.8045925639242111,34468.01062256155,194,3,False
pca_1,all,6,0.1,btc_vol,577,-1.5294640197722744,-683.1130359079013,194,3,False
pca_1,all,6,0.1,btc_ret,577,-0.0921657135351839,-16.775889059188497,194,3,False
pca_1,all,6,0.1,account_ls,577,1.1486781405819257,1.9800364991639499,194,3,False
pca_1,all,6,0.5,e_origin,577,1.0976611045473605,0.11385737680174005,194,3,False
pca_1,all,6,0.5,downside,577,-0.3831271269454921,-16412.816217119078,194,3,False
pca_1,all,6,0.5,btc_vol,577,1.1206493642792539,500.5218687884155,194,3,False
pca_1,all,6,0.5,btc_ret,577,0.7508776994542229,136.67382912685864,194,3,False
pca_1,all,6,0.5,account_ls,577,0.6798081702925188,1.1718208452431562,194,3,False
pca_1,matched,1,0.1,e_origin,229,1.8305653908424746,0.19256589495423287,194,3,False
pca_1,matched,1,0.1,downside,229,-5.525215128990029,-246041.59416304014,194,3,False
pca_1,matched,1,0.1,btc_vol,229,1.8377617438545693,843.3188479130243,194,3,False
pca_1,matched,1,0.1,btc_ret,229,-0.8042673859469207,-125.00556221190513,194,3,False
pca_1,matched,1,0.1,account_ls,229,3.367014885599616,5.6083751790725005,194,3,False
pca_1,matched,6,0.1,e_origin,229,0.8838879683330205,0.09298038655859932,194,3,False
pca_1,matched,6,0.1,downside,229,1.744320489173704,77675.77983266734,194,3,False
pca_1,matched,6,0.1,btc_vol,229,-0.1609351301544275,-73.85050265868662,194,3,False
pca_1,matched,6,0.1,btc_ret,229,-0.48387365266148796,-75.20744847717766,194,3,False
pca_1,matched,6,0.1,account_ls,229,0.5856334758285815,0.9754789810755644,194,3,False
pca_1,matched,12,0.1,e_origin,229,0.5102399198802634,0.05367456814416203,194,3,False
pca_1,matched,12,0.1,downside,229,2.190000990330147,97522.23620258579,194,3,False
pca_1,matched,12,0.1,btc_vol,229,-3.4863116222460477,-1599.8114611808926,194,3,False
pca_1,matched,12,0.1,btc_ret,229,0.7918014351628498,123.06800610370361,194,3,False
pca_1,matched,12,0.1,account_ls,229,2.53133781582403,4.216403151893658,194,3,False
pca_2,all,6,0.1,e_origin,577,0.7470186334747785,0.1084823883966249,194,3,False
pca_2,all,6,0.1,downside,577,-0.4465880133062072,-19131.422631438785,194,3,False
pca_2,all,6,0.1,btc_vol,577,0.10078672054886227,45.01493448900199,194,3,False
pca_2,all,6,0.1,btc_ret,577,0.22237077706843614,40.475653505156565,194,3,False
pca_2,all,6,0.1,account_ls,577,0.8613278859238926,1.4847158587113323,194,3,False
pca_2,all,6,0.5,e_origin,577,0.8541816437147547,0.12404464986864358,194,3,False
pca_2,all,6,0.5,downside,577,-1.0285296114778106,-44061.26922318367,194,3,False
pca_2,all,6,0.5,btc_vol,577,0.7811776427811781,348.9017225936982,194,3,False
pca_2,all,6,0.5,btc_ret,577,0.19086155443402653,34.74038381558445,194,3,False
pca_2,all,6,0.5,account_ls,577,0.809841644100363,1.3959663348771585,194,3,False
pca_2,matched,1,0.1,e_origin,229,3.1860198645142455,0.47060595954651097,194,3,False
pca_2,matched,1,0.1,downside,229,-2.4874961982167836,-110769.9005008034,194,3,False
pca_2,matched,1,0.1,btc_vol,229,1.954044138257211,896.6789394527053,194,3,False
pca_2,matched,1,0.1,btc_ret,229,0.8841905936146498,137.42785569645366,194,3,False
pca_2,matched,1,0.1,account_ls,229,1.104899565266301,1.8404110191820486,194,3,False
