method,sample,h,q,term,n,effect,coefficient
sequential_ols,all,6,0.1,e_origin,577,0.6239614989351638,0.06414980954181283
sequential_ols,all,6,0.1,downside,577,1.169664382142399,50107.35390330265
sequential_ols,all,6,0.1,btc_vol,577,-1.9264015844376554,-860.3994717828884
sequential_ols,all,6,0.1,btc_ret,577,-0.15699473537882308,-28.57598734464717
sequential_ols,all,6,0.1,account_ls,577,1.616985933728159,2.7872830989840747
sequential_ols,all,6,0.5,e_origin,577,1.1999307110288786,0.12336550685777675
sequential_ols,all,6,0.5,downside,577,-1.6749072366181526,-71751.49636232242
sequential_ols,all,6,0.5,btc_vol,577,1.2711709757044574,567.7501746662679
sequential_ols,all,6,0.5,btc_ret,577,-0.10345959015781087,-18.831586498095916
sequential_ols,all,6,0.5,account_ls,577,0.8123566560359952,1.4003015922938808
sequential_ols,matched,1,0.1,e_origin,229,1.5136359162167676,0.15773705373854816
sequential_ols,matched,1,0.1,downside,229,-3.9824334473213554,-177340.47474206975
sequential_ols,matched,1,0.1,btc_vol,229,0.36162091671008273,165.94193228854792
sequential_ols,matched,1,0.1,btc_ret,229,-0.06648863842921816,-10.334187078545826
sequential_ols,matched,1,0.1,account_ls,229,2.476291814983966,4.124714033993118
sequential_ols,matched,6,0.1,e_origin,229,-0.4236133897302607,-0.04414504657583816
sequential_ols,matched,6,0.1,downside,229,-0.8688339557242085,-38689.76800699524
sequential_ols,matched,6,0.1,btc_vol,229,0.25748462373169617,118.15548830899813
sequential_ols,matched,6,0.1,btc_ret,229,-2.2057410460030686,-342.8336202205353
sequential_ols,matched,6,0.1,account_ls,229,0.19748987625152814,0.3289552787022868
sequential_ols,matched,12,0.1,e_origin,229,-0.636829324124811,-0.06636442769726994
sequential_ols,matched,12,0.1,downside,229,0.8680005952847849,38652.657898838115
sequential_ols,matched,12,0.1,btc_vol,229,-1.4304213487706274,-656.3969937394127
sequential_ols,matched,12,0.1,btc_ret,229,1.7592655681356621,273.4388901844132
sequential_ols,matched,12,0.1,account_ls,229,3.117346465542424,5.192507053263
pca_1,all,6,0.1,e_origin,577,0.6102852868564272,0.06330321952222566
pca_1,all,6,0.1,downside,577,1.191403355286669,51038.63165909715
pca_1,all,6,0.1,btc_vol,577,-1.8884228981542448,-843.4368395460626
pca_1,all,6,0.1,btc_ret,577,-0.19911282131630204,-36.24226919687614
pca_1,all,6,0.1,account_ls,577,1.5775726608664635,2.7193443822447367
pca_1,all,6,0.5,e_origin,577,1.1792832967224414,0.12232382300390776
pca_1,all,6,0.5,downside,577,-1.6542481129659206,-70866.47837256503
pca_1,all,6,0.5,btc_vol,577,1.2312808306780194,549.9338169621659
pca_1,all,6,0.5,btc_ret,577,-0.09389549219935325,-17.09074122984932
pca_1,all,6,0.5,account_ls,577,0.8251165418617263,1.4222964738603683
pca_1,matched,1,0.1,e_origin,229,1.5275203730481357,0.16068714571374207
pca_1,matched,1,0.1,downside,229,-3.5588870689734904,-158479.6659413562
pca_1,matched,1,0.1,btc_vol,229,-0.00456637478217203,-2.0954348044939737
pca_1,matched,1,0.1,btc_ret,229,-0.02260146416129044,-3.512897307116216
pca_1,matched,1,0.1,account_ls,229,2.1193318138541617,3.5301322818243666
pca_1,matched,6,0.1,e_origin,229,-0.4238131249818687,-0.044582921819538886
pca_1,matched,6,0.1,downside,229,-0.9333819342370776,-41564.13346834715
pca_1,matched,6,0.1,btc_vol,229,0.3193505290951629,146.54474181842565
pca_1,matched,6,0.1,btc_ret,229,-2.2982305445713656,-357.209065463307
pca_1,matched,6,0.1,account_ls,229,0.17810928113343635,0.2966733755004829
pca_1,matched,12,0.1,e_origin,229,-0.5635127254396979,-0.059278588372335406
pca_1,matched,12,0.1,downside,229,1.0169223673275989,45284.24587208262
pca_1,matched,12,0.1,btc_vol,229,-1.5544277663783288,-713.3015133706712
pca_1,matched,12,0.1,btc_ret,229,1.7883602516495178,277.9610147086408
pca_1,matched,12,0.1,account_ls,229,3.1753579240294236,5.289135679786682
pca_2,all,6,0.1,e_origin,577,0.6697979314152642,0.09726836264453083
pca_2,all,6,0.1,downside,577,0.5940309622898348,25447.74390963069
pca_2,all,6,0.1,btc_vol,577,-0.8574502229064226,-382.96776997521306
pca_2,all,6,0.1,btc_ret,577,-0.1181933567017917,-21.513408441257553
pca_2,all,6,0.1,account_ls,577,1.0142982954941646,1.7483989423710884
pca_2,all,6,0.5,e_origin,577,0.9255301323248175,0.13440591009170644
pca_2,all,6,0.5,downside,577,-1.5738436194181211,-67422.02330055882
pca_2,all,6,0.5,btc_vol,577,1.6457939566043085,735.0701236778622
pca_2,all,6,0.5,btc_ret,577,-0.23940663707341117,-43.57649964966374
pca_2,all,6,0.5,account_ls,577,1.2317176711613096,2.123176074656633
pca_2,matched,1,0.1,e_origin,229,2.960683019315338,0.4373215273189726
pca_2,matched,1,0.1,downside,229,-2.260261851085417,-100651.00020252327
pca_2,matched,1,0.1,btc_vol,229,1.5908738113804306,730.0260081453273
pca_2,matched,1,0.1,btc_ret,229,0.9770254973304738,151.85698652366162
pca_2,matched,1,0.1,account_ls,229,1.2807706461946864,2.133356265493234
pca_2,matched,6,0.1,e_origin,229,0.8486387570999481,0.1253521552208746
pca_2,matched,6,0.1,downside,229,-1.033151872889813,-46006.956812341516
pca_2,matched,6,0.1,btc_vol,229,1.6661778477255735,764.5818004759418
pca_2,matched,6,0.1,btc_ret,229,0.509549110042554,79.19812998565274
pca_2,matched,6,0.1,account_ls,229,2.2119824764321705,3.6844587977389494
pca_2,matched,12,0.1,e_origin,229,0.7890453305043666,0.11654962953104998
pca_2,matched,12,0.1,downside,229,3.0583297313792945,136189.506655885
pca_2,matched,12,0.1,btc_vol,229,-2.5360353509992164,-1163.7452012607603
pca_2,matched,12,0.1,btc_ret,229,0.25887860321986506,40.23694843976639
pca_2,matched,12,0.1,account_ls,229,1.074284767637852,1.7894165101093205
ae_selected,all,6,0.1,e_origin,577,0.6420576695390302,0.0709084003035333
ae_selected,all,6,0.1,downside,577,0.7535026625477251,32279.365906829113
ae_selected,all,6,0.1,btc_vol,577,-0.38530973951686864,-172.09303554943438
ae_selected,all,6,0.1,btc_ret,577,0.31786202249371315,57.85685176134595
ae_selected,all,6,0.1,account_ls,577,-0.4588416008689217,-0.7909292298319701
ae_selected,all,6,0.5,e_origin,577,2.030929465855847,0.22429443083600334
ae_selected,all,6,0.5,downside,577,-0.5214390096292078,-22337.970954216376
ae_selected,all,6,0.5,btc_vol,577,0.5944744995241766,265.5134575838239
ae_selected,all,6,0.5,btc_ret,577,-0.022803640636556325,-4.150690433470512
ae_selected,all,6,0.5,account_ls,577,-1.1158182285411948,-1.9233941527125737
ae_selected,matched,1,0.1,e_origin,229,2.679013061922592,0.2927340232804628
ae_selected,matched,1,0.1,downside,229,-2.0433815590265567,-90993.17303110202
ae_selected,matched,1,0.1,btc_vol,229,1.2509095904295668,574.0219798197605
ae_selected,matched,1,0.1,btc_ret,229,0.12922279206657555,20.084822603934953
ae_selected,matched,1,0.1,account_ls,229,0.7678146170243579,1.2789347794883885
ae_selected,matched,6,0.1,e_origin,229,0.6731465932354148,0.07355429254754184
ae_selected,matched,6,0.1,downside,229,-1.3716751479003073,-61081.62889304659
ae_selected,matched,6,0.1,btc_vol,229,2.6752845603788713,1227.6443890741632
ae_selected,matched,6,0.1,btc_ret,229,0.18796003863847058,29.214227399896203
ae_selected,matched,6,0.1,account_ls,229,0.5695334397808007,0.9486614451808676
ae_selected,matched,12,0.1,e_origin,229,1.7117987398106551,0.18704714033442743
ae_selected,matched,12,0.1,downside,229,2.68036717142407,119358.57634560659
ae_selected,matched,12,0.1,btc_vol,229,-1.9007344652323859,-872.2160012137031
ae_selected,matched,12,0.1,btc_ret,229,1.3928403301343488,216.48619797614265
ae_selected,matched,12,0.1,account_ls,229,-0.4260315723337174,-0.7096330063750651
joint_ols,all,6,0.1,e_origin,577,0.6392614068532159,0.06572558839070383
joint_ols,all,6,0.1,downside,577,1.1693059624458326,50091.99953083824
joint_ols,all,6,0.1,btc_vol,577,-1.9118726020917896,-853.9103114557207
joint_ols,all,6,0.1,btc_ret,577,-0.16593296088064502,-30.20291208328474
joint_ols,all,6,0.1,account_ls,577,1.6334105005609165,2.81559498258564
joint_ols,all,6,0.5,e_origin,577,1.1849350772523697,0.12182896436774676
joint_ols,all,6,0.5,downside,577,-1.6721922507262128,-71635.18884624612
joint_ols,all,6,0.5,btc_vol,577,1.279398645139174,571.4249445028494
joint_ols,all,6,0.5,btc_ret,577,-0.10551056309441234,-19.204902052525924
joint_ols,all,6,0.5,account_ls,577,0.8168390664472597,1.4080281572079132
joint_ols,matched,1,0.1,e_origin,229,1.488505706649699,0.15514682082104755
joint_ols,matched,1,0.1,downside,229,-3.948093442590299,-175811.29093468018
joint_ols,matched,1,0.1,btc_vol,229,0.3243185768265882,148.8244977787685
joint_ols,matched,1,0.1,btc_ret,229,-0.08126719158430701,-12.631186034502905
joint_ols,matched,1,0.1,account_ls,229,2.461971660209169,4.100861213816129
joint_ols,matched,6,0.1,e_origin,229,-0.41657323992316847,-0.04341939269999247
joint_ols,matched,6,0.1,downside,229,-0.8974113389492389,-39962.33835250138
joint_ols,matched,6,0.1,btc_vol,229,0.30640618426570165,140.6047933974327
joint_ols,matched,6,0.1,btc_ret,229,-2.1917739821200075,-340.66274930912067
