method,sample,h,q,term,n,effect,coefficient,replicate,block_days,refit_first_stage
sequential_ols,all,6,0.1,e_origin,577,0.7578124129114073,0.07791109233446447,41,7,True
sequential_ols,all,6,0.1,downside,577,3.358388307672959,143870.28796162456,41,7,True
sequential_ols,all,6,0.1,btc_vol,577,-1.4106724333051504,-630.0564878473883,41,7,True
sequential_ols,all,6,0.1,btc_ret,577,0.03025264207780416,5.5065484525418285,41,7,True
sequential_ols,all,6,0.1,account_ls,577,0.825812501010325,1.4234961349903819,41,7,True
sequential_ols,all,6,0.5,e_origin,577,0.8222238859651633,0.08453326972162312,41,7,True
sequential_ols,all,6,0.5,downside,577,-1.207797359650479,-51740.93583377424,41,7,True
sequential_ols,all,6,0.5,btc_vol,577,0.3327564171437513,148.6208523994888,41,7,True
sequential_ols,all,6,0.5,btc_ret,577,0.08496668493219575,15.465530786623825,41,7,True
sequential_ols,all,6,0.5,account_ls,577,0.7530702809262223,1.298106571362251,41,7,True
sequential_ols,matched,1,0.1,e_origin,229,2.13992269225724,0.22300283515245228,41,7,True
sequential_ols,matched,1,0.1,downside,229,-6.876752251198489,-306226.46305148146,41,7,True
sequential_ols,matched,1,0.1,btc_vol,229,1.6985547176417344,779.4390172658933,41,7,True
sequential_ols,matched,1,0.1,btc_ret,229,-0.8099955207374081,-125.89587396944009,41,7,True
sequential_ols,matched,1,0.1,account_ls,229,3.5359455306422043,5.889759868131526,41,7,True
sequential_ols,matched,6,0.1,e_origin,229,0.4190497883634993,0.04366947049686313,41,7,True
sequential_ols,matched,6,0.1,downside,229,0.33559116399283206,14944.103179367017,41,7,True
sequential_ols,matched,6,0.1,btc_vol,229,0.39600922422823726,181.72216494104774,41,7,True
sequential_ols,matched,6,0.1,btc_ret,229,-3.338821964594477,-518.9459676003019,41,7,True
sequential_ols,matched,6,0.1,account_ls,229,-0.3599359089875994,-0.599538667517194,41,7,True
sequential_ols,matched,12,0.1,e_origin,229,0.2841563183196295,0.029612127971276582,41,7,True
sequential_ols,matched,12,0.1,downside,229,-0.23074512357625662,-10275.237565352061,41,7,True
