method,sample,h,q,term,n,effect,coefficient,replicate,block_days,refit_first_stage
sequential_ols,all,6,0.1,e_origin,577,1.58133667482741,0.16577611954672775,163,3,False
sequential_ols,all,6,0.1,downside,577,-3.767399730410779,-170593.81648179615,163,3,False
sequential_ols,all,6,0.1,btc_vol,577,0.725058329798127,333.9176929478923,163,3,False
sequential_ols,all,6,0.1,btc_ret,577,0.34425954141403237,60.22093079415236,163,3,False
sequential_ols,all,6,0.1,account_ls,577,1.007313629983688,1.6732241505411154,163,3,False
sequential_ols,all,6,0.5,e_origin,577,-0.5683103245314435,-0.059577623031759966,163,3,False
sequential_ols,all,6,0.5,downside,577,-8.969510382102326,-406153.61192083807,163,3,False
sequential_ols,all,6,0.5,btc_vol,577,4.676867542715869,2153.8802547394657,163,3,False
sequential_ols,all,6,0.5,btc_ret,577,-1.970827702090575,-344.7546527462989,163,3,False
sequential_ols,all,6,0.5,account_ls,577,1.915811382358312,3.182307652181175,163,3,False
sequential_ols,matched,1,0.1,e_origin,229,-3.0206862413230904,-0.3123432659445578,163,3,False
sequential_ols,matched,1,0.1,downside,229,-12.072829271807606,-565628.6630823346,163,3,False
sequential_ols,matched,1,0.1,btc_vol,229,8.343313496387548,3854.877419311939,163,3,False
sequential_ols,matched,1,0.1,btc_ret,229,-0.20266518036038916,-38.050174036842726,163,3,False
sequential_ols,matched,1,0.1,account_ls,229,2.3626174319524904,3.8891219221859767,163,3,False
sequential_ols,matched,6,0.1,e_origin,229,1.7495143537386106,0.1809022796171806,163,3,False
sequential_ols,matched,6,0.1,downside,229,-9.69518489305423,-454232.7524004849,163,3,False
sequential_ols,matched,6,0.1,btc_vol,229,3.8796105107452727,1792.5040165484068,163,3,False
sequential_ols,matched,6,0.1,btc_ret,229,1.1287858527371748,211.92835429647434,163,3,False
sequential_ols,matched,6,0.1,account_ls,229,1.4484039100855541,2.384228323515937,163,3,False
sequential_ols,matched,12,0.1,e_origin,229,2.2769921793113603,0.2354442391556736,163,3,False
sequential_ols,matched,12,0.1,downside,229,3.098101218315474,145150.30493321628,163,3,False
sequential_ols,matched,12,0.1,btc_vol,229,-5.030649838333921,-2324.3209636860925,163,3,False
sequential_ols,matched,12,0.1,btc_ret,229,-3.852806049524176,-723.3602755732593,163,3,False
sequential_ols,matched,12,0.1,account_ls,229,-0.7334034432099198,-1.2072607990694506,163,3,False
pca_1,all,6,0.1,e_origin,577,1.5247076841907172,0.1612218108587969,163,3,False
pca_1,all,6,0.1,downside,577,-4.05641419936955,-183680.84860109835,163,3,False
pca_1,all,6,0.1,btc_vol,577,0.8805522697860948,405.5287283284755,163,3,False
pca_1,all,6,0.1,btc_ret,577,0.33452275422152566,58.51768566325812,163,3,False
pca_1,all,6,0.1,account_ls,577,1.1294663317597156,1.8761290299963906,163,3,False
pca_1,all,6,0.5,e_origin,577,-0.5727454015949652,-0.0605618058881895,163,3,False
pca_1,all,6,0.5,downside,577,-8.520305160884483,-385812.88925938954,163,3,False
pca_1,all,6,0.5,btc_vol,577,4.376137582711228,2015.382356959268,163,3,False
pca_1,all,6,0.5,btc_ret,577,-1.9717369603458257,-344.91370826074757,163,3,False
pca_1,all,6,0.5,account_ls,577,1.8482201805202685,3.070033552126215,163,3,False
pca_1,matched,1,0.1,e_origin,229,-3.0048462230469224,-0.3134186496306895,163,3,False
pca_1,matched,1,0.1,downside,229,-11.98272090492087,-561406.9621084214,163,3,False
pca_1,matched,1,0.1,btc_vol,229,8.231989348416734,3803.4421059412216,163,3,False
pca_1,matched,1,0.1,btc_ret,229,-0.23600962235130551,-44.31055788107093,163,3,False
pca_1,matched,1,0.1,account_ls,229,2.3336471787046325,3.8414337753562067,163,3,False
pca_1,matched,6,0.1,e_origin,229,1.651091467983403,0.17221608691421883,163,3,False
pca_1,matched,6,0.1,downside,229,-9.624598459538555,-450925.6808663537,163,3,False
