method,sample,h,q,term,n,effect,coefficient,replicate,block_days,refit_first_stage
sequential_ols,all,6,0.1,e_origin,577,-0.5122578499665011,-0.05370147921476921,79,7,True
sequential_ols,all,6,0.1,downside,577,-1.3494855701452044,-61106.840306823935,79,7,True
sequential_ols,all,6,0.1,btc_vol,577,-0.5726164730968339,-263.71226118275206,79,7,True
sequential_ols,all,6,0.1,btc_ret,577,0.23109393506956927,40.42499973598586,79,7,True
sequential_ols,all,6,0.1,account_ls,577,1.471146536929095,2.4436857015570714,79,7,True
sequential_ols,all,6,0.5,e_origin,577,1.729410677735087,0.18129914762704763,79,7,True
sequential_ols,all,6,0.5,downside,577,-2.311059869644486,-104648.44494682483,79,7,True
sequential_ols,all,6,0.5,btc_vol,577,1.1021486613504403,507.58252565171426,79,7,True
sequential_ols,all,6,0.5,btc_ret,577,0.21981752065180257,38.45242936228109,79,7,True
sequential_ols,all,6,0.5,account_ls,577,2.190164111294924,3.63802829187016,79,7,True
sequential_ols,matched,1,0.1,e_origin,229,3.51717290504965,0.3636806951435424,79,7,True
sequential_ols,matched,1,0.1,downside,229,-1.1032705092438804,-51689.74141123987,79,7,True
sequential_ols,matched,1,0.1,btc_vol,229,-0.6952271449678715,-321.2171547419065,79,7,True
sequential_ols,matched,1,0.1,btc_ret,229,0.9650746684709742,181.1917519752003,79,7,True
sequential_ols,matched,1,0.1,account_ls,229,2.7743166947125166,4.566823104990092,79,7,True
sequential_ols,matched,6,0.1,e_origin,229,2.4083025600784045,0.24902191982310945,79,7,True
sequential_ols,matched,6,0.1,downside,229,-0.6038527234468349,-28291.330969076178,79,7,True
sequential_ols,matched,6,0.1,btc_vol,229,-1.526364875474437,-705.2293425921121,79,7,True
sequential_ols,matched,6,0.1,btc_ret,229,-0.1654004273774038,-31.053755935217602,79,7,True
sequential_ols,matched,6,0.1,account_ls,229,2.33517699286938,3.8439520136983636,79,7,True
sequential_ols,matched,12,0.1,e_origin,229,0.1944431501513592,0.02010569907195059,79,7,True
sequential_ols,matched,12,0.1,downside,229,-1.3113185555149112,-61437.07864427567,79,7,True
sequential_ols,matched,12,0.1,btc_vol,229,0.728458157776669,336.5709444506312,79,7,True
sequential_ols,matched,12,0.1,btc_ret,229,-2.913638956738744,-547.0326436306891,79,7,True
sequential_ols,matched,12,0.1,account_ls,229,0.1853078516211525,0.30503661673969334,79,7,True
pca_1,all,6,0.1,e_origin,577,-0.473948936067107,-0.05011511814338133,79,7,True
pca_1,all,6,0.1,downside,577,-1.416475647611416,-64140.25693344937,79,7,True
pca_1,all,6,0.1,btc_vol,577,-0.4574502924271222,-210.67373479887155,79,7,True
pca_1,all,6,0.1,btc_ret,577,0.21456086000673114,37.53288768272464,79,7,True
pca_1,all,6,0.1,account_ls,577,1.506484359408145,2.5023844982768564,79,7,True
pca_1,all,6,0.5,e_origin,577,1.7994800272629108,0.1902760979089253,79,7,True
pca_1,all,6,0.5,downside,577,-2.2354799020139478,-101226.06451196234,79,7,True
pca_1,all,6,0.5,btc_vol,577,1.1275249804004779,519.2693121686797,79,7,True
pca_1,all,6,0.5,btc_ret,577,0.20085480292682434,35.13530267613483,79,7,True
pca_1,all,6,0.5,account_ls,577,2.0151978859134,3.3473961539508834,79,7,True
pca_1,matched,1,0.1,e_origin,229,3.451404586200991,0.35999664689642635,79,7,True
pca_1,matched,1,0.1,downside,229,-1.1831572610493986,-55432.54565409155,79,7,True
pca_1,matched,1,0.1,btc_vol,229,-0.6306736691911307,-291.3913863325566,79,7,True
pca_1,matched,1,0.1,btc_ret,229,0.8991618898323658,168.81669724704668,79,7,True
pca_1,matched,1,0.1,account_ls,229,2.7836788870375013,4.582234278597123,79,7,True
pca_1,matched,6,0.1,e_origin,229,2.4152610963497443,0.2519223331688128,79,7,True
pca_1,matched,6,0.1,downside,229,-0.6483100574166004,-30374.218236955043,79,7,True
pca_1,matched,6,0.1,btc_vol,229,-1.4911299140456686,-688.9496645911721,79,7,True
pca_1,matched,6,0.1,btc_ret,229,-0.21512091594078456,-40.38872526576203,79,7,True
pca_1,matched,6,0.1,account_ls,229,2.4724649718624194,4.069942765113921,79,7,True
pca_1,matched,12,0.1,e_origin,229,0.24868753503316568,0.025939201418116113,79,7,True
pca_1,matched,12,0.1,downside,229,-1.2770336175556212,-59830.78212627062,79,7,True
pca_1,matched,12,0.1,btc_vol,229,0.7412789648044008,342.4945669454539,79,7,True
pca_1,matched,12,0.1,btc_ret,229,-2.8417730308817064,-533.539891785915,79,7,True
pca_1,matched,12,0.1,account_ls,229,0.18128083433048967,0.29840771397518784,79,7,True
pca_2,all,6,0.1,e_origin,577,0.8856933116731616,0.12801986606739316,79,7,True
pca_2,all,6,0.1,downside,577,-1.3632025166011899,-61727.96533040827,79,7,True
pca_2,all,6,0.1,btc_vol,577,1.1784790708246684,542.7356618697322,79,7,True
pca_2,all,6,0.1,btc_ret,577,0.3592941684468285,62.85092103447806,79,7,True
pca_2,all,6,0.1,account_ls,577,0.7773610946749832,1.291255591689277,79,7,True
pca_2,all,6,0.5,e_origin,577,1.680758894953806,0.24294022071487442,79,7,True
pca_2,all,6,0.5,downside,577,-1.355269418596971,-61368.742109644205,79,7,True
