method,sample,h,q,term,n,effect,coefficient,ci_low,ci_high,successful,scenario,block_days,refit_first_stage
sequential_ols,all,6,0.1,e_origin,577,0.654031572278576,0.0685640305694048,-0.46434715344432587,2.121967187236131,199,clock_UTC_quote,7,True
sequential_ols,all,6,0.1,downside,577,-1.4242534070460302,-64492.44617817373,-4.071012918651656,2.623983149910658,199,clock_UTC_quote,7,True
sequential_ols,all,6,0.1,btc_vol,577,-0.3124789567082099,-143.9087698610691,-2.451260912846651,2.405670548107527,199,clock_UTC_quote,7,True
sequential_ols,all,6,0.1,btc_ret,577,-0.2810860454148039,-49.17006285025192,-1.3140922021594266,1.145466654148973,199,clock_UTC_quote,7,True
sequential_ols,all,6,0.1,account_ls,577,1.126769888179398,1.8716500332024808,-0.21067912297446248,3.2867684521051888,199,clock_UTC_quote,7,True
sequential_ols,all,6,0.5,e_origin,577,0.7508079171435695,0.0787093760679435,-0.031487385589579774,1.9591846736902094,199,clock_UTC_quote,7,True
sequential_ols,all,6,0.5,downside,577,-2.899832212943553,-131308.98756765437,-5.487421343527978,-0.6261243160700054,199,clock_UTC_quote,7,True
sequential_ols,all,6,0.5,btc_vol,577,1.535475471207399,707.1464540879164,0.3210283526912929,4.125050043378637,199,clock_UTC_quote,7,True
sequential_ols,all,6,0.5,btc_ret,577,-0.0494564804361716,-8.651365982292695,-0.7751325286098225,0.6191575307729656,199,clock_UTC_quote,7,True
sequential_ols,all,6,0.5,account_ls,577,2.014457731084609,3.346166700781771,0.8429022103421757,3.256017715129459,199,clock_UTC_quote,7,True
sequential_ols,matched,1,0.1,e_origin,229,3.7198843996451583,0.3846413528246694,-0.8889414165591292,4.337690754501311,199,clock_UTC_quote,7,True
sequential_ols,matched,1,0.1,downside,229,-1.0759666241438164,-50410.51682532053,-7.437657572359168,0.8300837062264498,199,clock_UTC_quote,7,True
sequential_ols,matched,1,0.1,btc_vol,229,-0.7529786237885605,-347.90018322143527,-2.7723604459133697,6.0498619545497245,199,clock_UTC_quote,7,True
sequential_ols,matched,1,0.1,btc_ret,229,1.195039297046413,224.36736864528305,-0.6483272215727238,3.3904751271349363,199,clock_UTC_quote,7,True
sequential_ols,matched,1,0.1,account_ls,229,2.833798300097357,4.6647362128595375,-0.03346189911888613,4.612208902400057,199,clock_UTC_quote,7,True
sequential_ols,matched,6,0.1,e_origin,229,1.7699739050160428,0.1830178264019914,-0.6073707495077119,2.7731921436550833,199,clock_UTC_quote,7,True
sequential_ols,matched,6,0.1,downside,229,-1.1507907530050503,-53916.130217279264,-7.7198160292845746,5.00616647841121,199,clock_UTC_quote,7,True
sequential_ols,matched,6,0.1,btc_vol,229,-0.2365579756834856,-109.29734322164006,-3.8515703854578587,4.753494948131975,199,clock_UTC_quote,7,True
sequential_ols,matched,6,0.1,btc_ret,229,-0.2303569246131729,-43.24926983775171,-1.9333176143879076,2.27076012012755,199,clock_UTC_quote,7,True
sequential_ols,matched,6,0.1,account_ls,229,1.155270313148728,1.9016989547919856,-0.6680937827377201,4.5594724259585035,199,clock_UTC_quote,7,True
sequential_ols,matched,12,0.1,e_origin,229,2.066245552726862,0.2136527373658789,-1.1222635210514198,3.3423063842795333,199,clock_UTC_quote,7,True
sequential_ols,matched,12,0.1,downside,229,-0.4466611555980116,-20926.68972646597,-2.1383699181096207,5.386709156771318,199,clock_UTC_quote,7,True
sequential_ols,matched,12,0.1,btc_vol,229,-0.2400115999847886,-110.893027998395,-4.690052127834329,1.8801705385546712,199,clock_UTC_quote,7,True
sequential_ols,matched,12,0.1,btc_ret,229,-2.1006452117321026,-394.3939247675973,-3.970765393718102,0.6922981920303406,199,clock_UTC_quote,7,True
sequential_ols,matched,12,0.1,account_ls,229,0.6731944488797671,1.1081503309101364,-1.4710390489590273,3.008261585759255,199,clock_UTC_quote,7,True
pca_1,all,6,0.1,e_origin,577,0.7251502894308036,0.0766770207948864,-0.4762723774915347,2.1172216760398714,199,clock_UTC_quote,7,True
pca_1,all,6,0.1,downside,577,-1.4390147619982263,-65160.86366979548,-4.06401417796069,2.848227746192376,199,clock_UTC_quote,7,True
pca_1,all,6,0.1,btc_vol,577,-0.2614487330750015,-120.4073578423143,-2.4380972150839533,2.331927971942488,199,clock_UTC_quote,7,True
pca_1,all,6,0.1,btc_ret,577,-0.3120748276365713,-54.59089534746283,-1.2755751005751426,1.1694100594669228,199,clock_UTC_quote,7,True
pca_1,all,6,0.1,account_ls,577,1.2726640335548678,2.11399124670194,-0.21086411196611018,3.2507114920345503,199,clock_UTC_quote,7,True
pca_1,all,6,0.5,e_origin,577,0.7655384472248635,0.0809476439473272,0.01292605593111938,1.9648338217265704,199,clock_UTC_quote,7,True
pca_1,all,6,0.5,downside,577,-2.8996057600162675,-131298.73342105892,-5.644155227144033,-0.5260260924477013,199,clock_UTC_quote,7,True
pca_1,all,6,0.5,btc_vol,577,1.4985336932236686,690.1333218049523,0.1870095551641649,4.166422733061131,199,clock_UTC_quote,7,True
pca_1,all,6,0.5,btc_ret,577,-0.1250944614411213,-21.882632139213285,-0.8455550179037097,0.6111256403222447,199,clock_UTC_quote,7,True
pca_1,all,6,0.5,account_ls,577,2.065841767906528,3.4315194735464183,0.7904269200467521,3.2599165705877113,199,clock_UTC_quote,7,True
pca_1,matched,1,0.1,e_origin,229,3.671376141368468,0.3829406455772788,-0.9431157848445851,4.268481527334197,199,clock_UTC_quote,7,True
pca_1,matched,1,0.1,downside,229,-0.8513593432202647,-39887.35666401353,-7.3768428564282,0.8419477422435471,199,clock_UTC_quote,7,True
pca_1,matched,1,0.1,btc_vol,229,-0.8222923693009937,-379.9253483479167,-2.8287017623201214,5.74458950121598,199,clock_UTC_quote,7,True
pca_1,matched,1,0.1,btc_ret,229,1.1059133487538624,207.63406577747077,-0.5529026154768072,3.3524875725990464,199,clock_UTC_quote,7,True
pca_1,matched,1,0.1,account_ls,229,2.794520540275704,4.600080803688825,-0.02525899094128595,4.635029502950704,199,clock_UTC_quote,7,True
pca_1,matched,6,0.1,e_origin,229,1.7762073797101707,0.1852662256534163,-0.6688873169475062,2.725812437568,199,clock_UTC_quote,7,True
pca_1,matched,6,0.1,downside,229,-1.0932456475026704,-51220.062844882006,-7.835053983877334,4.8303596644756,199,clock_UTC_quote,7,True
pca_1,matched,6,0.1,btc_vol,229,-0.2896781728539507,-133.8405716009267,-3.510794077891209,4.728678720386858,199,clock_UTC_quote,7,True
pca_1,matched,6,0.1,btc_ret,229,-0.2131070317116975,-40.01062062405421,-1.8201858588831477,2.337457886993717,199,clock_UTC_quote,7,True
pca_1,matched,6,0.1,account_ls,229,1.2021275211892584,1.9788309493918288,-0.6163687440310954,4.602691803764,199,clock_UTC_quote,7,True
pca_1,matched,12,0.1,e_origin,229,2.007861652214356,0.209428783029088,-1.088922559155113,3.306691146058547,199,clock_UTC_quote,7,True
pca_1,matched,12,0.1,downside,229,-0.4040876005611034,-18932.06009359094,-2.1039107007145765,5.404533228503447,199,clock_UTC_quote,7,True
pca_1,matched,12,0.1,btc_vol,229,-0.2837460891485995,-131.0997593882335,-4.709716455886196,1.894685393829803,199,clock_UTC_quote,7,True
pca_1,matched,12,0.1,btc_ret,229,-2.1238662465983067,-398.7536495925695,-3.9024552371845376,0.6907139933191786,199,clock_UTC_quote,7,True
pca_1,matched,12,0.1,account_ls,229,0.662219640925998,1.090084618862329,-1.496430874151653,3.014174881719861,199,clock_UTC_quote,7,True
pca_2,all,6,0.1,e_origin,577,0.7511125517195006,0.1085672963827826,0.006097873420700973,1.5078461505944158,199,clock_UTC_quote,7,True
pca_2,all,6,0.1,downside,577,-0.9868191145428712,-44684.7297801074,-2.8885144230579125,0.6526184500020101,199,clock_UTC_quote,7,True
pca_2,all,6,0.1,btc_vol,577,0.8755400573786397,403.220408659728,-0.5290767331044282,2.3706132986167434,199,clock_UTC_quote,7,True
pca_2,all,6,0.1,btc_ret,577,0.2683765553423559,46.94680617902618,-0.7895483432035668,0.8212586993330115,199,clock_UTC_quote,7,True
pca_2,all,6,0.1,account_ls,577,1.041869508699376,1.7306240795098071,0.067227784155801,2.412460991545429,199,clock_UTC_quote,7,True
pca_2,all,6,0.5,e_origin,577,1.2785969771223695,0.1848109403199183,0.3091062109103268,2.1097692158978307,199,clock_UTC_quote,7,True
pca_2,all,6,0.5,downside,577,-1.9860699957304475,-89932.38960992845,-3.5412207165039904,-0.49661144438661525,199,clock_UTC_quote,7,True
pca_2,all,6,0.5,btc_vol,577,1.6979420496485136,781.9686619360757,0.5084527290922631,3.0565710288543375,199,clock_UTC_quote,7,True
pca_2,all,6,0.5,btc_ret,577,0.0736308933226543,12.880168586997488,-0.5092712153069535,0.8375610119204145,199,clock_UTC_quote,7,True
pca_2,all,6,0.5,account_ls,577,1.611239931393807,2.676391428921681,0.7318644445571616,2.700822050018567,199,clock_UTC_quote,7,True
pca_2,matched,1,0.1,e_origin,229,1.3071123930389144,0.1883699702179261,-1.297104882748086,3.0173359365202392,199,clock_UTC_quote,7,True
pca_2,matched,1,0.1,downside,229,-1.3427155982928256,-62908.07329941268,-8.795494754717643,2.720392531398264,199,clock_UTC_quote,7,True
pca_2,matched,1,0.1,btc_vol,229,-0.06657980233349,-30.7619960233724,-3.6159468856572885,6.032593139070047,199,clock_UTC_quote,7,True
pca_2,matched,1,0.1,btc_ret,229,0.2392679846122013,44.92231196177534,-1.215382191743219,2.5711199399365494,199,clock_UTC_quote,7,True
pca_2,matched,1,0.1,account_ls,229,1.2008328783488431,1.9766998282953847,-1.072106567067248,3.6539785694147704,199,clock_UTC_quote,7,True
