task,method,info,algorithm,q,contrast,block_days,n,delta,relative_pct,ci_low,ci_high
observed_change,baseline,with_positioning,linear_qr,0.1,add_positioning,3,577,-0.07242554842342508,-0.7646211712817357,-0.12865042845279726,-0.023498116162814612
observed_change,baseline,with_positioning,linear_qr,0.1,add_positioning,7,577,-0.07242554842342508,-0.7646211712817357,-0.1187959891592474,-0.030679036060827107
observed_change,baseline,with_positioning,linear_qr,0.5,add_positioning,3,577,-8.081346106456945e-17,-4.631849523141347e-16,-1.801178999948576e-16,1.7668678041881837e-17
observed_change,baseline,with_positioning,linear_qr,0.5,add_positioning,7,577,-8.081346106456945e-17,-4.631849523141347e-16,-1.4456864301703132e-16,-1.4401600393575185e-17
observed_change,baseline,with_positioning,quantile_lightgbm,0.1,add_positioning,3,577,-0.3036077417271966,-3.2833954106584575,-0.6018513504126556,-0.055936935956389586
observed_change,baseline,with_positioning,quantile_lightgbm,0.1,add_positioning,7,577,-0.3036077417271966,-3.2833954106584575,-0.5529638395256986,-0.08538716080269122
observed_change,baseline,with_positioning,quantile_lightgbm,0.5,add_positioning,3,577,-0.2751088761694928,-1.5023517574398697,-0.6354895211798337,0.0899320621427861
observed_change,baseline,with_positioning,quantile_lightgbm,0.5,add_positioning,7,577,-0.2751088761694928,-1.5023517574398697,-0.534594723323484,-0.019391631825178023
observed_change,sequential_ols,without_positioning,linear_qr,0.1,add_residual,3,577,-0.020912385323166742,-0.22077917127546337,-0.15630204857218954,0.12370983181195255
observed_change,sequential_ols,without_positioning,linear_qr,0.1,add_residual,7,577,-0.020912385323166742,-0.22077917127546337,-0.13239996902357254,0.09083932148359998
observed_change,sequential_ols,without_positioning,linear_qr,0.5,add_residual,3,577,0.007776244729639349,0.04456979687335995,-0.037980029579149054,0.05021664433935736
observed_change,sequential_ols,without_positioning,linear_qr,0.5,add_residual,7,577,0.007776244729639349,0.04456979687335995,-0.026409258159874435,0.0437047875395486
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.1,add_residual,3,577,0.14274412620521298,1.5437202167979631,-0.04787531462408639,0.35702115947686575
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.1,add_residual,7,577,0.14274412620521298,1.5437202167979631,-0.041439497890500436,0.33312225406616325
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.5,add_residual,3,577,-0.02955386882908693,-0.16139176384542167,-0.1888818572134907,0.139551306519328
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.5,add_residual,7,577,-0.02955386882908693,-0.16139176384542167,-0.15464588956779513,0.10740281313548898
observed_change,sequential_ols,with_positioning,linear_qr,0.1,add_residual,3,577,-0.024203978232124886,-0.25749852645523646,-0.1549551527364152,0.11076620593178604
observed_change,sequential_ols,with_positioning,linear_qr,0.1,add_residual,7,577,-0.024203978232124886,-0.25749852645523646,-0.13300143923296973,0.08187326000305221
observed_change,sequential_ols,with_positioning,linear_qr,0.1,add_positioning,3,577,-0.07571714133238322,-0.8011403893247978,-0.12038242314863404,-0.03405451680210996
observed_change,sequential_ols,with_positioning,linear_qr,0.1,add_positioning,7,577,-0.07571714133238322,-0.8011403893247978,-0.10965377499720642,-0.04337735076154607
observed_change,sequential_ols,with_positioning,linear_qr,0.5,add_residual,3,577,0.012573480745518655,0.07206530945237616,-0.035585042324164505,0.05619225331666775
observed_change,sequential_ols,with_positioning,linear_qr,0.5,add_residual,7,577,0.012573480745518655,0.07206530945237616,-0.022740876523291088,0.04886015013861232
observed_change,sequential_ols,with_positioning,linear_qr,0.5,add_positioning,3,577,0.0047972360158792275,0.027483263344369003,-0.0004509020680707855,0.01237990605415731
observed_change,sequential_ols,with_positioning,linear_qr,0.5,add_positioning,7,577,0.0047972360158792275,0.027483263344369003,-0.0002812636992937956,0.011843428021221278
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.1,add_residual,3,577,0.12875920461612778,1.4397516640568246,-0.07461055210815924,0.3493745200499989
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.1,add_residual,7,577,0.12875920461612778,1.4397516640568246,-0.02055607137134792,0.3027223536374995
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.1,add_positioning,3,577,-0.3175926633162818,-3.3824215777490676,-0.6628155306477561,-0.01565804870087428
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.1,add_positioning,7,577,-0.3175926633162818,-3.3824215777490676,-0.6482152653435792,-0.011664054491458242
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.5,add_residual,3,577,-0.03453580392525062,-0.19147440792110823,-0.2069069584537713,0.14451182384163197
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.5,add_residual,7,577,-0.03453580392525062,-0.19147440792110823,-0.1580567715037977,0.09622804632212677
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.5,add_positioning,3,577,-0.2800908112656565,-1.532030353192771,-0.686396794530916,0.1352427456432577
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.5,add_positioning,7,577,-0.2800908112656565,-1.532030353192771,-0.5673987408261889,0.011242894725761794
observed_change,pca_1,without_positioning,linear_qr,0.1,add_residual,3,577,-0.018910829559540102,-0.19964806566860668,-0.15311046102648945,0.12421405242367803
observed_change,pca_1,without_positioning,linear_qr,0.1,add_residual,7,577,-0.018910829559540102,-0.19964806566860668,-0.12973634457946664,0.09199689116408463
observed_change,pca_1,without_positioning,linear_qr,0.5,add_residual,3,577,0.00715030315472016,0.04098219259665747,-0.03758323516467763,0.04855055652840307
observed_change,pca_1,without_positioning,linear_qr,0.5,add_residual,7,577,0.00715030315472016,0.04098219259665747,-0.02587195534085082,0.041759351724840625
observed_change,pca_1,without_positioning,quantile_lightgbm,0.1,add_residual,3,577,0.13807601199581138,1.4932364422921374,-0.044357459319655644,0.34196115659689835
observed_change,pca_1,without_positioning,quantile_lightgbm,0.1,add_residual,7,577,0.13807601199581138,1.4932364422921374,-0.03012876357161389,0.31925346902299484
observed_change,pca_1,without_positioning,quantile_lightgbm,0.5,add_residual,3,577,-0.024336162114824828,-0.13289820536369523,-0.1978084194349517,0.14937727529589284
observed_change,pca_1,without_positioning,quantile_lightgbm,0.5,add_residual,7,577,-0.024336162114824828,-0.13289820536369523,-0.1536545587590678,0.11473831662529661
observed_change,pca_1,with_positioning,linear_qr,0.1,add_residual,3,577,-0.024927847983716313,-0.2651995495099059,-0.15750732698422418,0.11198082590178794
observed_change,pca_1,with_positioning,linear_qr,0.1,add_residual,7,577,-0.024927847983716313,-0.2651995495099059,-0.13476451498453648,0.08199380571744681
observed_change,pca_1,with_positioning,linear_qr,0.1,add_positioning,3,577,-0.07844256684760129,-0.8298015659967385,-0.12310154904608321,-0.03505655449528091
observed_change,pca_1,with_positioning,linear_qr,0.1,add_positioning,7,577,-0.07844256684760129,-0.8298015659967385,-0.11319668559636165,-0.04600595158046897
observed_change,pca_1,with_positioning,linear_qr,0.5,add_residual,3,577,0.012168121214428899,0.06974197825724429,-0.034619500173428235,0.0555526889086557
observed_change,pca_1,with_positioning,linear_qr,0.5,add_residual,7,577,0.012168121214428899,0.06974197825724429,-0.021755446855224306,0.04753305359018088
observed_change,pca_1,with_positioning,linear_qr,0.5,add_positioning,3,577,0.0050178180597086584,0.028748004098179153,-0.00043002537931101305,0.012887247231633663
observed_change,pca_1,with_positioning,linear_qr,0.5,add_positioning,7,577,0.0050178180597086584,0.028748004098179153,-0.00025670236019933334,0.01234348840712518
observed_change,pca_1,with_positioning,quantile_lightgbm,0.1,add_residual,3,577,0.2971317268880474,3.322449059129715,0.009604729786567777,0.5973954755202984
observed_change,pca_1,with_positioning,quantile_lightgbm,0.1,add_residual,7,577,0.2971317268880474,3.322449059129715,0.042481516112364316,0.5726222791975104
observed_change,pca_1,with_positioning,quantile_lightgbm,0.1,add_positioning,3,577,-0.1445520268349606,-1.540272030480247,-0.3462091668370323,0.06061625425772779
