method,scope,algorithm,block_days,n,delta,relative_pct,ci_low,ci_high
sequential_ols,mean_market,ridge,3,912,2.1524926776225475,2.278251015215029,0.3495985310242589,4.242405529048526
sequential_ols,mean_market,ridge,7,912,2.1524926776225475,2.278251015215029,0.2838256586672226,4.241975427282661
sequential_ols,mean_market,lightgbm,3,912,3.7863912042401626,4.007609268427015,0.18394803808950716,7.7031986129882775
sequential_ols,mean_market,lightgbm,7,912,3.7863912042401626,4.007609268427015,0.6168495093938148,7.062697464219106
sequential_ols,all_references,ridge,3,912,-45.58718102901966,-48.250589904384164,-54.81995772622421,-36.841712066551224
sequential_ols,all_references,ridge,7,912,-45.58718102901966,-48.250589904384164,-52.82442514623295,-38.55573163435295
sequential_ols,all_references,lightgbm,3,912,-11.58563645400651,-12.262521627904508,-16.89470272721466,-6.508247885901771
sequential_ols,all_references,lightgbm,7,912,-11.58563645400651,-12.262521627904508,-16.876607326986278,-6.883777523951784
pca_1,mean_market,ridge,3,912,1.97955796328715,2.119749249431128,0.072261885662692,4.126534424217222
pca_1,mean_market,ridge,7,912,1.97955796328715,2.119749249431128,0.06325103255627412,4.155176084213833
pca_1,mean_market,lightgbm,3,912,3.4591756319891878,3.704152687392605,0.06563102228072897,7.10219118058686
pca_1,mean_market,lightgbm,7,912,3.4591756319891878,3.704152687392605,0.45285779857222563,6.528830205546866
pca_1,all_references,ridge,3,912,-44.30796875838556,-47.44583652576865,-53.35447774667126,-35.70564332653512
pca_1,all_references,ridge,7,912,-44.30796875838556,-47.44583652576865,-51.53174103660602,-37.29138182982822
pca_1,all_references,lightgbm,3,912,-11.679441882813595,-12.506574004914519,-16.928842869817256,-6.80539638532614
pca_1,all_references,lightgbm,7,912,-11.679441882813595,-12.506574004914519,-16.771729581188282,-7.12968172991283
pca_2,mean_market,ridge,3,912,1.248247753396837,2.547185278060294,-0.48551787406325697,3.2833116765346126
pca_2,mean_market,ridge,7,912,1.248247753396837,2.547185278060294,-0.5427193187946222,3.4564347233554216
pca_2,mean_market,lightgbm,3,912,0.5878930864521743,1.1996597717154767,-1.3442051572193612,2.6512154154956282
pca_2,mean_market,lightgbm,7,912,0.5878930864521743,1.1996597717154767,-1.1639400945885963,2.289693197548451
pca_2,all_references,ridge,3,912,4.769232624744187,9.732137787818774,2.3877332453015225,7.356273893153087
pca_2,all_references,ridge,7,912,4.769232624744187,9.732137787818774,2.481433758663045,7.354329487126217
pca_2,all_references,lightgbm,3,912,0.7127693706498726,1.4544834089474732,-1.616819988061527,3.026246460823984
pca_2,all_references,lightgbm,7,912,0.7127693706498726,1.4544834089474732,-1.1297949515802483,2.6008615107987287
ae_selected,mean_market,ridge,3,912,1247.8025587479417,232.1347730493193,896.0971646143456,1621.2625478431921
ae_selected,mean_market,ridge,7,912,1247.8025587479417,232.1347730493193,883.6590928666853,1638.767423339275
ae_selected,mean_market,lightgbm,3,912,-462.1072268760032,-85.9680527846876,-504.70760246984395,-419.8988593972983
ae_selected,mean_market,lightgbm,7,912,-462.1072268760032,-85.9680527846876,-494.68378959201794,-428.0107753824334
ae_selected,all_references,ridge,3,912,1312.143387877742,244.10441012302263,963.3771186996873,1686.8799537545751
ae_selected,all_references,ridge,7,912,1312.143387877742,244.10441012302263,945.4861103284376,1720.4377087271498
ae_selected,all_references,lightgbm,3,912,-462.68856688872097,-86.07620229197194,-504.9486088788496,-420.42505593901325
ae_selected,all_references,lightgbm,7,912,-462.68856688872097,-86.07620229197194,-495.82688957495293,-428.0889699960193
joint_ols,mean_market,ridge,3,912,2.032743981396394,2.1473662649472147,0.17414565314034275,4.163125502062359
joint_ols,mean_market,ridge,7,912,2.032743981396394,2.1473662649472147,0.14538435861461693,4.15519136980991
joint_ols,mean_market,lightgbm,3,912,3.6045037492865677,3.807754357622844,0.14510514061264643,7.316193538915644
joint_ols,mean_market,lightgbm,7,912,3.6045037492865677,3.807754357622844,0.5202596860843115,6.743251226682747
joint_ols,all_references,ridge,3,912,-45.69955475515871,-48.27645935860694,-54.927799262559475,-36.919459988614605
joint_ols,all_references,ridge,7,912,-45.69955475515871,-48.27645935860694,-52.968519820603134,-38.643477061431525
joint_ols,all_references,lightgbm,3,912,-11.63958919147525,-12.295921865402955,-16.944423237701326,-6.632064717104333
joint_ols,all_references,lightgbm,7,912,-11.63958919147525,-12.295921865402955,-16.90983036051555,-6.975924622231068
