method,scope,algorithm,block_days,n,delta,relative_pct,ci_low,ci_high
sequential_ols,mean_market,ridge,3,907,-0.8300929328906959,-0.8741332425095976,-4.198923347475478,2.732124399371526
sequential_ols,mean_market,ridge,7,907,-0.8300929328906959,-0.8741332425095976,-3.4605055365458024,1.8639283551307002
sequential_ols,mean_market,lightgbm,3,907,0.7576071788580475,0.7978017804555104,-2.045758294910908,3.5282544778425136
sequential_ols,mean_market,lightgbm,7,907,0.7576071788580475,0.7978017804555104,-1.5590689805172184,3.2816620953346027
sequential_ols,all_references,ridge,3,907,-45.382907566298115,-47.790682914614386,-53.927101987633904,-37.3199522920492
sequential_ols,all_references,ridge,7,907,-45.382907566298115,-47.790682914614386,-50.86424717123639,-40.31153019072644
sequential_ols,all_references,lightgbm,3,907,-9.154952317780255,-9.640665324897755,-15.169931335318111,-3.761289038193979
sequential_ols,all_references,lightgbm,7,907,-9.154952317780255,-9.640665324897755,-14.687575151998196,-3.8640567254447173
pca_1,mean_market,ridge,3,907,-1.0764902320112153,-1.1476814301276754,-4.609366194110682,2.657967968797459
pca_1,mean_market,ridge,7,907,-1.0764902320112153,-1.1476814301276754,-3.8445813914752094,1.7581051700672072
pca_1,mean_market,lightgbm,3,907,0.34896602475218874,0.37204408776222797,-2.4500087353931836,3.059871648693239
pca_1,mean_market,lightgbm,7,907,0.34896602475218874,0.37204408776222797,-1.973495106376378,2.847505514062737
pca_1,all_references,ridge,3,907,-44.03459332587399,-46.94671957116572,-52.569780307812266,-35.99264789539572
pca_1,all_references,ridge,7,907,-44.03459332587399,-46.94671957116572,-49.44300082636249,-39.0245527035012
pca_1,all_references,lightgbm,3,907,-9.053060135187948,-9.65176338253676,-15.22735316634321,-3.612274833232665
pca_1,all_references,lightgbm,7,907,-9.053060135187948,-9.65176338253676,-14.45440549445512,-3.834428178762911
pca_2,mean_market,ridge,3,907,0.04308504857108857,0.0834894510598033,-3.7346081150113606,4.19897244804766
pca_2,mean_market,ridge,7,907,0.04308504857108857,0.0834894510598033,-3.173168460307717,3.4143678047358907
pca_2,mean_market,lightgbm,3,907,-1.8529055249023934,-3.5905278111624277,-4.241571281360709,0.3615670373308035
pca_2,mean_market,lightgbm,7,907,-1.8529055249023934,-3.5905278111624277,-3.846724160918114,0.3338696966070994
pca_2,all_references,ridge,3,907,1.3889140319769004,2.6914132383460303,-2.488541236569689,5.403336331794192
pca_2,all_references,ridge,7,907,1.3889140319769004,2.6914132383460303,-1.5420966719839515,4.432480549095499
pca_2,all_references,lightgbm,3,907,-1.064978716455059,-2.063697068380961,-3.902806904335632,1.6414253848227036
pca_2,all_references,lightgbm,7,907,-1.064978716455059,-2.063697068380961,-3.620121013481627,1.7059067262688596
ae_selected,mean_market,ridge,3,907,626.3406149026679,155.0891273036667,417.52252357227894,857.1783720386729
ae_selected,mean_market,ridge,7,907,626.3406149026679,155.0891273036667,407.5626145294086,868.3155661653152
ae_selected,mean_market,lightgbm,3,907,-326.74705328116744,-80.90632179472462,-359.8812377219377,-295.9396188621618
ae_selected,mean_market,lightgbm,7,907,-326.74705328116744,-80.90632179472462,-352.35544627136005,-302.1216245300268
ae_selected,all_references,ridge,3,907,661.5191915032402,163.7997467572938,449.7757971468227,890.8410587239897
ae_selected,all_references,ridge,7,907,661.5191915032402,163.7997467572938,440.54442280276317,892.1157916397412
ae_selected,all_references,lightgbm,3,907,-328.99373600334656,-81.46262623103381,-362.29217872325773,-298.2388074026742
ae_selected,all_references,lightgbm,7,907,-328.99373600334656,-81.46262623103381,-354.63800479783646,-303.91357970828903
joint_ols,mean_market,ridge,3,907,-1.039561596897248,-1.0912880040941864,-4.532278051486928,2.640778496892608
joint_ols,mean_market,ridge,7,907,-1.039561596897248,-1.0912880040941864,-3.771022184433867,1.7341880603400737
joint_ols,mean_market,lightgbm,3,907,0.31474821622406995,0.3304094280709765,-2.4277438609617947,3.026345264173097
joint_ols,mean_market,lightgbm,7,907,0.31474821622406995,0.3304094280709765,-1.9868391660564666,2.8315774045645963
joint_ols,all_references,ridge,3,907,-45.58939511410598,-47.85782790594126,-54.17953668229894,-37.4574400064148
joint_ols,all_references,ridge,7,907,-45.58939511410598,-47.85782790594126,-51.06849446240018,-40.531325983167136
joint_ols,all_references,lightgbm,3,907,-9.364835983038832,-9.830810602375495,-15.568995904590006,-3.882914592863399
joint_ols,all_references,lightgbm,7,907,-9.364835983038832,-9.830810602375495,-14.931190008809663,-4.089592427003068
