task,method,info,algorithm,q,contrast,block_days,n,delta,relative_pct,ci_low,ci_high
observed_change,baseline,with_positioning,linear_qr,0.1,add_positioning,3,576,-0.09499196322900898,-1.5807544183039577,-0.16490662318240146,-0.03361671880313929
observed_change,baseline,with_positioning,linear_qr,0.1,add_positioning,7,576,-0.09499196322900898,-1.5807544183039577,-0.14615811278914984,-0.043199050982901985
observed_change,baseline,with_positioning,linear_qr,0.5,add_positioning,3,576,0.07475734528586939,0.6629824266132516,0.019906026924670993,0.1402416655796585
observed_change,baseline,with_positioning,linear_qr,0.5,add_positioning,7,576,0.07475734528586939,0.6629824266132516,0.026220954359426157,0.12727187424815692
observed_change,baseline,with_positioning,quantile_lightgbm,0.1,add_positioning,3,576,-0.09214235533516321,-1.6596302397254157,-0.16284014450388734,-0.032905444290448414
observed_change,baseline,with_positioning,quantile_lightgbm,0.1,add_positioning,7,576,-0.09214235533516321,-1.6596302397254157,-0.14263534997874597,-0.040396442194621886
observed_change,baseline,with_positioning,quantile_lightgbm,0.5,add_positioning,3,576,-0.10839359463861988,-0.9373364427754136,-0.2592167360712967,0.024898135752334252
observed_change,baseline,with_positioning,quantile_lightgbm,0.5,add_positioning,7,576,-0.10839359463861988,-0.9373364427754136,-0.2344719712260247,0.0035072306262045254
observed_change,sequential_ols,without_positioning,linear_qr,0.1,add_residual,3,576,-0.01643851149068239,-0.2735520857337234,-0.13350293240709799,0.09301429253191022
observed_change,sequential_ols,without_positioning,linear_qr,0.1,add_residual,7,576,-0.01643851149068239,-0.2735520857337234,-0.1342024703578107,0.09835711631252983
observed_change,sequential_ols,without_positioning,linear_qr,0.5,add_residual,3,576,-0.05669356078108572,-0.5027845003893515,-0.22091858502136516,0.07057450701423836
observed_change,sequential_ols,without_positioning,linear_qr,0.5,add_residual,7,576,-0.05669356078108572,-0.5027845003893515,-0.2150320973782532,0.06712673886955316
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.1,add_residual,3,576,-0.010330211525592482,-0.1860635249475841,-0.08326731205713223,0.0642407485967015
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.1,add_residual,7,576,-0.010330211525592482,-0.1860635249475841,-0.08544919335940018,0.06373090381760627
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.5,add_residual,3,576,-0.02365828353459611,-0.20458562523388615,-0.17110740776115585,0.11927081461260738
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.5,add_residual,7,576,-0.02365828353459611,-0.20458562523388615,-0.13487043449100627,0.0828392661218811
