method,scope,algorithm,block_days,n,delta,relative_pct,ci_low,ci_high
sequential_ols,mean_market,ridge,3,906,-0.49987812336440224,-0.4795079373705107,-4.89830614497622,4.384851307234798
sequential_ols,mean_market,ridge,7,906,-0.49987812336440224,-0.4795079373705107,-4.28777067869528,3.9531372719700735
sequential_ols,mean_market,lightgbm,3,906,-0.16526269677493552,-0.1585281914749237,-4.367478725632384,4.3356958596176565
sequential_ols,mean_market,lightgbm,7,906,-0.16526269677493552,-0.1585281914749237,-4.533402443583094,4.854646041807202
sequential_ols,all_references,ridge,3,906,-51.19822106903356,-49.11187794460697,-61.542961370950614,-41.36842624682107
sequential_ols,all_references,ridge,7,906,-51.19822106903356,-49.11187794460697,-57.65753178373421,-44.928691102859624
sequential_ols,all_references,lightgbm,3,906,-11.984606282708716,-11.496229921288371,-19.62213778144028,-5.244803125249344
sequential_ols,all_references,lightgbm,7,906,-11.984606282708716,-11.496229921288371,-20.363831104637146,-4.184919450420174
pca_1,mean_market,ridge,3,906,-0.8839873165061689,-0.858049187934947,-5.453811234449306,4.049980156270563
pca_1,mean_market,ridge,7,906,-0.8839873165061689,-0.858049187934947,-4.73835837959175,3.634969345775418
pca_1,mean_market,lightgbm,3,906,-0.5885692686488389,-0.571299354162258,-4.8221030325504675,3.943475941316024
pca_1,mean_market,lightgbm,7,906,-0.5885692686488389,-0.571299354162258,-4.935681534131695,4.473671524691043
pca_1,all_references,ridge,3,906,-49.80644064861225,-48.34501033496858,-60.062285225556074,-39.98993249436699
pca_1,all_references,ridge,7,906,-49.80644064861225,-48.34501033496858,-56.09688384919193,-43.58858130153838
pca_1,all_references,lightgbm,3,906,-11.774660128795439,-11.429165750538706,-19.464140303437027,-4.975660428544379
pca_1,all_references,lightgbm,7,906,-11.774660128795439,-11.429165750538706,-20.164507283763527,-3.8979133514646707
pca_2,mean_market,ridge,3,906,-0.6866391743175855,-1.2647297378135438,-4.859827608086313,3.8265325331709987
pca_2,mean_market,ridge,7,906,-0.6866391743175855,-1.2647297378135438,-4.391152933684319,3.8059933289769647
pca_2,mean_market,lightgbm,3,906,-2.230188516904771,-4.107813599570661,-5.390019961008784,1.0698539101815272
pca_2,mean_market,lightgbm,7,906,-2.230188516904771,-4.107813599570661,-5.150151402703559,1.3918232961124568
pca_2,all_references,ridge,3,906,2.086786331563679,3.8436792258676493,-2.1053347658144963,6.515331000427103
pca_2,all_references,ridge,7,906,2.086786331563679,3.8436792258676493,-1.3523947063685158,5.772192378791065
pca_2,all_references,lightgbm,3,906,-1.6768864827201546,-3.088679296140504,-5.153153005922819,2.035907396147974
pca_2,all_references,lightgbm,7,906,-1.6768864827201546,-3.088679296140504,-5.000710087105042,2.5280674583555345
ae_selected,mean_market,ridge,3,906,675.3527063445188,161.83775574367044,416.45669351313165,946.3494287246054
ae_selected,mean_market,ridge,7,906,675.3527063445188,161.83775574367044,405.48052101689154,976.7657168834977
ae_selected,mean_market,lightgbm,3,906,-333.9399025119769,-80.02349567579707,-370.11811124376493,-299.7941891601893
ae_selected,mean_market,lightgbm,7,906,-333.9399025119769,-80.02349567579707,-358.31788848879086,-308.8205775726546
ae_selected,all_references,ridge,3,906,704.2202974633672,168.75542426933276,447.8544563328734,971.354088040329
ae_selected,all_references,ridge,7,906,704.2202974633672,168.75542426933276,446.7395166950403,992.729299296794
ae_selected,all_references,lightgbm,3,906,-336.00810925084795,-80.51910920320043,-372.0634486291413,-301.79210760424894
ae_selected,all_references,lightgbm,7,906,-336.00810925084795,-80.51910920320043,-361.1014403213265,-310.7669375864326
joint_ols,mean_market,ridge,3,906,-0.9065927705841047,-0.8649602999077967,-5.5165376645171325,4.064540364595725
joint_ols,mean_market,ridge,7,906,-0.9065927705841047,-0.8649602999077967,-4.771275938493794,3.6289836939653277
joint_ols,mean_market,lightgbm,3,906,-0.5596685420930207,-0.5339674942541685,-4.82265244721707,3.953550280505666
joint_ols,mean_market,lightgbm,7,906,-0.5596685420930207,-0.5339674942541685,-5.0394549064009935,4.536663347676574
joint_ols,all_references,ridge,3,906,-51.613872443961476,-49.24366489241715,-62.02650346786274,-41.61962928363876
joint_ols,all_references,ridge,7,906,-51.613872443961476,-49.24366489241715,-58.03360899226213,-45.287985647694455
joint_ols,all_references,lightgbm,3,906,-12.159888408197832,-11.601483119729332,-20.06870568877968,-5.199667112879924
joint_ols,all_references,lightgbm,7,906,-12.159888408197832,-11.601483119729332,-20.835098825984687,-4.031385949489899
