task,method,info,algorithm,q,contrast,block_days,n,delta,relative_pct,ci_low,ci_high
observed_change,baseline,with_positioning,linear_qr,0.1,add_positioning,3,577,0.0,0.0,0.0,0.0
observed_change,baseline,with_positioning,linear_qr,0.1,add_positioning,7,577,0.0,0.0,0.0,0.0
observed_change,baseline,with_positioning,linear_qr,0.5,add_positioning,3,577,0.030502820285914,0.24352731023808086,0.005158772326278618,0.061370129775593536
observed_change,baseline,with_positioning,linear_qr,0.5,add_positioning,7,577,0.030502820285914,0.24352731023808086,0.005736731465958767,0.05644460819096803
observed_change,baseline,with_positioning,quantile_lightgbm,0.1,add_positioning,3,577,0.051826745610148224,0.8186983787773028,-0.053556983307269476,0.1630628120586244
observed_change,baseline,with_positioning,quantile_lightgbm,0.1,add_positioning,7,577,0.051826745610148224,0.8186983787773028,-0.03656390201535352,0.14096245384250744
observed_change,baseline,with_positioning,quantile_lightgbm,0.5,add_positioning,3,577,-0.06166186280933944,-0.48878144889725234,-0.30034705086859426,0.13278229356574925
observed_change,baseline,with_positioning,quantile_lightgbm,0.5,add_positioning,7,577,-0.06166186280933944,-0.48878144889725234,-0.2598928670786332,0.08546309306346465
observed_change,sequential_ols,without_positioning,linear_qr,0.1,add_residual,3,577,0.06794367334406361,0.9893868184621462,-0.005474450313345849,0.15901896280850897
observed_change,sequential_ols,without_positioning,linear_qr,0.1,add_residual,7,577,0.06794367334406361,0.9893868184621462,-0.005431902117642689,0.15035875082721292
observed_change,sequential_ols,without_positioning,linear_qr,0.5,add_residual,3,577,-0.03359820635235481,-0.26824014124331313,-0.12366577229871831,0.04355661931378896
observed_change,sequential_ols,without_positioning,linear_qr,0.5,add_residual,7,577,-0.03359820635235481,-0.26824014124331313,-0.10417999555779431,0.032974762738318474
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.1,add_residual,3,577,0.15394569423487883,2.4318542251891397,0.06273510936768364,0.26990236871149104
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.1,add_residual,7,577,0.15394569423487883,2.4318542251891397,0.05496122419111707,0.26840472001447957
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.5,add_residual,3,577,0.01303022447492099,0.10328802452824484,-0.10382905054089979,0.1180647457741486
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.5,add_residual,7,577,0.01303022447492099,0.10328802452824484,-0.10154565977857534,0.11029611147499113
observed_change,sequential_ols,with_positioning,linear_qr,0.1,add_residual,3,577,0.06794367334406302,0.9893868184621376,-0.005474450313346504,0.15901896280850822
observed_change,sequential_ols,with_positioning,linear_qr,0.1,add_residual,7,577,0.06794367334406302,0.9893868184621376,-0.005431902117643532,0.1503587508272122
observed_change,sequential_ols,with_positioning,linear_qr,0.1,add_positioning,3,577,-5.930288996245704e-16,-8.551006166486848e-15,-1.0488589331121922e-15,-7.930521542617847e-17
observed_change,sequential_ols,with_positioning,linear_qr,0.1,add_positioning,7,577,-5.930288996245704e-16,-8.551006166486848e-15,-1.0502875503175134e-15,-2.412379077994744e-17
observed_change,sequential_ols,with_positioning,linear_qr,0.5,add_residual,3,577,-0.029407389280397767,-0.23421127947917017,-0.11800660522084,0.04975524921153991
observed_change,sequential_ols,with_positioning,linear_qr,0.5,add_residual,7,577,-0.029407389280397767,-0.23421127947917017,-0.10604335035244557,0.04184825155841362
observed_change,sequential_ols,with_positioning,linear_qr,0.5,add_positioning,3,577,0.03469363735787104,0.2777307890338145,0.007726879969152445,0.06360614691292518
observed_change,sequential_ols,with_positioning,linear_qr,0.5,add_positioning,7,577,0.03469363735787104,0.2777307890338145,0.013686289711768567,0.05789259393270684
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.1,add_residual,3,577,0.009290384478439946,0.1455668864409887,-0.10535487857597974,0.11633580010824768
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.1,add_residual,7,577,0.009290384478439946,0.1455668864409887,-0.08778111862363638,0.09694068455569406
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.1,add_positioning,3,577,-0.09282856414629065,-1.4315831899398688,-0.20463289545440158,0.01897767143417705
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.1,add_positioning,7,577,-0.09282856414629065,-1.4315831899398688,-0.190561922893869,-0.008535398133597003
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.5,add_residual,3,577,-0.06332705836951906,-0.5044467685480007,-0.22052260113866812,0.09893162025576653
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.5,add_residual,7,577,-0.06332705836951906,-0.5044467685480007,-0.1993757725629204,0.07604068936047058
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.5,add_positioning,3,577,-0.13801914565377948,-1.0929217424718347,-0.2611518233077049,-0.01933047767729775
