method,scope,algorithm,block_days,n,delta,relative_pct,ci_low,ci_high
sequential_ols,mean_market,ridge,3,907,0.28827248748786766,0.27454808352540266,-4.089928184907996,4.944684677827426
sequential_ols,mean_market,ridge,7,907,0.28827248748786766,0.27454808352540266,-3.40250871140675,4.490794381977717
sequential_ols,mean_market,lightgbm,3,907,0.3524664909336445,0.3356858659528807,-3.2286278013837437,4.342762516798901
sequential_ols,mean_market,lightgbm,7,907,0.3524664909336445,0.3356858659528807,-3.1758717508952286,4.653691612867902
sequential_ols,all_references,ridge,3,907,-51.456961573372865,-49.00714010942296,-61.86364500050577,-41.87183756403161
sequential_ols,all_references,ridge,7,907,-51.456961573372865,-49.00714010942296,-58.10201993312125,-45.02993454762624
sequential_ols,all_references,lightgbm,3,907,-11.512660117755056,-10.964552320456917,-18.531590545939938,-5.106280889911695
sequential_ols,all_references,lightgbm,7,907,-11.512660117755056,-10.964552320456917,-19.23667122335348,-4.416255695071952
pca_1,mean_market,ridge,3,907,-0.06327626993400136,-0.06098189368973891,-4.564283473645443,4.717179042170442
pca_1,mean_market,ridge,7,907,-0.06327626993400136,-0.06098189368973891,-3.82982730718774,4.1993524212931
pca_1,mean_market,lightgbm,3,907,-0.0013711817396538665,-0.0013214631514167651,-3.6559140048216925,3.9134067171829137
pca_1,mean_market,lightgbm,7,907,-0.0013711817396538665,-0.0013214631514167651,-3.5579956982153162,4.3533644783461725
pca_1,all_references,ridge,3,907,-50.06496996439763,-48.24963100911729,-60.45805204882258,-40.506933269552164
pca_1,all_references,ridge,7,907,-50.06496996439763,-48.24963100911729,-56.669357558869564,-43.75895170936825
pca_1,all_references,lightgbm,3,907,-11.746250095344253,-11.320335021556984,-18.69334559436492,-5.429840656141521
pca_1,all_references,lightgbm,7,907,-11.746250095344253,-11.320335021556984,-19.38278455075727,-4.676294223222278
pca_2,mean_market,ridge,3,907,-0.2603148281025136,-0.4817912755468586,-4.126456682644758,3.9989613609214425
pca_2,mean_market,ridge,7,907,-0.2603148281025136,-0.4817912755468586,-3.6739097182259512,3.5987060390344294
pca_2,mean_market,lightgbm,3,907,-2.436834578237547,-4.5100989763188295,-5.093659635392781,0.38076764982283784
pca_2,mean_market,lightgbm,7,907,-2.436834578237547,-4.5100989763188295,-4.984442669339401,0.5813812694950966
pca_2,all_references,ridge,3,907,2.264912966899584,4.191906067277286,-1.8355695086653538,6.409771586662699
pca_2,all_references,ridge,7,907,2.264912966899584,4.191906067277286,-0.9623202743903229,5.6918362243082194
pca_2,all_references,lightgbm,3,907,-1.6595886077063058,-3.071570367382139,-4.518749122572093,1.4732200026676912
pca_2,all_references,lightgbm,7,907,-1.6595886077063058,-3.071570367382139,-4.486465167452585,1.5796888397939273
ae_selected,mean_market,ridge,3,907,811.5279790026576,174.4942812492864,502.0162403447485,1136.8879762002034
ae_selected,mean_market,ridge,7,907,811.5279790026576,174.4942812492864,485.1762815056452,1172.7967172852007
ae_selected,mean_market,lightgbm,3,907,-374.16118196449577,-80.45192304831716,-413.41122030540123,-336.30019431705824
ae_selected,mean_market,lightgbm,7,907,-374.16118196449577,-80.45192304831716,-400.81074376583666,-345.514485115464
ae_selected,all_references,ridge,3,907,821.5529851845586,176.64985233678024,525.8127886513355,1135.825205743938
ae_selected,all_references,ridge,7,907,821.5529851845586,176.64985233678024,516.9150538549056,1162.7679516146438
ae_selected,all_references,lightgbm,3,907,-376.0652210335427,-80.86132843842117,-414.9886185009228,-337.6477546869381
ae_selected,all_references,lightgbm,7,907,-376.0652210335427,-80.86132843842117,-403.134544728719,-347.43038987057736
joint_ols,mean_market,ridge,3,907,-0.04046175474300317,-0.0383608614115059,-4.552170954526553,4.739343248331527
joint_ols,mean_market,ridge,7,907,-0.04046175474300317,-0.0383608614115059,-3.800979904262532,4.224732982861562
joint_ols,mean_market,lightgbm,3,907,-0.027935035037144,-0.026484565842284695,-3.6562555419310594,3.9004133992281864
joint_ols,mean_market,lightgbm,7,907,-0.027935035037144,-0.026484565842284695,-3.586076341041696,4.306813540791647
joint_ols,all_references,ridge,3,907,-51.79849049180296,-49.108960491261605,-62.327008581550835,-42.10974957380734
joint_ols,all_references,ridge,7,907,-51.79849049180296,-49.108960491261605,-58.4783401800614,-45.3264163342239
joint_ols,all_references,lightgbm,3,907,-12.095564508414583,-11.467527217945426,-19.21239050249826,-5.643069029872125
joint_ols,all_references,lightgbm,7,907,-12.095564508414583,-11.467527217945426,-19.853003682348117,-4.9048387555492425
