method,scope,algorithm,period,n,mse,baseline_mse,skill
sequential_ols,mean_market,ridge,all,907,105.28717970484425,104.99890721735639,-0.002745480835254055
sequential_ols,mean_market,ridge,2026-01,346,83.80812583376037,79.54677759746913,-0.05357034395352822
sequential_ols,mean_market,ridge,2026-02,324,113.63504741418747,110.08659706563581,-0.03223326402246762
sequential_ols,mean_market,ridge,2026-03,237,125.23251093508821,135.20154577279288,0.07373462175097978
sequential_ols,mean_market,lightgbm,all,907,105.35137370829003,104.99890721735639,-0.0033568586595287275
sequential_ols,mean_market,lightgbm,2026-01,346,76.4749969504707,79.54677759746913,0.0386160287037971
sequential_ols,mean_market,lightgbm,2026-02,324,112.10919398364125,110.08659706563581,-0.01837278080999738
sequential_ols,mean_market,lightgbm,2026-03,237,138.26990783905663,135.20154577279288,-0.02269472622317603
sequential_ols,all_references,ridge,all,907,53.54194564398351,104.99890721735639,0.49007140109422975
sequential_ols,all_references,ridge,2026-01,346,55.70060202522995,79.54677759746913,0.2997755068458974
sequential_ols,all_references,ridge,2026-02,324,48.177016852739904,110.08659706563581,0.5623716407182991
sequential_ols,all_references,ridge,2026-03,237,57.724822523526385,135.20154577279288,0.5730461349862572
sequential_ols,all_references,lightgbm,all,907,93.48624709960133,104.99890721735639,0.10964552320456922
sequential_ols,all_references,lightgbm,2026-01,346,67.40145620582716,79.54677759746913,0.15268150085351018
sequential_ols,all_references,lightgbm,2026-02,324,89.08613276253888,110.08659706563581,0.19076313432211955
sequential_ols,all_references,lightgbm,2026-03,237,137.58318673864812,135.20154577279288,-0.01761548621535436
pca_1,mean_market,ridge,all,907,103.69911303193923,103.76238930187324,0.0006098189368974882
pca_1,mean_market,ridge,2026-01,346,83.09491028506893,79.40967967076982,-0.04640782621939765
pca_1,mean_market,ridge,2026-02,324,111.71053219252617,107.95237821883768,-0.034813072538986356
pca_1,mean_market,ridge,2026-03,237,122.82719042597707,133.58720416797158,0.08054673955497227
pca_1,mean_market,lightgbm,all,907,103.7610181201336,103.76238930187324,1.3214631514046893e-05
pca_1,mean_market,lightgbm,2026-01,346,75.90668999724122,79.40967967076982,0.04411288004248215
pca_1,mean_market,lightgbm,2026-02,324,109.93873733105912,107.95237821883768,-0.018400327486947532
pca_1,mean_market,lightgbm,2026-03,237,135.98049704916687,133.58720416797158,-0.017915584775514803
pca_1,all_references,ridge,all,907,53.697419337475594,103.76238930187324,0.482496310091173
pca_1,all_references,ridge,2026-01,346,55.89276612758043,79.40967967076982,0.2961466869113415
pca_1,all_references,ridge,2026-02,324,48.45942821381911,107.95237821883768,0.5511036531721083
pca_1,all_references,ridge,2026-03,237,57.653196277089236,133.58720416797158,0.5684227644692936
pca_1,all_references,lightgbm,all,907,92.01613920652899,103.76238930187324,0.11320335021556982
pca_1,all_references,lightgbm,2026-01,346,66.72210729243153,79.40967967076982,0.15977362496537684
pca_1,all_references,lightgbm,2026-02,324,87.43934970080883,107.95237821883768,0.19001923678277355
pca_1,all_references,lightgbm,2026-03,237,135.20016807628025,133.58720416797158,-0.012074239582711366
pca_2,mean_market,ridge,all,907,53.77030824763553,54.03062307573804,0.004817912755468501
pca_2,mean_market,ridge,2026-01,346,56.54085857946545,51.37150739195105,-0.10062681532923712
pca_2,mean_market,ridge,2026-02,324,48.5448968667647,46.816646562842365,-0.03691529468268295
pca_2,mean_market,ridge,2026-03,237,56.86913893366506,67.7748526823562,0.16091091779724687
pca_2,mean_market,lightgbm,all,907,51.5937884975005,54.03062307573804,0.045100989763188215
pca_2,mean_market,lightgbm,2026-01,346,47.341783994390774,51.37150739195105,0.07844277114188125
pca_2,mean_market,lightgbm,2026-02,324,46.934850148852824,46.816646562842365,-0.0025248195821072628
pca_2,mean_market,lightgbm,2026-03,237,64.1705377930187,67.7748526823562,0.05318071152777015
pca_2,all_references,ridge,all,907,56.29553604263762,54.03062307573804,-0.041919060672772845
pca_2,all_references,ridge,2026-01,346,59.518942410584444,51.37150739195105,-0.15859832487434367
pca_2,all_references,ridge,2026-02,324,52.058736151490095,46.816646562842365,-0.11197063381315076
pca_2,all_references,ridge,2026-03,237,57.38171562669756,67.7748526823562,0.15334798445625064
pca_2,all_references,lightgbm,all,907,52.37103446803174,54.03062307573804,0.03071570367382137
pca_2,all_references,lightgbm,2026-01,346,48.12749751495332,51.37150739195105,0.06314803753463549
pca_2,all_references,lightgbm,2026-02,324,48.305769244215085,46.816646562842365,-0.03180754690265686
