task,method,info,algorithm,q,period,n,pinball,baseline_pinball,skill,below_rate
observed_change,baseline,without_positioning,linear_qr,0.1,all,577,9.595516940019602,8.587026022983327,-0.11744356129083933,0.1611785095320624
observed_change,baseline,without_positioning,linear_qr,0.1,2026-01,220,7.089922266204996,8.374700244345386,0.15341181662088432,0.10454545454545454
observed_change,baseline,without_positioning,linear_qr,0.1,2026-02,204,6.729661024979209,6.572494775461143,-0.023912723385472567,0.0784313725490196
observed_change,baseline,without_positioning,linear_qr,0.1,2026-03,153,17.019474030917998,11.578372727524982,-0.4699366164347101,0.35294117647058826
observed_change,baseline,without_positioning,linear_qr,0.5,all,577,16.75030637719917,17.137983525319658,0.022620931310135428,0.5597920277296361
observed_change,baseline,without_positioning,linear_qr,0.5,2026-01,220,13.414422716664394,14.26555639864685,0.05966354611048963,0.4818181818181818
observed_change,baseline,without_positioning,linear_qr,0.5,2026-02,204,16.076606158073623,16.601638280535468,0.03162531995877882,0.5686274509803921
observed_change,baseline,without_positioning,linear_qr,0.5,2026-03,153,22.445268795625726,21.983397890051634,-0.02100998707679791,0.6601307189542484
observed_change,baseline,without_positioning,quantile_lightgbm,0.1,all,577,9.704298777340165,8.587026022983327,-0.13011172335642596,0.17850953206239167
observed_change,baseline,without_positioning,quantile_lightgbm,0.1,2026-01,220,7.128430180196471,8.374700244345386,0.1488136921665224,0.11818181818181818
observed_change,baseline,without_positioning,quantile_lightgbm,0.1,2026-02,204,7.007100586543595,6.572494775461143,-0.0661249382357949,0.12254901960784313
observed_change,baseline,without_positioning,quantile_lightgbm,0.1,2026-03,153,17.004426374033713,11.578372727524982,-0.4686369815690512,0.33986928104575165
observed_change,baseline,without_positioning,quantile_lightgbm,0.5,all,577,16.916464608768756,17.137983525319658,0.012925611477198062,0.537261698440208
observed_change,baseline,without_positioning,quantile_lightgbm,0.5,2026-01,220,13.527861908326532,14.26555639864685,0.051711582058607375,0.509090909090909
observed_change,baseline,without_positioning,quantile_lightgbm,0.5,2026-02,204,15.970145662759094,16.601638280535468,0.038037969934374805,0.5245098039215687
observed_change,baseline,without_positioning,quantile_lightgbm,0.5,2026-03,153,23.05072381846327,21.983397890051634,-0.048551453863037386,0.5947712418300654
observed_change,baseline,with_positioning,linear_qr,0.1,all,577,9.686506615873556,8.587026022983327,-0.1280397415761232,0.13344887348353554
observed_change,baseline,with_positioning,linear_qr,0.1,2026-01,220,6.902611126599345,8.374700244345386,0.1757781263562237,0.05
observed_change,baseline,with_positioning,linear_qr,0.1,2026-02,204,6.739807810146484,6.572494775461143,-0.02545654890590643,0.05392156862745098
observed_change,baseline,with_positioning,linear_qr,0.1,2026-03,153,17.618425334884332,11.578372727524982,-0.5216667963193551,0.35947712418300654
observed_change,baseline,with_positioning,linear_qr,0.5,all,577,16.820489774760862,17.137983525319658,0.018525735544659083,0.5545927209705372
