task,method,info,algorithm,q,contrast,block_days,n,delta,relative_pct,ci_low,ci_high,scenario,interpretation
observed_change,baseline,with_positioning,linear_qr,0.1,add_positioning,3,577,0.0909896758539528,0.9482519433055886,-0.4453997654234319,0.5120818392972565,clock_UTC_quote,interval_includes_zero
observed_change,baseline,with_positioning,linear_qr,0.1,add_positioning,7,577,0.0909896758539528,0.9482519433055886,-0.4028672840485172,0.467720323689923,clock_UTC_quote,interval_includes_zero
observed_change,baseline,with_positioning,linear_qr,0.5,add_positioning,3,577,0.0701833975616929,0.4189976946166661,-0.1594247018637651,0.3019419720634955,clock_UTC_quote,interval_includes_zero
observed_change,baseline,with_positioning,linear_qr,0.5,add_positioning,7,577,0.0701833975616929,0.4189976946166661,-0.1482548996157875,0.2810819060801527,clock_UTC_quote,interval_includes_zero
observed_change,baseline,with_positioning,quantile_lightgbm,0.1,add_positioning,3,577,-0.5043246690922857,-5.196920258369406,-1.3552980866968103,0.1209140740641308,clock_UTC_quote,interval_includes_zero
observed_change,baseline,with_positioning,quantile_lightgbm,0.1,add_positioning,7,577,-0.5043246690922857,-5.196920258369406,-1.3879224955373648,0.1606880596397277,clock_UTC_quote,interval_includes_zero
observed_change,baseline,with_positioning,quantile_lightgbm,0.5,add_positioning,3,577,-0.2968850892324924,-1.7550067115004642,-0.6694090968512987,0.0269589192887742,clock_UTC_quote,interval_includes_zero
observed_change,baseline,with_positioning,quantile_lightgbm,0.5,add_positioning,7,577,-0.2968850892324924,-1.7550067115004642,-0.6128704878725078,-0.0007115322411947,clock_UTC_quote,lower_loss_interval
observed_change,sequential_ols,without_positioning,linear_qr,0.1,add_residual,3,577,0.0,0.0,0.0,0.0,clock_UTC_quote,numerical_tie
observed_change,sequential_ols,without_positioning,linear_qr,0.1,add_residual,7,577,0.0,0.0,0.0,0.0,clock_UTC_quote,numerical_tie
observed_change,sequential_ols,without_positioning,linear_qr,0.5,add_residual,3,577,0.0,0.0,0.0,0.0,clock_UTC_quote,numerical_tie
observed_change,sequential_ols,without_positioning,linear_qr,0.5,add_residual,7,577,0.0,0.0,0.0,0.0,clock_UTC_quote,numerical_tie
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.1,add_residual,3,577,0.006211246717337,0.0640051059829333,-0.1748617176078738,0.20152006209265,clock_UTC_quote,interval_includes_zero
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.1,add_residual,7,577,0.006211246717337,0.0640051059829333,-0.1826919188314239,0.2011873532086291,clock_UTC_quote,interval_includes_zero
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.5,add_residual,3,577,-0.049616556645751,-0.2933033455467522,-0.1288496027161347,0.0329853622816656,clock_UTC_quote,interval_includes_zero
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.5,add_residual,7,577,-0.049616556645751,-0.2933033455467522,-0.122822649500839,0.0291060977161524,clock_UTC_quote,interval_includes_zero
observed_change,sequential_ols,with_positioning,linear_qr,0.1,add_residual,3,577,0.0,0.0,0.0,0.0,clock_UTC_quote,numerical_tie
observed_change,sequential_ols,with_positioning,linear_qr,0.1,add_residual,7,577,0.0,0.0,0.0,0.0,clock_UTC_quote,numerical_tie
observed_change,sequential_ols,with_positioning,linear_qr,0.1,add_positioning,3,577,0.0909896758539528,0.9482519433055886,-0.4453997654234319,0.5120818392972565,clock_UTC_quote,interval_includes_zero
observed_change,sequential_ols,with_positioning,linear_qr,0.1,add_positioning,7,577,0.0909896758539528,0.9482519433055886,-0.4028672840485172,0.467720323689923,clock_UTC_quote,interval_includes_zero
observed_change,sequential_ols,with_positioning,linear_qr,0.5,add_residual,3,577,2.616816834471773e-17,1.5557316519988052e-16,-7.808949203251755e-19,5.261966547531685e-17,clock_UTC_quote,numerical_tie
observed_change,sequential_ols,with_positioning,linear_qr,0.5,add_residual,7,577,2.616816834471773e-17,1.5557316519988052e-16,6.597233183501309e-18,4.646759080046313e-17,clock_UTC_quote,numerical_tie
observed_change,sequential_ols,with_positioning,linear_qr,0.5,add_positioning,3,577,0.0701833975616929,0.4189976946166662,-0.1594247018637651,0.3019419720634955,clock_UTC_quote,interval_includes_zero
observed_change,sequential_ols,with_positioning,linear_qr,0.5,add_positioning,7,577,0.0701833975616929,0.4189976946166662,-0.1482548996157876,0.2810819060801528,clock_UTC_quote,interval_includes_zero
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.1,add_residual,3,577,0.0732979619781923,0.7967192202473692,-0.0110353895703177,0.1527551171614102,clock_UTC_quote,interval_includes_zero
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.1,add_residual,7,577,0.0732979619781923,0.7967192202473692,0.003112997269167,0.1420849325884711,clock_UTC_quote,higher_loss_interval
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.1,add_positioning,3,577,-0.4372379538314304,-4.50272903017644,-1.266069236857862,0.1586431496271741,clock_UTC_quote,interval_includes_zero
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.1,add_positioning,7,577,-0.4372379538314304,-4.50272903017644,-1.2884939992497324,0.1556991093708468,clock_UTC_quote,interval_includes_zero
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.5,add_residual,3,577,0.0971215912065154,0.5843805560324156,-0.0199500530388353,0.2097078229113488,clock_UTC_quote,interval_includes_zero
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.5,add_residual,7,577,0.0971215912065154,0.5843805560324156,0.0056252263434768,0.1934613853638661,clock_UTC_quote,higher_loss_interval
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.5,add_positioning,3,577,-0.1501469413802258,-0.890189684025327,-0.5712895988901152,0.2013825690019144,clock_UTC_quote,interval_includes_zero
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.5,add_positioning,7,577,-0.1501469413802258,-0.890189684025327,-0.4793758777716425,0.1723356714358453,clock_UTC_quote,interval_includes_zero
observed_change,pca_1,without_positioning,linear_qr,0.1,add_residual,3,577,0.0,0.0,0.0,0.0,clock_UTC_quote,numerical_tie
