method,scope,algorithm,scenario,period,n,zero_mse,probe_mse,past_mean_mse,skill_vs_zero,skill_vs_past_mean
ae_selected,all_references,lightgbm,clock_UTC_quote,all,907,75.49976023747061,74.86475865197785,403.85849465532436,0.00841064373576128,0.814626262310338
ae_selected,all_references,lightgbm,clock_UTC_quote,2026-01,346,70.74325770399359,74.17954105091623,468.6017190694955,-0.048574004908013224,0.8417002370409249
ae_selected,all_references,lightgbm,clock_UTC_quote,2026-02,324,96.18278578192356,90.00832666737683,469.85855216335113,0.06419505386905877,0.8084352700340239
ae_selected,all_references,lightgbm,clock_UTC_quote,2026-03,237,54.16832395131151,55.16251921306668,219.11092385404237,-0.018353812509480427,0.7482438655143803
ae_selected,all_references,ridge,clock_UTC_quote,all,907,75.49976023747061,1065.3776861585645,403.85849465532436,-13.111007542376491,-1.637997467572938
ae_selected,all_references,ridge,clock_UTC_quote,2026-01,346,70.74325770399359,481.7236118912394,468.6017190694955,-5.809463226967638,-0.028002229372525722
ae_selected,all_references,ridge,clock_UTC_quote,2026-02,324,96.18278578192356,1041.534928592517,469.85855216335113,-9.828704119196571,-1.2166988847963265
ae_selected,all_references,ridge,clock_UTC_quote,2026-03,237,54.16832395131151,1950.058543322674,219.11092385404237,-34.999979343563574,-7.899869112056129
ae_selected,mean_market,lightgbm,clock_UTC_quote,all,907,75.49976023747061,77.11144137415694,403.85849465532436,-0.021346837812690866,0.8090632179472461
ae_selected,mean_market,lightgbm,clock_UTC_quote,2026-01,346,70.74325770399359,75.68272325504118,468.6017190694955,-0.06982242140608608,0.8384924336058248
ae_selected,mean_market,lightgbm,clock_UTC_quote,2026-02,324,96.18278578192356,95.3476250393358,469.85855216335113,0.00868305836432448,0.7970716408154529
ae_selected,mean_market,lightgbm,clock_UTC_quote,2026-03,237,54.16832395131151,54.2667703264612,219.11092385404237,-0.0018174159355230923,0.752331972446019
ae_selected,mean_market,ridge,clock_UTC_quote,all,907,75.49976023747061,1030.1991095579922,403.85849465532436,-12.645064650770948,-1.5508912730366666
ae_selected,mean_market,ridge,clock_UTC_quote,2026-01,346,70.74325770399359,507.07298734051574,468.6017190694955,-6.167792434188262,-0.08209800925914834
ae_selected,mean_market,ridge,clock_UTC_quote,2026-02,324,96.18278578192356,1027.1439311086556,469.85855216335113,-9.679082777218701,-1.1860705235212117
ae_selected,mean_market,ridge,clock_UTC_quote,2026-03,237,54.16832395131151,1798.0958019834436,219.11092385404237,-32.19459918308786,-7.206326596391969
joint_ols,all_references,lightgbm,clock_UTC_quote,all,907,92.74430856145008,85.89522304786078,95.2600590308996,0.07384911936726846,0.09830810602375473
joint_ols,all_references,lightgbm,clock_UTC_quote,2026-01,346,71.73745512784669,69.099370603495,76.32289119390163,0.03677415820857077,0.09464422111650561
joint_ols,all_references,lightgbm,clock_UTC_quote,2026-02,324,99.02273827129252,79.87371166752493,99.39745853468405,0.19338009570392833,0.1964209865622112
joint_ols,all_references,lightgbm,clock_UTC_quote,2026-03,237,114.8293721143523,118.64768985368096,117.25053427298882,-0.03325209978093602,-0.011915984770177745
joint_ols,all_references,ridge,clock_UTC_quote,all,907,92.74430856145008,49.670663916793636,95.2600590308996,0.46443437136756394,0.4785782790594123
joint_ols,all_references,ridge,clock_UTC_quote,2026-01,346,71.73745512784669,46.96653080331012,76.32289119390163,0.3452997361056528,0.3846337570730961
joint_ols,all_references,ridge,clock_UTC_quote,2026-02,324,99.02273827129252,49.420459969588336,99.39745853468405,0.5009180635442423,0.5027995614963997
joint_ols,all_references,ridge,clock_UTC_quote,2026-03,237,114.8293721143523,53.960521031391984,117.25053427298882,0.5300808491954858,0.539784433683191
joint_ols,mean_market,lightgbm,clock_UTC_quote,all,907,92.74430856145008,95.5748072471237,95.2600590308996,-0.030519378812320364,-0.0033040942807101015
joint_ols,mean_market,lightgbm,clock_UTC_quote,2026-01,346,71.73745512784669,76.17136998647578,76.32289119390163,-0.06180752928476774,0.001985265561296634
joint_ols,mean_market,lightgbm,clock_UTC_quote,2026-02,324,99.02273827129252,99.70050735290964,99.39745853468405,-0.006844580279735668,-0.0030488588208705814
joint_ols,mean_market,lightgbm,clock_UTC_quote,2026-03,237,114.8293721143523,118.26199061383055,117.25053427298882,-0.029893209692550604,-0.008626454003926476
joint_ols,mean_market,ridge,clock_UTC_quote,all,907,92.74430856145008,94.22049743400237,95.2600590308996,-0.015916759696086302,0.010912880040941708
joint_ols,mean_market,ridge,clock_UTC_quote,2026-01,346,71.73745512784669,76.39106686004196,76.32289119390163,-0.06487004207079616,-0.0008932531914589426
