scenario,model,period,n,days,mae_bp,rmse_bp,residual_mean_bp,residual_q10_bp,residual_q50_bp,residual_q90_bp,residual_lag1h_corr,exact_1h_pairs
clock_UTC_quote,eq4_exclude_BTC,Jan_Mar,907,67,8.893756351544067,11.038583090810626,-1.6072125721095587,-15.90792384617977,-1.8340152414850976,13.35936583694327,0.19303745018593424,834
clock_UTC_quote,eq4_exclude_ETH,Jan_Mar,907,67,8.709293501154352,10.795298083969003,-1.3375374618688827,-14.990877169118866,-1.5718409737697812,13.008424156600094,0.16092113520395374,834
clock_UTC_quote,eq4_exclude_XRP,Jan_Mar,907,67,8.854277016368274,10.964597024630779,-1.7724160526306683,-15.498298212299636,-1.731597524061982,13.329756258624478,0.21271856511581036,834
clock_UTC_quote,eq4_exclude_SOL,Jan_Mar,907,67,8.834021498291708,10.915667161335811,-1.7802553517586897,-15.837097800903665,-2.2034683262624384,13.037676623503566,0.19220982388255922,834
clock_UTC_quote,eq4_exclude_DOGE,Jan_Mar,907,67,5.5859124372696085,6.874814083324943,-1.52453191750657,-10.270983591399249,-1.594721407708903,7.51335698830896,0.3164783439697318,834
clock_UTC_quote,individual_five_ols,Jan_Mar,907,67,5.597677288037637,6.880621682360842,-1.4092539645585582,-10.406702409518543,-1.5199085919429152,7.608540742123915,0.276356685666272,834
clock_NY_quote,eq4_exclude_BTC,Jan_Mar,907,55,9.17211612534374,11.422379574888108,-2.151641751932659,-16.485633549905746,-2.3849754120843443,13.055970755546102,0.17661837218654028,834
clock_NY_quote,eq4_exclude_ETH,Jan_Mar,907,55,9.051039869635979,11.238104293780355,-1.8986471500045736,-16.21888360957636,-2.2171519829347233,12.67599942542143,0.15380459099522917,834
clock_NY_quote,eq4_exclude_XRP,Jan_Mar,907,55,9.285354579196001,11.531384070750978,-2.3315786717179248,-16.702647845526993,-2.30449692464893,13.118956407173908,0.1970583797016407,834
clock_NY_quote,eq4_exclude_SOL,Jan_Mar,907,55,9.262680261165004,11.40178610463647,-2.420510235319408,-17.174670175607037,-2.897317900632558,12.180869502522286,0.1764434890072245,834
clock_NY_quote,eq4_exclude_DOGE,Jan_Mar,907,55,5.711224460706806,7.035614512716195,-2.0018732166289626,-10.841416525425192,-2.1525769127677847,7.110372046095319,0.2921689716546401,834
clock_NY_quote,individual_five_ols,Jan_Mar,907,55,5.693257841143426,6.981237851085854,-1.919026540728329,-10.681756808956038,-2.3244326353257776,6.91612094526734,0.2573447365650348,834
clock_FXUTC_USNY_quote,eq4_exclude_BTC,Jan_Mar,907,67,8.893756351544067,11.038583090810626,-1.6072125721095587,-15.90792384617977,-1.8340152414850976,13.35936583694327,0.19303745018593424,834
clock_FXUTC_USNY_quote,eq4_exclude_ETH,Jan_Mar,907,67,8.709293501154352,10.795298083969003,-1.3375374618688827,-14.990877169118866,-1.5718409737697812,13.008424156600094,0.16092113520395374,834
