month,method,feature,bin,n,residual_mean_bp,cuts
2025-08,sequential_ols,m,0,19,-0.04456273416729878,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,sequential_ols,m,1,63,2.8509298204936857,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,sequential_ols,m,2,192,0.6024511656401677,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,sequential_ols,m,3,75,0.3615510219039911,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,sequential_ols,m,4,8,-7.6945286013597745,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,sequential_ols,g,0,160,1.506451283394472,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,sequential_ols,g,1,86,1.0344285475311947,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,sequential_ols,g,2,45,1.868962117244997,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,sequential_ols,g,3,31,0.446363688882407,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,sequential_ols,g,4,35,-4.798314905297744,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_1,m,0,19,-0.041405614781093676,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,pca_1,m,1,63,2.8509551005304465,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,pca_1,m,2,192,0.6026379643664557,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,pca_1,m,3,75,0.3628539273228325,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,pca_1,m,4,8,-7.687967776900127,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,pca_1,g,0,160,1.506551731067328,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_1,g,1,86,1.0355014963749831,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_1,g,2,45,1.869115056785409,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_1,g,3,31,0.4459440147418996,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_1,g,4,35,-4.794159757897571,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_2,m,0,19,0.744669865931745,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,pca_2,m,1,63,2.6926668320976455,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,pca_2,m,2,192,0.5650676250766878,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,pca_2,m,3,75,1.0329775044532303,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,pca_2,m,4,8,-3.824413911566271,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,pca_2,g,0,160,1.9220017937764076,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_2,g,1,86,1.0244266818826828,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_2,g,2,45,1.732975109556701,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_2,g,3,31,0.8797354809381072,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_2,g,4,35,-4.6205410872636525,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,conditional_linear,m,0,19,0.776229401761574,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,conditional_linear,m,1,63,3.209152919207206,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,conditional_linear,m,2,192,0.5131785950348963,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,conditional_linear,m,3,75,-0.11884489169577582,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,conditional_linear,m,4,8,-9.108048318438637,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,conditional_linear,g,0,160,1.3893993736654395,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,conditional_linear,g,1,86,0.9214210531007473,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,conditional_linear,g,2,45,1.8994154502031926,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,conditional_linear,g,3,31,0.6341639199623819,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,conditional_linear,g,4,35,-4.942895936159441,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_relu_1,m,0,19,-0.04132189381777464,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,ae_relu_1,m,1,63,2.850922275692964,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,ae_relu_1,m,2,192,0.602607111120748,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,ae_relu_1,m,3,75,0.36291866751755864,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,ae_relu_1,m,4,8,-7.687581151692427,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,ae_relu_1,g,0,160,1.5065882822284469,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
