scope,sample,h,method,model,q,term,n,status,coef_raw,effect_bp_per_sd
core,all,1,sequential_ols,M0,0.1,e_origin,2523,estimated,0.4625128380178465,4.457818058737094
core,all,1,sequential_ols,M0,0.1,downside,2523,estimated,-140185.46578364054,-2.3647591437686133
core,all,1,sequential_ols,M0,0.5,e_origin,2523,estimated,0.3755078904068941,3.6192419268360534
core,all,1,sequential_ols,M0,0.5,downside,2523,estimated,-74025.40743568225,-1.248719031792489
core,all,1,sequential_ols,M0,0.9,e_origin,2523,estimated,0.3352210952447184,3.2309474012781285
core,all,1,sequential_ols,M0,0.9,downside,2523,estimated,21417.873317457554,0.3612936011904746
core,all,1,sequential_ols,M1,0.1,e_origin,2523,estimated,0.46637887760592883,4.495079945705259
core,all,1,sequential_ols,M1,0.1,downside,2523,estimated,-109978.83688141234,-1.855209872739224
core,all,1,sequential_ols,M1,0.1,btc_vol,2523,estimated,-259.93707523714863,-0.5078021426268462
core,all,1,sequential_ols,M1,0.1,btc_ret,2523,estimated,266.9986720492132,1.2191306650428304
core,all,1,sequential_ols,M1,0.5,e_origin,2523,estimated,0.38510866334422633,3.711776653355845
core,all,1,sequential_ols,M1,0.5,downside,2523,estimated,-101629.20006802461,-1.7143616051158208
core,all,1,sequential_ols,M1,0.5,btc_vol,2523,estimated,252.80306690440761,0.49386544385627407
core,all,1,sequential_ols,M1,0.5,btc_ret,2523,estimated,118.91476437097722,0.5429713738212135
core,all,1,sequential_ols,M1,0.9,e_origin,2523,estimated,0.33006538425257054,3.181255328589026
core,all,1,sequential_ols,M1,0.9,downside,2523,estimated,-36503.124474355296,-0.6157635307934263
core,all,1,sequential_ols,M1,0.9,btc_vol,2523,estimated,494.3225247984102,0.9656877035041402
core,all,1,sequential_ols,M1,0.9,btc_ret,2523,estimated,121.85321665885739,0.5563885090617202
core,all,1,sequential_ols,M2,0.1,e_origin,2523,estimated,0.4519237792606507,4.355757978512826
core,all,1,sequential_ols,M2,0.1,downside,2523,estimated,-135311.9980468775,-2.2825496413216295
core,all,1,sequential_ols,M2,0.1,btc_vol,2523,estimated,-193.99329049410096,-0.37897713697925833
core,all,1,sequential_ols,M2,0.1,btc_ret,2523,estimated,280.3360839727678,1.2800300236183528
core,all,1,sequential_ols,M2,0.1,account_ls,2523,estimated,0.5891670806543418,0.3660152014951209
core,all,1,sequential_ols,M2,0.5,e_origin,2523,estimated,0.3782050640431996,3.64523798219962
core,all,1,sequential_ols,M2,0.5,downside,2523,estimated,-117708.29592029413,-1.985596491896955
core,all,1,sequential_ols,M2,0.5,btc_vol,2523,estimated,271.6837240717919,0.5307499019700448
core,all,1,sequential_ols,M2,0.5,btc_ret,2523,estimated,108.33124378923024,0.49464643502548256
core,all,1,sequential_ols,M2,0.5,account_ls,2523,estimated,0.678390920425215,0.4214447778652648
core,all,1,sequential_ols,M2,0.9,e_origin,2523,estimated,0.3279159042375196,3.1605380856492333
core,all,1,sequential_ols,M2,0.9,downside,2523,estimated,-86326.20401902297,-1.4562185827158862
core,all,1,sequential_ols,M2,0.9,btc_vol,2523,estimated,580.0446378459783,1.1331508198615978
core,all,1,sequential_ols,M2,0.9,btc_ret,2523,estimated,98.6707935519145,0.4505362863418175
core,all,1,sequential_ols,M2,0.9,account_ls,2523,estimated,1.4817818957372415,0.9205448113932941
core,all,1,pca_1,M0,0.1,e_origin,2523,estimated,0.45783190374044835,4.391749196867139
core,all,1,pca_1,M0,0.1,downside,2523,estimated,-139166.69031614444,-2.3475736346379676
core,all,1,pca_1,M0,0.5,e_origin,2523,estimated,0.3770192216919397,3.6165541338240432
core,all,1,pca_1,M0,0.5,downside,2523,estimated,-74866.05014162113,-1.2628996568266095
core,all,1,pca_1,M0,0.9,e_origin,2523,estimated,0.34038348673146135,3.265126113463689
core,all,1,pca_1,M0,0.9,downside,2523,estimated,20294.277255719622,0.3423398954974894
core,all,1,pca_1,M1,0.1,e_origin,2523,estimated,0.47173504801171945,4.525115006869533
core,all,1,pca_1,M1,0.1,downside,2523,estimated,-108882.2374403395,-1.836711567363324
core,all,1,pca_1,M1,0.1,btc_vol,2523,estimated,-240.80721533834893,-0.47043085253327516
core,all,1,pca_1,M1,0.1,btc_ret,2523,estimated,272.9827477080422,1.2464542846010211
core,all,1,pca_1,M1,0.5,e_origin,2523,estimated,0.3881453485169796,3.723281424231075
core,all,1,pca_1,M1,0.5,downside,2523,estimated,-100173.19242505275,-1.6898005183593041
core,all,1,pca_1,M1,0.5,btc_vol,2523,estimated,248.96283318926018,0.48636332471085936
core,all,1,pca_1,M1,0.5,btc_ret,2523,estimated,115.95633571584722,0.5294630253858864
core,all,1,pca_1,M1,0.9,e_origin,2523,estimated,0.33105330045492537,3.175626369667268
core,all,1,pca_1,M1,0.9,downside,2523,estimated,-35180.43091634659,-0.5934512913025478
core,all,1,pca_1,M1,0.9,btc_vol,2523,estimated,489.2979769430353,0.9558719580420405
core,all,1,pca_1,M1,0.9,btc_ret,2523,estimated,109.23121609469659,0.49875575821747614
core,all,1,pca_1,M2,0.1,e_origin,2523,estimated,0.4577698798546749,4.391154233195305
core,all,1,pca_1,M2,0.1,downside,2523,estimated,-136267.5410184033,-2.298668494774433
core,all,1,pca_1,M2,0.1,btc_vol,2523,estimated,-210.58155897879465,-0.41138328093279697
core,all,1,pca_1,M2,0.1,btc_ret,2523,estimated,278.43636163848646,1.27135578664551
core,all,1,pca_1,M2,0.1,account_ls,2523,estimated,0.6606351765068064,0.41041416804101205
core,all,1,pca_1,M2,0.5,e_origin,2523,estimated,0.3811341423631824,3.656026480345677
core,all,1,pca_1,M2,0.5,downside,2523,estimated,-118113.3936981937,-1.9924300011274116
core,all,1,pca_1,M2,0.5,btc_vol,2523,estimated,266.20063568975155,0.5200383710117455
core,all,1,pca_1,M2,0.5,btc_ret,2523,estimated,103.75867904121691,0.47376785214934974
core,all,1,pca_1,M2,0.5,account_ls,2523,estimated,0.7200737933542538,0.44733991972735493
core,all,1,pca_1,M2,0.9,e_origin,2523,estimated,0.33258109145966763,3.1902816937354257
core,all,1,pca_1,M2,0.9,downside,2523,estimated,-84524.26228805986,-1.425822006572894
core,all,1,pca_1,M2,0.9,btc_vol,2523,estimated,568.8553214558053,1.1112918417520854
core,all,1,pca_1,M2,0.9,btc_ret,2523,estimated,101.5733995511504,0.46378974545098317
core,all,1,pca_1,M2,0.9,account_ls,2523,estimated,1.5057952080959747,0.9354628841270685
core,all,1,pca_2,M0,0.1,e_origin,2523,estimated,0.4934579629424727,3.6714264098857994
core,all,1,pca_2,M0,0.1,downside,2523,estimated,-49595.966284713926,-0.8366239260982206
core,all,1,pca_2,M0,0.5,e_origin,2523,estimated,0.42664494336231584,3.174324117426894
core,all,1,pca_2,M0,0.5,downside,2523,estimated,-27251.258569773323,-0.45969575035356214
core,all,1,pca_2,M0,0.9,e_origin,2523,estimated,0.41500715637846275,3.087736643530714
core,all,1,pca_2,M0,0.9,downside,2523,estimated,-17393.25895009942,-0.29340322773306216
core,all,1,pca_2,M1,0.1,e_origin,2523,estimated,0.4963963442968209,3.6932885576609435
core,all,1,pca_2,M1,0.1,downside,2523,estimated,-33181.019252555736,-0.559723636387135
core,all,1,pca_2,M1,0.1,btc_vol,2523,estimated,-198.28194666100575,-0.38735527537508824
core,all,1,pca_2,M1,0.1,btc_ret,2523,estimated,123.83037314514948,0.5654163146441492
core,all,1,pca_2,M1,0.5,e_origin,2523,estimated,0.41725490637949775,3.104460355247537
core,all,1,pca_2,M1,0.5,downside,2523,estimated,-29288.52891814045,-0.4940620354580772
core,all,1,pca_2,M1,0.5,btc_vol,2523,estimated,32.141878047914716,0.06279102173436044
core,all,1,pca_2,M1,0.5,btc_ret,2523,estimated,87.22822510608016,0.3982888876109472
core,all,1,pca_2,M1,0.9,e_origin,2523,estimated,0.41400993420969145,3.0803171101927194
core,all,1,pca_2,M1,0.9,downside,2523,estimated,-48471.16900238433,-0.8176499572676701
core,all,1,pca_2,M1,0.9,btc_vol,2523,estimated,315.63684103433286,0.6166148635125408
core,all,1,pca_2,M1,0.9,btc_ret,2523,estimated,103.92555506575371,0.47452981728277843
core,all,1,pca_2,M2,0.1,e_origin,2523,estimated,0.506979372873937,3.7720284170461493
core,all,1,pca_2,M2,0.1,downside,2523,estimated,-42833.917556597,-0.7225563480434241
core,all,1,pca_2,M2,0.1,btc_vol,2523,estimated,-171.56298973007534,-0.33515824435939945
core,all,1,pca_2,M2,0.1,btc_ret,2523,estimated,107.13557826010279,0.4891869602629067
core,all,1,pca_2,M2,0.1,account_ls,2523,estimated,0.5624579732344578,0.3494223882592112
core,all,1,pca_2,M2,0.5,e_origin,2523,estimated,0.42136132740839266,3.1350129529312283
core,all,1,pca_2,M2,0.5,downside,2523,estimated,-40638.72453473239,-0.6855260985680381
core,all,1,pca_2,M2,0.5,btc_vol,2523,estimated,42.44802107155212,0.08292466948294393
core,all,1,pca_2,M2,0.5,btc_ret,2523,estimated,83.00050952887864,0.3789849050716797
core,all,1,pca_2,M2,0.5,account_ls,2523,estimated,0.5872936708258718,0.3648513610526291
core,all,1,pca_2,M2,0.9,e_origin,2523,estimated,0.40875994970926566,3.0412561704696706
core,all,1,pca_2,M2,0.9,downside,2523,estimated,-48428.69732175754,-0.8169335114182236
core,all,1,pca_2,M2,0.9,btc_vol,2523,estimated,309.67207125093296,0.6049623400180645
core,all,1,pca_2,M2,0.9,btc_ret,2523,estimated,108.77367760355665,0.49666661222770386
core,all,1,pca_2,M2,0.9,account_ls,2523,estimated,0.15350620904548512,0.09536446939997807
core,all,1,conditional_linear,M0,0.1,e_origin,2523,estimated,0.4683301471942905,5.366401173960698
core,all,1,conditional_linear,M0,0.1,downside,2523,estimated,-99577.5028949958,-1.6797519569397952
core,all,1,conditional_linear,M0,0.5,e_origin,2523,estimated,0.4204140921720164,4.817350946330526
core,all,1,conditional_linear,M0,0.5,downside,2523,estimated,-71097.5772773256,-1.199330080522311
core,all,1,conditional_linear,M0,0.9,e_origin,2523,estimated,0.5465486204573347,6.262674260924874
core,all,1,conditional_linear,M0,0.9,downside,2523,estimated,23634.37044150636,0.3986832250857281
core,all,1,conditional_linear,M1,0.1,e_origin,2523,estimated,0.4739798709155136,5.431139017961903
core,all,1,conditional_linear,M1,0.1,downside,2523,estimated,-53258.54113263326,-0.8984071310327576
core,all,1,conditional_linear,M1,0.1,btc_vol,2523,estimated,-527.7604704139075,-1.0310106683528377
core,all,1,conditional_linear,M1,0.1,btc_ret,2523,estimated,200.90246988812342,0.9173317599059455
core,all,1,conditional_linear,M1,0.5,e_origin,2523,estimated,0.41389613171012324,4.742664337142368
core,all,1,conditional_linear,M1,0.5,downside,2523,estimated,-90049.43856264635,-1.5190250433015884
core,all,1,conditional_linear,M1,0.5,btc_vol,2523,estimated,169.58007175091885,0.33128449915567926
core,all,1,conditional_linear,M1,0.5,btc_ret,2523,estimated,56.27629030217129,0.2569606458925894
core,all,1,conditional_linear,M1,0.9,e_origin,2523,estimated,0.5443155882134239,6.237086869365723
core,all,1,conditional_linear,M1,0.9,downside,2523,estimated,418.62312375186775,0.007061665445496804
core,all,1,conditional_linear,M1,0.9,btc_vol,2523,estimated,334.3610871127411,0.6531937634982907
core,all,1,conditional_linear,M1,0.9,btc_ret,2523,estimated,78.6554871433054,0.3591452931743833
core,all,1,conditional_linear,M2,0.1,e_origin,2523,estimated,0.46815097754481405,5.3643481431595665
core,all,1,conditional_linear,M2,0.1,downside,2523,estimated,-88241.38580212537,-1.4885253814860264
core,all,1,conditional_linear,M2,0.1,btc_vol,2523,estimated,-459.27117136070694,-0.8972128529604159
core,all,1,conditional_linear,M2,0.1,btc_ret,2523,estimated,205.29990024707695,0.9374106695006809
core,all,1,conditional_linear,M2,0.1,account_ls,2523,estimated,1.060963879191037,0.6591150808865051
core,all,1,conditional_linear,M2,0.5,e_origin,2523,estimated,0.4180864996331105,4.79068002751798
core,all,1,conditional_linear,M2,0.5,downside,2523,estimated,-95930.45108533872,-1.6182306068734822
core,all,1,conditional_linear,M2,0.5,btc_vol,2523,estimated,135.99495593619713,0.2656740287926999
core,all,1,conditional_linear,M2,0.5,btc_ret,2523,estimated,61.59717098663692,0.28125608061396684
core,all,1,conditional_linear,M2,0.5,account_ls,2523,estimated,0.5632036199867643,0.34988561516928657
core,all,1,conditional_linear,M2,0.9,e_origin,2523,estimated,0.5376106794677366,6.160258097227703
core,all,1,conditional_linear,M2,0.9,downside,2523,estimated,-27556.099900356276,-0.4648380546564006
core,all,1,conditional_linear,M2,0.9,btc_vol,2523,estimated,373.4221953952098,0.7295019025397126
core,all,1,conditional_linear,M2,0.9,btc_ret,2523,estimated,59.846139783539044,0.2732607755483672
core,all,1,conditional_linear,M2,0.9,account_ls,2523,estimated,0.9377791268217324,0.5825875669773735
core,all,1,ae_relu_1,M0,0.1,e_origin,2523,estimated,0.9041871862827146,42.49137484465316
core,all,1,ae_relu_1,M0,0.1,downside,2523,estimated,-78497.26013547221,-1.3241537746333458
core,all,1,ae_relu_1,M0,0.5,e_origin,2523,estimated,0.9496170422178905,44.62630560563451
core,all,1,ae_relu_1,M0,0.5,downside,2523,estimated,-8360.247635772186,-0.14102725935493762
core,all,1,ae_relu_1,M0,0.9,e_origin,2523,estimated,1.011340860680273,47.526954881489615
core,all,1,ae_relu_1,M0,0.9,downside,2523,estimated,105894.2708096272,1.7863081865866204
core,all,1,ae_relu_1,M1,0.1,e_origin,2523,estimated,0.901616894094234,42.370586527258375
core,all,1,ae_relu_1,M1,0.1,downside,2523,estimated,-45447.35632415062,-0.7666418970531205
core,all,1,ae_relu_1,M1,0.1,btc_vol,2523,estimated,-393.7303657956771,-0.7691750904940663
core,all,1,ae_relu_1,M1,0.1,btc_ret,2523,estimated,185.8185423076369,0.8484577144977088
core,all,1,ae_relu_1,M1,0.5,e_origin,2523,estimated,0.9497746861234814,44.6337139237196
core,all,1,ae_relu_1,M1,0.5,downside,2523,estimated,-29411.74196746744,-0.4961404904776389
core,all,1,ae_relu_1,M1,0.5,btc_vol,2523,estimated,151.49619510189376,0.2959565979665296
core,all,1,ae_relu_1,M1,0.5,btc_ret,2523,estimated,63.3493795395293,0.28925676152367447
core,all,1,ae_relu_1,M1,0.9,e_origin,2523,estimated,1.0070376405250616,47.32472934298593
core,all,1,ae_relu_1,M1,0.9,downside,2523,estimated,13439.549340244354,0.22670893171994655
core,all,1,ae_relu_1,M1,0.9,btc_vol,2523,estimated,817.0245408090208,1.5961047958357681
core,all,1,ae_relu_1,M1,0.9,btc_ret,2523,estimated,25.605367229292796,0.11691551923958571
core,all,1,ae_relu_1,M2,0.1,e_origin,2523,estimated,0.9015517171401934,42.36752360132071
core,all,1,ae_relu_1,M2,0.1,downside,2523,estimated,-49322.05112101728,-0.8320033088013588
core,all,1,ae_relu_1,M2,0.1,btc_vol,2523,estimated,-331.27880194177584,-0.6471723407652115
core,all,1,ae_relu_1,M2,0.1,btc_ret,2523,estimated,191.07469963911473,0.8724576188190051
core,all,1,ae_relu_1,M2,0.1,account_ls,2523,estimated,-0.3580079228903829,-0.2224094765920075
core,all,1,ae_relu_1,M2,0.5,e_origin,2523,estimated,0.9493692731510999,44.614661945503485
core,all,1,ae_relu_1,M2,0.5,downside,2523,estimated,-46099.97501571545,-0.7776507845269054
core,all,1,ae_relu_1,M2,0.5,btc_vol,2523,estimated,146.00870560238153,0.28523646917015705
core,all,1,ae_relu_1,M2,0.5,btc_ret,2523,estimated,78.34517580849324,0.3577283945019055
core,all,1,ae_relu_1,M2,0.5,account_ls,2523,estimated,0.6757817270421332,0.4198238379431161
core,all,1,ae_relu_1,M2,0.9,e_origin,2523,estimated,1.0069220332321844,47.31929649358158
core,all,1,ae_relu_1,M2,0.9,downside,2523,estimated,13082.74616196461,0.22069009393497274
core,all,1,ae_relu_1,M2,0.9,btc_vol,2523,estimated,840.9712338631044,1.6428860486855088
core,all,1,ae_relu_1,M2,0.9,btc_ret,2523,estimated,19.166151461304757,0.08751370483604973
core,all,1,ae_relu_1,M2,0.9,account_ls,2523,estimated,-0.11943005743558308,-0.07419494057324105
core,all,1,ae_relu_2,M0,0.1,e_origin,2523,estimated,0.910954101201579,47.5342366206815
core,all,1,ae_relu_2,M0,0.1,downside,2523,estimated,-56378.54733354149,-0.9510378595534993
core,all,1,ae_relu_2,M0,0.5,e_origin,2523,estimated,0.9592594421221478,50.0548438634968
core,all,1,ae_relu_2,M0,0.5,downside,2523,estimated,-3300.4545952292306,-0.05567467453942196
core,all,1,ae_relu_2,M0,0.9,e_origin,2523,estimated,1.0327828916745403,53.89135005363558
core,all,1,ae_relu_2,M0,0.9,downside,2523,estimated,50317.86652666934,0.848801509476854
core,all,1,ae_relu_2,M1,0.1,e_origin,2523,estimated,0.911950764900778,47.58624324543513
core,all,1,ae_relu_2,M1,0.1,downside,2523,estimated,-15732.86434379644,-0.26539438027109313
core,all,1,ae_relu_2,M1,0.1,btc_vol,2523,estimated,-345.5697163200725,-0.6750904703155078
core,all,1,ae_relu_2,M1,0.1,btc_ret,2523,estimated,97.3571412144072,0.4445380773036649
core,all,1,ae_relu_2,M1,0.5,e_origin,2523,estimated,0.9592226570307758,50.05292439111605
core,all,1,ae_relu_2,M1,0.5,downside,2523,estimated,-1140.8275833121504,-0.019244380606935108
core,all,1,ae_relu_2,M1,0.5,btc_vol,2523,estimated,-62.90442005093795,-0.1228874305576565
core,all,1,ae_relu_2,M1,0.5,btc_ret,2523,estimated,66.51339929476349,0.3037038502631133
core,all,1,ae_relu_2,M1,0.9,e_origin,2523,estimated,1.0321978465535149,53.860821980728375
core,all,1,ae_relu_2,M1,0.9,downside,2523,estimated,47019.41939603711,0.7931606984355843
core,all,1,ae_relu_2,M1,0.9,btc_vol,2523,estimated,9.528237088141653,0.01861396341557139
core,all,1,ae_relu_2,M1,0.9,btc_ret,2523,estimated,85.54556134294775,0.39060575204758763
core,all,1,ae_relu_2,M2,0.1,e_origin,2523,estimated,0.9118318300297164,47.58003713878712
core,all,1,ae_relu_2,M2,0.1,downside,2523,estimated,-18824.950455267914,-0.3175541306742295
core,all,1,ae_relu_2,M2,0.1,btc_vol,2523,estimated,-326.01903272836273,-0.6368970767465749
core,all,1,ae_relu_2,M2,0.1,btc_ret,2523,estimated,94.61462684837139,0.4320156054228366
core,all,1,ae_relu_2,M2,0.1,account_ls,2523,estimated,0.059725743489100445,0.0371041267501406
core,all,1,ae_relu_2,M2,0.5,e_origin,2523,estimated,0.9596455045166329,50.074988875397615
core,all,1,ae_relu_2,M2,0.5,downside,2523,estimated,-14974.680016099936,-0.2526047282799978
core,all,1,ae_relu_2,M2,0.5,btc_vol,2523,estimated,-55.66764246141398,-0.10874996608737447
core,all,1,ae_relu_2,M2,0.5,btc_ret,2523,estimated,67.12983609926513,0.3065185347170137
core,all,1,ae_relu_2,M2,0.5,account_ls,2523,estimated,0.45444191389464583,0.2823183000945072
core,all,1,ae_relu_2,M2,0.9,e_origin,2523,estimated,1.0324781938998684,53.87545070579803
core,all,1,ae_relu_2,M2,0.9,downside,2523,estimated,73956.59395592858,1.2475582316727876
core,all,1,ae_relu_2,M2,0.9,btc_vol,2523,estimated,-31.35137137023768,-0.06124672112114857
core,all,1,ae_relu_2,M2,0.9,btc_ret,2523,estimated,95.2559408073881,0.434943880336553
