month,method,candidate_id,member_prediction_sd_bp,member_rmses_bp
2025-08,ae_relu_1,f05,0.0010954529016928007,"[7.71862391072001, 7.718938528603144, 7.719223657187894]"
2025-08,ae_relu_2,f06,1.012478904992276,"[7.471385964123997, 8.07773906700882, 7.614782042021502]"
2025-08,ae_tanh_1,f08,0.25186142093234526,"[9.091407960128713, 8.803152955476419, 8.804866380701236]"
2025-08,ae_tanh_2,f10,0.09873961374329432,"[8.894374612000846, 9.002877548428094, 8.955624278808346]"
2025-08,ae_selected,f05,0.0010954529016928007,"[7.71862391072001, 7.718938528603144, 7.719223657187894]"
2025-08,ae_reconstruction_selected,f05,0.0010954529016928007,"[7.71862391072001, 7.718938528603144, 7.719223657187894]"
2025-09,ae_relu_1,f05,0.005398487236589038,"[6.579933599657491, 6.614674846630762, 6.59234517574579]"
2025-09,ae_relu_2,f06,2.8168379062774416,"[6.253368514725516, 6.097281336752026, 6.4979683339198155]"
2025-09,ae_tanh_1,f08,0.25201329675592676,"[12.071024857910395, 11.489761638340749, 11.759486963526133]"
2025-09,ae_tanh_2,f10,0.4196255645127617,"[10.492545410909706, 9.771501356776872, 10.762804085270803]"
2025-09,ae_selected,f05,0.005398487236589038,"[6.579933599657491, 6.614674846630762, 6.59234517574579]"
2025-09,ae_reconstruction_selected,f05,0.005398487236589038,"[6.579933599657491, 6.614674846630762, 6.59234517574579]"
2025-10,ae_relu_1,f05,65.43645151308748,"[14.974340710799197, 181.25156375962274, 179.47806316897845]"
2025-10,ae_relu_2,f06,54.60141958614168,"[181.47404234206266, 185.30853363923592, 46.199338710362554]"
2025-10,ae_tanh_1,f08,2.05103679374118,"[149.12161976630267, 150.19426731312583, 152.03781751198883]"
2025-10,ae_tanh_2,f10,1.7377975086971136,"[150.1978814826415, 151.46611295773897, 149.8657403485979]"
2025-10,ae_selected,f05,65.43645151308748,"[14.974340710799197, 181.25156375962274, 179.47806316897845]"
2025-10,ae_reconstruction_selected,f05,65.43645151308748,"[14.974340710799197, 181.25156375962274, 179.47806316897845]"
2025-11,ae_relu_1,f05,0.007330515507640347,"[9.731035520731353, 9.730340999780948, 9.731049758303838]"
2025-11,ae_relu_2,f06,2.976420910750055,"[10.766596566881697, 9.719106963786388, 10.012138060751084]"
2025-11,ae_tanh_1,f08,0.5381171686881003,"[11.972199117791199, 11.754583654096217, 11.645830722264753]"
2025-11,ae_tanh_2,f10,0.22119263252536422,"[13.255343040230725, 13.249439004356594, 13.267053913454971]"
2025-11,ae_selected,f05,0.007330515507640347,"[9.731035520731353, 9.730340999780948, 9.731049758303838]"
2025-11,ae_reconstruction_selected,f05,0.007330515507640347,"[9.731035520731353, 9.730340999780948, 9.731049758303838]"
2025-12,ae_relu_1,f05,0.011263075200808792,"[13.34248043377732, 13.350796463362078, 13.3685826734399]"
2025-12,ae_relu_2,f06,2.725979902328995,"[9.261603180023716, 14.040152458915438, 13.209193634457279]"
2025-12,ae_tanh_1,f08,0.32318906711866463,"[12.334286028253814, 12.405284030967602, 12.747767948572578]"
2025-12,ae_tanh_2,f10,0.5449783067038177,"[12.014209846743602, 12.583965591423183, 12.771587185842522]"
2025-12,ae_selected,f05,0.011263075200808792,"[13.34248043377732, 13.350796463362078, 13.3685826734399]"
2025-12,ae_reconstruction_selected,f05,0.011263075200808792,"[13.34248043377732, 13.350796463362078, 13.3685826734399]"
2026-01,ae_relu_1,f05,0.004004414707102396,"[8.323701868262784, 8.324783115196709, 8.326072088290516]"
2026-01,ae_relu_2,f06,4.7400067938241195,"[6.701307523876797, 12.387621222390566, 8.26379156827905]"
2026-01,ae_tanh_1,f08,0.33774047575932314,"[9.231883345122306, 9.144949625660999, 9.397070773978927]"
2026-01,ae_tanh_2,f10,0.49160170191537567,"[10.28777992192664, 10.410128001064576, 10.47653313350604]"
2026-01,ae_selected,f05,0.004004414707102396,"[8.323701868262784, 8.324783115196709, 8.326072088290516]"
2026-01,ae_reconstruction_selected,f05,0.004004414707102396,"[8.323701868262784, 8.324783115196709, 8.326072088290516]"
2026-02,ae_relu_1,f05,0.013989080714003562,"[10.276836566974143, 10.285169407533195, 10.28988572034214]"
2026-02,ae_relu_2,f07,4.0730776698897575,"[6.785054481972845, 10.298339756841536, 10.779081279446782]"
2026-02,ae_tanh_1,f08,0.609714718413357,"[10.350021228705087, 10.450509136406001, 10.19539509465018]"
2026-02,ae_tanh_2,f11,0.04757634914820489,"[11.804170718721856, 11.801814489570026, 11.785704090646153]"
2026-02,ae_selected,f07,4.0730776698897575,"[6.785054481972845, 10.298339756841536, 10.779081279446782]"
2026-02,ae_reconstruction_selected,f06,9.303465684867675,"[7.192246869370886, 17.608265072287725, 10.337953930570219]"
2026-03,ae_relu_1,f05,0.02075511342953658,"[11.306940077669038, 11.304955267572922, 11.320350478230344]"
2026-03,ae_relu_2,f07,3.630131824512281,"[8.119724997850884, 11.325175317367421, 8.260283169487327]"
2026-03,ae_tanh_1,f08,1.065071062804544,"[14.113006361571582, 14.08498907841608, 14.13783658673668]"
2026-03,ae_tanh_2,f11,0.035674039502010264,"[13.854747658043545, 13.84443997662475, 13.852848172488198]"
2026-03,ae_selected,f07,3.630131824512281,"[8.119724997850884, 11.325175317367421, 8.260283169487327]"
2026-03,ae_reconstruction_selected,f06,8.36182038873263,"[8.086679837866926, 18.256536566431883, 8.69207630858459]"
