scope,method,variant,n,status,term,coef_raw,effect_bp_per_sd
core,sequential_ols,Aug_Nov,926,estimated,e_origin,0.3966995079094699,3.744027564802156
core,sequential_ols,Aug_Nov,926,estimated,downside,5060.736267866477,0.08626178801562688
core,sequential_ols,Aug_Nov,926,estimated,btc_vol,-831.0499005692658,-1.6196922264845421
core,sequential_ols,Aug_Nov,926,estimated,account_ls,1.9797610747473335,1.2133297136833827
core,sequential_ols,Dec_Mar,804,estimated,e_origin,0.2525205481455342,2.383274680420295
core,sequential_ols,Dec_Mar,804,estimated,downside,-308505.41488047765,-5.258568574116206
core,sequential_ols,Dec_Mar,804,estimated,btc_vol,804.7252507144786,1.568386245092186
core,sequential_ols,Dec_Mar,804,estimated,account_ls,5.117213111916824,3.136169712161502
core,sequential_ols,exclude_top1_downside_days,1720,estimated,e_origin,0.3633848885296364,3.4296060674670668
core,sequential_ols,exclude_top1_downside_days,1720,estimated,downside,-132543.54063055894,-2.2592449397751477
core,sequential_ols,exclude_top1_downside_days,1720,estimated,btc_vol,-964.6638644944254,-1.8801019787402427
core,sequential_ols,exclude_top1_downside_days,1720,estimated,account_ls,2.46841350997348,1.512808538116425
core,sequential_ols,exclude_top5_downside_days,1680,estimated,e_origin,0.28211116532575387,2.6625492551886945
core,sequential_ols,exclude_top5_downside_days,1680,estimated,downside,133604.46638041208,2.2773287416747343
core,sequential_ols,exclude_top5_downside_days,1680,estimated,btc_vol,-1758.4499253463314,-3.4271680590958575
core,sequential_ols,exclude_top5_downside_days,1680,estimated,account_ls,1.4294227676785067,0.8760456701378565
core,pca_1,Aug_Nov,926,estimated,e_origin,0.39948302349214615,3.7521461888261207
core,pca_1,Aug_Nov,926,estimated,downside,6036.641558218566,0.10289639033904949
core,pca_1,Aug_Nov,926,estimated,btc_vol,-835.4212800259788,-1.628211918647675
core,pca_1,Aug_Nov,926,estimated,account_ls,1.977008673011225,1.2116428582072285
core,pca_1,Dec_Mar,804,estimated,e_origin,0.25312197079613014,2.377449308680143
core,pca_1,Dec_Mar,804,estimated,downside,-314105.3389653555,-5.354020982371613
core,pca_1,Dec_Mar,804,estimated,btc_vol,898.9574350466127,1.7520420476413072
