month,method,feature,bin,n,residual_mean_bp,cuts
2025-08,sequential_ols,m,0,24,0.7638509849471955,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,sequential_ols,m,1,71,1.18381815469629,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,sequential_ols,m,2,178,2.1170196539343897,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,sequential_ols,m,3,76,-0.09557021001698944,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,sequential_ols,m,4,8,-3.0416521255155224,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,sequential_ols,g,0,167,2.9201815930462334,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,sequential_ols,g,1,83,1.3174475219461732,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,sequential_ols,g,2,34,1.363364490961643,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,sequential_ols,g,3,36,0.06236346808949817,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,sequential_ols,g,4,37,-5.351391617489078,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_1,m,0,24,0.7675983167882047,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca_1,m,1,71,1.1825939830160104,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca_1,m,2,178,2.1142437718344653,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca_1,m,3,76,-0.09575995517502363,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca_1,m,4,8,-3.032825385568259,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca_1,g,0,167,2.9186992181335922,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_1,g,1,83,1.3151988227234783,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_1,g,2,34,1.3600809545273322,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_1,g,3,36,0.06112559520509701,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_1,g,4,37,-5.347188688917048,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_2,m,0,24,1.5843483709087198,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca_2,m,1,71,-0.5322582772028216,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca_2,m,2,178,-0.17072790220727668,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca_2,m,3,76,1.9794530273675504,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca_2,m,4,8,4.582844401915583,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca_2,g,0,167,2.02959648156952,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_2,g,1,83,-0.008197880858473219,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_2,g,2,34,-0.6567819793253392,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_2,g,3,36,0.2532697176433661,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_2,g,4,37,-4.5433424034103815,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,conditional_linear,m,0,24,-1.831897454014087,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,conditional_linear,m,1,71,-1.277922507336601,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,conditional_linear,m,2,178,2.984734017525482,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,conditional_linear,m,3,76,2.630017908046423,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,conditional_linear,m,4,8,5.935233510185633,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,conditional_linear,g,0,167,2.789141367184232,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,conditional_linear,g,1,83,2.555732637398329,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,conditional_linear,g,2,34,2.037133779665906,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,conditional_linear,g,3,36,-0.5186736055656387,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,conditional_linear,g,4,37,-2.2852667199133405,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_relu_1,m,0,24,0.7676963596254319,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_relu_1,m,1,71,1.1825503511837425,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_relu_1,m,2,178,2.114143045548538,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_relu_1,m,3,76,-0.09580096749525667,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_relu_1,m,4,8,-3.032774892550364,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_relu_1,g,0,167,2.9186255920686217,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_relu_1,g,1,83,1.3150994354422747,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_relu_1,g,2,34,1.3599729734447357,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_relu_1,g,3,36,0.06110542782875619,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_relu_1,g,4,37,-5.347092608472203,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_relu_2,m,0,24,0.9892627833851785,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_relu_2,m,1,71,0.9938983122401045,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_relu_2,m,2,178,1.8038688602994453,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_relu_2,m,3,76,-0.3067873117827464,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_relu_2,m,4,8,-3.027845724974558,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_relu_2,g,0,167,2.5393408318909896,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_relu_2,g,1,83,0.9572352536024735,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_relu_2,g,2,34,1.0854901502283514,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_relu_2,g,3,36,0.22306496332854456,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_relu_2,g,4,37,-4.881035301461737,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_tanh_1,m,0,24,-4.1393516415927065,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_tanh_1,m,1,71,-0.6996711375820355,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_tanh_1,m,2,178,5.751663574731047,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_tanh_1,m,3,76,4.149307570481779,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_tanh_1,m,4,8,-6.612213923117892,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_tanh_1,g,0,167,4.14030111884141,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_tanh_1,g,1,83,3.4248441996228784,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_tanh_1,g,2,34,3.4116538380811328,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_tanh_1,g,3,36,0.6608986759555546,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_tanh_1,g,4,37,0.5876689692669251,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_tanh_2,m,0,24,-3.354073953993177,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_tanh_2,m,1,71,-1.47639679140824,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_tanh_2,m,2,178,4.742111479330249,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_tanh_2,m,3,76,5.024656783468539,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_tanh_2,m,4,8,-3.671743945989366,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_tanh_2,g,0,167,4.605376243152461,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_tanh_2,g,1,83,3.3523821176104986,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_tanh_2,g,2,34,2.9489088125873764,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_tanh_2,g,3,36,-1.082805040407522,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_tanh_2,g,4,37,-2.631178549480413,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,conditional_neural,m,0,24,1.863659293348914,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,conditional_neural,m,1,71,1.1148829957792123,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,conditional_neural,m,2,178,1.7998042251244277,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,conditional_neural,m,3,76,-0.8522383342110998,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,conditional_neural,m,4,8,0.1320478264252074,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,conditional_neural,g,0,167,2.102024371567459,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,conditional_neural,g,1,83,1.2395878995237157,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,conditional_neural,g,2,34,1.1347706109988152,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,conditional_neural,g,3,36,0.9834520786809057,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,conditional_neural,g,4,37,-3.9830920079595176,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_selected,m,0,24,0.7675983167882047,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca_selected,m,1,71,1.1825939830160104,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca_selected,m,2,178,2.1142437718344653,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca_selected,m,3,76,-0.09575995517502363,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca_selected,m,4,8,-3.032825385568259,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca_selected,g,0,167,2.9186992181335922,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_selected,g,1,83,1.3151988227234783,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_selected,g,2,34,1.3600809545273322,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_selected,g,3,36,0.06112559520509701,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_selected,g,4,37,-5.347188688917048,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_selected,m,0,24,0.7676963596254319,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_selected,m,1,71,1.1825503511837425,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_selected,m,2,178,2.114143045548538,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_selected,m,3,76,-0.09580096749525667,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_selected,m,4,8,-3.032774892550364,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,ae_selected,g,0,167,2.9186255920686217,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_selected,g,1,83,1.3150994354422747,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
