month,method,feature,bin,n,residual_mean_bp,cuts
2025-08,sequential_ols,m,0,19,-0.04456273416729878,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,sequential_ols,m,1,63,2.8509298204936857,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,sequential_ols,m,2,192,0.6024511656401675,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,sequential_ols,m,3,75,0.3615510219039911,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,sequential_ols,m,4,8,-7.6945286013597745,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,sequential_ols,g,0,160,1.506451283394472,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,sequential_ols,g,1,86,1.034428547531195,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,sequential_ols,g,2,45,1.868962117244997,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,sequential_ols,g,3,31,0.446363688882407,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,sequential_ols,g,4,35,-4.798314905297744,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_1,m,0,19,-0.25288721337444775,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,pca_1,m,1,63,2.7614034322531746,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,pca_1,m,2,192,0.6371023769978326,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,pca_1,m,3,75,0.5423958965514033,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,pca_1,m,4,8,-7.439082537646673,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,pca_1,g,0,160,1.5991277788827898,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_1,g,1,86,1.0868981331087846,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_1,g,2,45,1.8529584223201874,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_1,g,3,31,0.32524439665981997,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_1,g,4,35,-4.8612897676532425,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_2,m,0,19,0.5321373642891394,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,pca_2,m,1,63,2.603326779152429,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,pca_2,m,2,192,0.599582265434412,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,pca_2,m,3,75,1.2116235865467366,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,pca_2,m,4,8,-3.5806938512769975,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,pca_2,g,0,160,2.014022427069599,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_2,g,1,86,1.0758381245182498,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_2,g,2,45,1.717000480368514,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_2,g,3,31,0.7584559277406883,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca_2,g,4,35,-4.687903207541622,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,conditional_linear,m,0,19,0.776229401761574,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,conditional_linear,m,1,63,3.209152919207206,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,conditional_linear,m,2,192,0.5131785950348963,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,conditional_linear,m,3,75,-0.11884489169577582,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,conditional_linear,m,4,8,-9.108048318438637,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,conditional_linear,g,0,160,1.3893993736654395,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,conditional_linear,g,1,86,0.9214210531007473,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,conditional_linear,g,2,45,1.8994154502031926,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,conditional_linear,g,3,31,0.6341639199623819,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,conditional_linear,g,4,35,-4.942895936159441,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,ae_relu_1,m,0,19,-0.2528036043374659,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,ae_relu_1,m,1,63,2.7613706512992007,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,ae_relu_1,m,2,192,0.6370715649997597,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,ae_relu_1,m,3,75,0.5424605501949911,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,ae_relu_1,m,4,8,-7.438696429317698,"[-138.18004116589591, -44.50852974744261, 63.64343980596025, 143.04746343627716]"
2025-08,ae_relu_1,g,0,160,1.5991642811786806,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
