scope,sample,h,method,n,days
core,all,1,sequential_ols,2523,198
core,all,1,pca_1,2523,198
core,all,1,pca_2,2523,198
core,all,1,conditional_linear,2523,198
core,all,1,ae_relu_1,2523,198
core,all,1,ae_relu_2,2523,198
core,all,1,ae_tanh_1,2523,198
core,all,1,ae_tanh_2,2523,198
core,all,1,conditional_neural,2523,198
core,all,1,pca_selected,2523,198
core,all,1,ae_selected,2523,198
core,all,1,ae_reconstruction_selected,2523,198
core,matched,1,sequential_ols,724,179
core,matched,1,pca_1,724,179
core,matched,1,pca_2,724,179
core,matched,1,conditional_linear,724,179
core,matched,1,ae_relu_1,724,179
core,matched,1,ae_relu_2,724,179
core,matched,1,ae_tanh_1,724,179
core,matched,1,ae_tanh_2,724,179
core,matched,1,conditional_neural,724,179
core,matched,1,pca_selected,724,179
core,matched,1,ae_selected,724,179
core,matched,1,ae_reconstruction_selected,724,179
core,all,6,sequential_ols,1726,198
core,all,6,pca_1,1726,198
core,all,6,pca_2,1726,198
core,all,6,conditional_linear,1726,198
core,all,6,ae_relu_1,1726,198
core,all,6,ae_relu_2,1726,198
core,all,6,ae_tanh_1,1726,198
core,all,6,ae_tanh_2,1726,198
core,all,6,conditional_neural,1726,198
core,all,6,pca_selected,1726,198
core,all,6,ae_selected,1726,198
core,all,6,ae_reconstruction_selected,1726,198
core,matched,6,sequential_ols,724,179
core,matched,6,pca_1,724,179
core,matched,6,pca_2,724,179
core,matched,6,conditional_linear,724,179
core,matched,6,ae_relu_1,724,179
core,matched,6,ae_relu_2,724,179
core,matched,6,ae_tanh_1,724,179
core,matched,6,ae_tanh_2,724,179
core,matched,6,conditional_neural,724,179
core,matched,6,pca_selected,724,179
core,matched,6,ae_selected,724,179
core,matched,6,ae_reconstruction_selected,724,179
core,all,12,sequential_ols,1340,179
core,all,12,pca_1,1340,179
core,all,12,pca_2,1340,179
core,all,12,conditional_linear,1340,179
core,all,12,ae_relu_1,1340,179
core,all,12,ae_relu_2,1340,179
core,all,12,ae_tanh_1,1340,179
core,all,12,ae_tanh_2,1340,179
core,all,12,conditional_neural,1340,179
core,all,12,pca_selected,1340,179
core,all,12,ae_selected,1340,179
core,all,12,ae_reconstruction_selected,1340,179
core,matched,12,sequential_ols,724,179
core,matched,12,pca_1,724,179
core,matched,12,pca_2,724,179
core,matched,12,conditional_linear,724,179
core,matched,12,ae_relu_1,724,179
core,matched,12,ae_relu_2,724,179
core,matched,12,ae_tanh_1,724,179
core,matched,12,ae_tanh_2,724,179
core,matched,12,conditional_neural,724,179
core,matched,12,pca_selected,724,179
core,matched,12,ae_selected,724,179
core,matched,12,ae_reconstruction_selected,724,179
full_macro,all,1,sequential_ols,501,163
full_macro,all,1,pca_1,501,163
full_macro,all,1,pca_2,501,163
full_macro,all,1,conditional_linear,501,163
full_macro,all,1,ae_relu_1,501,163
full_macro,all,1,ae_relu_2,501,163
full_macro,all,1,ae_tanh_1,501,163
full_macro,all,1,ae_tanh_2,501,163
full_macro,all,1,conditional_neural,501,163
full_macro,all,1,pca_selected,501,163
full_macro,all,1,ae_selected,501,163
full_macro,all,1,ae_reconstruction_selected,501,163
full_macro,matched,1,sequential_ols,188,123
full_macro,matched,1,pca_1,188,123
full_macro,matched,1,pca_2,188,123
full_macro,matched,1,conditional_linear,188,123
full_macro,matched,1,ae_relu_1,188,123
full_macro,matched,1,ae_relu_2,188,123
full_macro,matched,1,ae_tanh_1,188,123
full_macro,matched,1,ae_tanh_2,188,123
full_macro,matched,1,conditional_neural,188,123
full_macro,matched,1,pca_selected,188,123
full_macro,matched,1,ae_selected,188,123
full_macro,matched,1,ae_reconstruction_selected,188,123
full_macro,all,6,sequential_ols,188,123
full_macro,all,6,pca_1,188,123
full_macro,all,6,pca_2,188,123
full_macro,all,6,conditional_linear,188,123
full_macro,all,6,ae_relu_1,188,123
full_macro,all,6,ae_relu_2,188,123
full_macro,all,6,ae_tanh_1,188,123
full_macro,all,6,ae_tanh_2,188,123
full_macro,all,6,conditional_neural,188,123
full_macro,all,6,pca_selected,188,123
full_macro,all,6,ae_selected,188,123
full_macro,all,6,ae_reconstruction_selected,188,123
full_macro,matched,6,sequential_ols,188,123
full_macro,matched,6,pca_1,188,123
full_macro,matched,6,pca_2,188,123
full_macro,matched,6,conditional_linear,188,123
full_macro,matched,6,ae_relu_1,188,123
full_macro,matched,6,ae_relu_2,188,123
full_macro,matched,6,ae_tanh_1,188,123
full_macro,matched,6,ae_tanh_2,188,123
full_macro,matched,6,conditional_neural,188,123
full_macro,matched,6,pca_selected,188,123
full_macro,matched,6,ae_selected,188,123
full_macro,matched,6,ae_reconstruction_selected,188,123
full_macro,all,12,sequential_ols,562,128
full_macro,all,12,pca_1,562,128
full_macro,all,12,pca_2,562,128
full_macro,all,12,conditional_linear,562,128
full_macro,all,12,ae_relu_1,562,128
full_macro,all,12,ae_relu_2,562,128
full_macro,all,12,ae_tanh_1,562,128
full_macro,all,12,ae_tanh_2,562,128
full_macro,all,12,conditional_neural,562,128
full_macro,all,12,pca_selected,562,128
full_macro,all,12,ae_selected,562,128
full_macro,all,12,ae_reconstruction_selected,562,128
full_macro,matched,12,sequential_ols,188,123
full_macro,matched,12,pca_1,188,123
full_macro,matched,12,pca_2,188,123
full_macro,matched,12,conditional_linear,188,123
full_macro,matched,12,ae_relu_1,188,123
full_macro,matched,12,ae_relu_2,188,123
full_macro,matched,12,ae_tanh_1,188,123
full_macro,matched,12,ae_tanh_2,188,123
full_macro,matched,12,conditional_neural,188,123
full_macro,matched,12,pca_selected,188,123
full_macro,matched,12,ae_selected,188,123
full_macro,matched,12,ae_reconstruction_selected,188,123
