scope,sample,h,method,model,q,term,n,status,coef_raw,effect_bp_per_sd
core,all,1,sequential_ols,M0,0.1,e_origin,2523,estimated,0.5041246993175151,4.86012517501505
core,all,1,sequential_ols,M0,0.1,downside,2523,estimated,-99797.71448638446,-1.7499383691125583
core,all,1,sequential_ols,M0,0.5,e_origin,2523,estimated,0.39166276439311953,3.7759111265922702
core,all,1,sequential_ols,M0,0.5,downside,2523,estimated,-54468.400245616875,-0.9550954546858788
core,all,1,sequential_ols,M0,0.9,e_origin,2523,estimated,0.3217916096574404,3.1023028733208604
core,all,1,sequential_ols,M0,0.9,downside,2523,estimated,17931.889680481683,0.3144330703770737
core,all,1,sequential_ols,M1,0.1,e_origin,2523,estimated,0.5009320158800579,4.82934540728844
core,all,1,sequential_ols,M1,0.1,downside,2523,estimated,-55602.293033476686,-0.9749780993551271
core,all,1,sequential_ols,M1,0.1,btc_vol,2523,estimated,-557.3066454841544,-1.105452218932105
core,all,1,sequential_ols,M1,0.1,btc_ret,2523,estimated,233.06715145236439,1.221675497633877
core,all,1,sequential_ols,M1,0.5,e_origin,2523,estimated,0.3915200931888177,3.774535673430154
core,all,1,sequential_ols,M1,0.5,downside,2523,estimated,-86670.6033776456,-1.5197563902665412
core,all,1,sequential_ols,M1,0.5,btc_vol,2523,estimated,289.0608811004582,0.5733701455172335
core,all,1,sequential_ols,M1,0.5,btc_ret,2523,estimated,152.73633862236468,0.8006029220784078
core,all,1,sequential_ols,M1,0.9,e_origin,2523,estimated,0.31262793974779424,3.013958495662529
core,all,1,sequential_ols,M1,0.9,downside,2523,estimated,-52554.4544216937,-0.921534693791471
core,all,1,sequential_ols,M1,0.9,btc_vol,2523,estimated,645.7206806702067,1.2808269290187833
core,all,1,sequential_ols,M1,0.9,btc_ret,2523,estimated,119.09521571805429,0.624265178604138
core,all,1,sequential_ols,M2,0.1,e_origin,2523,estimated,0.5032373382383618,4.851570375129306
core,all,1,sequential_ols,M2,0.1,downside,2523,estimated,-60772.992084306214,-1.0656455531214652
core,all,1,sequential_ols,M2,0.1,btc_vol,2523,estimated,-509.78318466932603,-1.011186493528013
core,all,1,sequential_ols,M2,0.1,btc_ret,2523,estimated,211.65397383788454,1.109433363746387
core,all,1,sequential_ols,M2,0.1,account_ls,2523,estimated,0.6313261764846465,0.375606500319274
core,all,1,sequential_ols,M2,0.5,e_origin,2523,estimated,0.3965441433881278,3.822971135702213
core,all,1,sequential_ols,M2,0.5,downside,2523,estimated,-93536.51658031908,-1.640149176957002
core,all,1,sequential_ols,M2,0.5,btc_vol,2523,estimated,214.4190626162794,0.4253134795200417
core,all,1,sequential_ols,M2,0.5,btc_ret,2523,estimated,157.1925857572648,0.8239613743621537
core,all,1,sequential_ols,M2,0.5,account_ls,2523,estimated,0.9298562487110851,0.5532164899658218
core,all,1,sequential_ols,M2,0.9,e_origin,2523,estimated,0.3043541781359082,2.934193474911832
core,all,1,sequential_ols,M2,0.9,downside,2523,estimated,-77433.32144110749,-1.3577819986659823
core,all,1,sequential_ols,M2,0.9,btc_vol,2523,estimated,719.9214353002974,1.4280087175671896
core,all,1,sequential_ols,M2,0.9,btc_ret,2523,estimated,109.65301821844734,0.5747717117761997
core,all,1,sequential_ols,M2,0.9,account_ls,2523,estimated,0.8176766112173287,0.4864753938168657
core,all,1,pca_1,M0,0.1,e_origin,2523,estimated,0.5123706806522648,4.930832935125607
core,all,1,pca_1,M0,0.1,downside,2523,estimated,-101243.79624331716,-1.77529520182515
core,all,1,pca_1,M0,0.5,e_origin,2523,estimated,0.39314530699832767,3.78345971235045
core,all,1,pca_1,M0,0.5,downside,2523,estimated,-51885.737330923876,-0.909808837129903
core,all,1,pca_1,M0,0.9,e_origin,2523,estimated,0.32925052411912764,3.168564068043901
core,all,1,pca_1,M0,0.9,downside,2523,estimated,16409.6250104469,0.2877403813936825
core,all,1,pca_1,M1,0.1,e_origin,2523,estimated,0.5050903931838834,4.860770609973477
core,all,1,pca_1,M1,0.1,downside,2523,estimated,-55366.45054118177,-0.9708426356477864
core,all,1,pca_1,M1,0.1,btc_vol,2523,estimated,-544.4330230242022,-1.079916592128866
core,all,1,pca_1,M1,0.1,btc_ret,2523,estimated,223.01470517073395,1.168983270363666
core,all,1,pca_1,M1,0.5,e_origin,2523,estimated,0.4034273070318807,3.882409215744876
core,all,1,pca_1,M1,0.5,downside,2523,estimated,-78025.94892343556,-1.3681736351403622
core,all,1,pca_1,M1,0.5,btc_vol,2523,estimated,232.1282674559145,0.4604407832120527
core,all,1,pca_1,M1,0.5,btc_ret,2523,estimated,151.7553045124726,0.7954606043947287
core,all,1,pca_1,M1,0.9,e_origin,2523,estimated,0.3198236073514735,3.0778435146830745
core,all,1,pca_1,M1,0.9,downside,2523,estimated,-59212.40193512754,-1.0382808324506383
core,all,1,pca_1,M1,0.9,btc_vol,2523,estimated,694.4871688375908,1.3775582760985012
core,all,1,pca_1,M1,0.9,btc_ret,2523,estimated,106.88905115889884,0.5602837377658093
core,all,1,pca_1,M2,0.1,e_origin,2523,estimated,0.504783068148696,4.857813047289833
core,all,1,pca_1,M2,0.1,downside,2523,estimated,-60796.49203949836,-1.0660576214085478
core,all,1,pca_1,M2,0.1,btc_vol,2523,estimated,-497.72182671710976,-0.9872620436409517
core,all,1,pca_1,M2,0.1,btc_ret,2523,estimated,203.9162966038966,1.0688745349862792
core,all,1,pca_1,M2,0.1,account_ls,2523,estimated,0.6530291914963502,0.3885186744355344
core,all,1,pca_1,M2,0.5,e_origin,2523,estimated,0.40258170355897077,3.87427149512243
core,all,1,pca_1,M2,0.5,downside,2523,estimated,-92239.72341370948,-1.6174100979036163
core,all,1,pca_1,M2,0.5,btc_vol,2523,estimated,190.81859023328644,0.3785004820885097
core,all,1,pca_1,M2,0.5,btc_ret,2523,estimated,157.23961527120449,0.824207890460573
core,all,1,pca_1,M2,0.5,account_ls,2523,estimated,0.998063271208227,0.5937961490574206
core,all,1,pca_1,M2,0.9,e_origin,2523,estimated,0.31287869000287954,3.0110086459302834
core,all,1,pca_1,M2,0.9,downside,2523,estimated,-72273.02484758035,-1.2672969504713567
core,all,1,pca_1,M2,0.9,btc_vol,2523,estimated,642.7150288801816,1.274865032695559
core,all,1,pca_1,M2,0.9,btc_ret,2523,estimated,104.8512168121457,0.5496019566818976
core,all,1,pca_1,M2,0.9,account_ls,2523,estimated,0.7288976621557399,0.4336564998740808
core,all,1,pca_2,M0,0.1,e_origin,2523,estimated,0.5649023404632653,4.333482813838448
core,all,1,pca_2,M0,0.1,downside,2523,estimated,-42805.677593096916,-0.7505913138546044
core,all,1,pca_2,M0,0.5,e_origin,2523,estimated,0.47545237477164626,3.6472936068594466
core,all,1,pca_2,M0,0.5,downside,2523,estimated,-18012.204398660037,-0.31584137724730704
core,all,1,pca_2,M0,0.9,e_origin,2523,estimated,0.4467327598167135,3.426979494290547
core,all,1,pca_2,M0,0.9,downside,2523,estimated,-8439.830547073281,-0.14799119778586461
core,all,1,pca_2,M1,0.1,e_origin,2523,estimated,0.5361222624592886,4.112704876701767
core,all,1,pca_2,M1,0.1,downside,2523,estimated,8363.66801665375,0.146655698922431
core,all,1,pca_2,M1,0.1,btc_vol,2523,estimated,-526.2513287824564,-1.0438520764688706
core,all,1,pca_2,M1,0.1,btc_ret,2523,estimated,67.56241253979779,0.3541440458106454
core,all,1,pca_2,M1,0.5,e_origin,2523,estimated,0.48267458403601876,3.702696669447994
core,all,1,pca_2,M1,0.5,downside,2523,estimated,-22373.943879114006,-0.3923238429250238
core,all,1,pca_2,M1,0.5,btc_vol,2523,estimated,115.71778294250032,0.22953338338996673
core,all,1,pca_2,M1,0.5,btc_ret,2523,estimated,85.78765502259738,0.44967587876490445
core,all,1,pca_2,M1,0.9,e_origin,2523,estimated,0.4261800804960249,3.2693156358942503
core,all,1,pca_2,M1,0.9,downside,2523,estimated,-31177.611457899788,-0.5466948700003116
core,all,1,pca_2,M1,0.9,btc_vol,2523,estimated,267.3002387677917,0.5302065648440905
core,all,1,pca_2,M1,0.9,btc_ret,2523,estimated,125.90592175498304,0.6599650729695761
core,all,1,pca_2,M2,0.1,e_origin,2523,estimated,0.5410781617454978,4.150722606219916
core,all,1,pca_2,M2,0.1,downside,2523,estimated,-20149.56935497495,-0.3533197600449646
core,all,1,pca_2,M2,0.1,btc_vol,2523,estimated,-441.2331758544213,-0.8752133089871759
core,all,1,pca_2,M2,0.1,btc_ret,2523,estimated,43.49214382488603,0.22797415302555618
core,all,1,pca_2,M2,0.1,account_ls,2523,estimated,1.072165856202973,0.6378833636403328
core,all,1,pca_2,M2,0.5,e_origin,2523,estimated,0.4888479202753771,3.750053609897854
core,all,1,pca_2,M2,0.5,downside,2523,estimated,-25702.27124695283,-0.4506855779198988
core,all,1,pca_2,M2,0.5,btc_vol,2523,estimated,-8.124709711271557,-0.016115864490906615
core,all,1,pca_2,M2,0.5,btc_ret,2523,estimated,99.59985906368262,0.5220757478162164
