scope,sample,h,method,n,days
core,all,1,sequential_ols,2523,164
core,all,1,pca_1,2523,164
core,all,1,pca_2,2523,164
core,all,1,conditional_linear,2523,164
core,all,1,ae_relu_1,2523,164
core,all,1,ae_relu_2,2523,164
core,all,1,ae_tanh_1,2523,164
core,all,1,ae_tanh_2,2523,164
core,all,1,conditional_neural,2523,164
core,all,1,pca_selected,2523,164
core,all,1,ae_selected,2523,164
core,all,1,ae_reconstruction_selected,2523,164
core,matched,1,sequential_ols,727,164
core,matched,1,pca_1,727,164
core,matched,1,pca_2,727,164
core,matched,1,conditional_linear,727,164
core,matched,1,ae_relu_1,727,164
core,matched,1,ae_relu_2,727,164
core,matched,1,ae_tanh_1,727,164
core,matched,1,ae_tanh_2,727,164
core,matched,1,conditional_neural,727,164
core,matched,1,pca_selected,727,164
core,matched,1,ae_selected,727,164
core,matched,1,ae_reconstruction_selected,727,164
core,all,6,sequential_ols,1729,164
core,all,6,pca_1,1729,164
core,all,6,pca_2,1729,164
core,all,6,conditional_linear,1729,164
core,all,6,ae_relu_1,1729,164
core,all,6,ae_relu_2,1729,164
core,all,6,ae_tanh_1,1729,164
core,all,6,ae_tanh_2,1729,164
core,all,6,conditional_neural,1729,164
core,all,6,pca_selected,1729,164
core,all,6,ae_selected,1729,164
core,all,6,ae_reconstruction_selected,1729,164
core,matched,6,sequential_ols,727,164
core,matched,6,pca_1,727,164
core,matched,6,pca_2,727,164
core,matched,6,conditional_linear,727,164
core,matched,6,ae_relu_1,727,164
core,matched,6,ae_relu_2,727,164
core,matched,6,ae_tanh_1,727,164
core,matched,6,ae_tanh_2,727,164
core,matched,6,conditional_neural,727,164
core,matched,6,pca_selected,727,164
core,matched,6,ae_selected,727,164
core,matched,6,ae_reconstruction_selected,727,164
core,all,12,sequential_ols,1343,164
core,all,12,pca_1,1343,164
core,all,12,pca_2,1343,164
core,all,12,conditional_linear,1343,164
core,all,12,ae_relu_1,1343,164
core,all,12,ae_relu_2,1343,164
core,all,12,ae_tanh_1,1343,164
core,all,12,ae_tanh_2,1343,164
core,all,12,conditional_neural,1343,164
core,all,12,pca_selected,1343,164
core,all,12,ae_selected,1343,164
core,all,12,ae_reconstruction_selected,1343,164
core,matched,12,sequential_ols,727,164
core,matched,12,pca_1,727,164
core,matched,12,pca_2,727,164
core,matched,12,conditional_linear,727,164
core,matched,12,ae_relu_1,727,164
core,matched,12,ae_relu_2,727,164
core,matched,12,ae_tanh_1,727,164
core,matched,12,ae_tanh_2,727,164
core,matched,12,conditional_neural,727,164
core,matched,12,pca_selected,727,164
core,matched,12,ae_selected,727,164
core,matched,12,ae_reconstruction_selected,727,164
full_macro,all,1,sequential_ols,1049,163
full_macro,all,1,pca_1,1049,163
full_macro,all,1,pca_2,1049,163
full_macro,all,1,conditional_linear,1049,163
full_macro,all,1,ae_relu_1,1049,163
full_macro,all,1,ae_relu_2,1049,163
full_macro,all,1,ae_tanh_1,1049,163
full_macro,all,1,ae_tanh_2,1049,163
full_macro,all,1,conditional_neural,1049,163
full_macro,all,1,pca_selected,1049,163
full_macro,all,1,ae_selected,1049,163
full_macro,all,1,ae_reconstruction_selected,1049,163
full_macro,matched,1,sequential_ols,0,0
full_macro,matched,1,pca_1,0,0
full_macro,matched,1,pca_2,0,0
full_macro,matched,1,conditional_linear,0,0
full_macro,matched,1,ae_relu_1,0,0
full_macro,matched,1,ae_relu_2,0,0
full_macro,matched,1,ae_tanh_1,0,0
full_macro,matched,1,ae_tanh_2,0,0
full_macro,matched,1,conditional_neural,0,0
full_macro,matched,1,pca_selected,0,0
full_macro,matched,1,ae_selected,0,0
full_macro,matched,1,ae_reconstruction_selected,0,0
full_macro,all,6,sequential_ols,237,163
full_macro,all,6,pca_1,237,163
full_macro,all,6,pca_2,237,163
full_macro,all,6,conditional_linear,237,163
full_macro,all,6,ae_relu_1,237,163
full_macro,all,6,ae_relu_2,237,163
full_macro,all,6,ae_tanh_1,237,163
