scope,method,variant,n,status,term,coef_raw,effect_bp_per_sd
core,sequential_ols,Aug_Nov,926,estimated,e_origin,0.39307792698822486,3.692591136279174
core,sequential_ols,Aug_Nov,926,estimated,downside,45.217323381300126,0.0007788625501120665
core,sequential_ols,Aug_Nov,926,estimated,btc_vol,-1038.1883909766811,-2.0318224980053468
core,sequential_ols,Aug_Nov,926,estimated,account_ls,2.359693201135912,1.4305139709591155
core,sequential_ols,Dec_Mar,803,estimated,e_origin,0.27066913356720124,2.5426776088206844
core,sequential_ols,Dec_Mar,803,estimated,downside,-321235.82521010883,-5.533245563888694
core,sequential_ols,Dec_Mar,803,estimated,btc_vol,1060.3195360648292,2.075135020941976
core,sequential_ols,Dec_Mar,803,estimated,account_ls,4.716693697719412,2.8593955468763514
core,sequential_ols,exclude_top1_downside_days,1719,estimated,e_origin,0.3746616029059938,3.5195873871499885
core,sequential_ols,exclude_top1_downside_days,1719,estimated,downside,-148517.98717214694,-2.5582031304897543
core,sequential_ols,exclude_top1_downside_days,1719,estimated,btc_vol,-830.0331014016185,-1.6244449891511474
core,sequential_ols,exclude_top1_downside_days,1719,estimated,account_ls,2.128226220856987,1.2901920219255179
core,sequential_ols,exclude_top5_downside_days,1679,estimated,e_origin,0.32776208969240433,3.07901132093527
core,sequential_ols,exclude_top5_downside_days,1679,estimated,downside,122524.71082274054,2.1104723054573546
core,sequential_ols,exclude_top5_downside_days,1679,estimated,btc_vol,-1640.0643145508068,-3.209744591099839
core,sequential_ols,exclude_top5_downside_days,1679,estimated,account_ls,1.2307808115263408,0.7461347709224593
core,pca_1,Aug_Nov,926,estimated,e_origin,0.3983528430746864,3.736226653882958
core,pca_1,Aug_Nov,926,estimated,downside,2686.500949698921,0.046274631581274005
core,pca_1,Aug_Nov,926,estimated,btc_vol,-1051.4455309378627,-2.0577678422862573
core,pca_1,Aug_Nov,926,estimated,account_ls,2.3511445771260315,1.425331548908349
core,pca_1,Dec_Mar,803,estimated,e_origin,0.26810489781251196,2.514606542059666
core,pca_1,Dec_Mar,803,estimated,downside,-325123.5796829979,-5.600211632123866
core,pca_1,Dec_Mar,803,estimated,btc_vol,1121.7049583733474,2.195271484786146
core,pca_1,Dec_Mar,803,estimated,account_ls,4.8915316083947555,2.9653873231606513
core,pca_1,exclude_top1_downside_days,1719,estimated,e_origin,0.37991318880689384,3.563277649096274
core,pca_1,exclude_top1_downside_days,1719,estimated,downside,-144010.77683170896,-2.480567015011571
core,pca_1,exclude_top1_downside_days,1719,estimated,btc_vol,-818.9724589847533,-1.6027983763588032
core,pca_1,exclude_top1_downside_days,1719,estimated,account_ls,2.09252782998689,1.2685506293682776
core,pca_1,exclude_top5_downside_days,1679,estimated,e_origin,0.3407836712358193,3.196274503407114
