scope,method,variant,n,status,term,coef_raw,effect_bp_per_sd
core,sequential_ols,Aug_Nov,925,estimated,e_origin,0.3210673781325914,3.175007575171515
core,sequential_ols,Aug_Nov,925,estimated,downside,179098.75418535477,2.4157786892311717
core,sequential_ols,Aug_Nov,925,estimated,btc_vol,-1240.2415742621956,-2.381729333031269
core,sequential_ols,Aug_Nov,925,estimated,account_ls,0.018588101655841436,0.01077495938618517
core,sequential_ols,Dec_Mar,794,estimated,e_origin,0.25106129736004096,2.4827234880939244
core,sequential_ols,Dec_Mar,794,estimated,downside,-260935.28562742376,-3.5196330937891305
core,sequential_ols,Dec_Mar,794,estimated,btc_vol,740.6096699916402,1.4222485457279068
core,sequential_ols,Dec_Mar,794,estimated,account_ls,2.3274033282411724,1.3491251985481796
core,sequential_ols,exclude_top1_downside_days,1716,estimated,e_origin,0.31478206051486846,3.112852612046024
core,sequential_ols,exclude_top1_downside_days,1716,estimated,downside,-176749.62607133866,-2.384092407202427
core,sequential_ols,exclude_top1_downside_days,1716,estimated,btc_vol,-209.7884148108381,-0.40287249811178577
core,sequential_ols,exclude_top1_downside_days,1716,estimated,account_ls,0.6117697535989901,0.3546243920316689
core,sequential_ols,exclude_top5_downside_days,1680,estimated,e_origin,0.24064971353697523,2.379764234805615
core,sequential_ols,exclude_top5_downside_days,1680,estimated,downside,48915.99714113046,0.6598048322197592
core,sequential_ols,exclude_top5_downside_days,1680,estimated,btc_vol,-846.106641081582,-1.624842327298518
core,sequential_ols,exclude_top5_downside_days,1680,estimated,account_ls,-0.17787919243297445,-0.10311117883898589
core,joint_ols,Aug_Nov,925,estimated,e_origin,0.318732651734483,3.1550494592198586
core,joint_ols,Aug_Nov,925,estimated,downside,181027.59097722181,2.441795859691079
core,joint_ols,Aug_Nov,925,estimated,btc_vol,-1235.5669554471356,-2.372752310341805
core,joint_ols,Aug_Nov,925,estimated,account_ls,-0.03938607193822582,-0.022830912665166393
core,joint_ols,Dec_Mar,794,estimated,e_origin,0.25025229873683097,2.4771807202730476
core,joint_ols,Dec_Mar,794,estimated,downside,-262942.6459450213,-3.5467094310809117
core,joint_ols,Dec_Mar,794,estimated,btc_vol,754.4704117811884,1.448866372434271
core,joint_ols,Dec_Mar,794,estimated,account_ls,2.389121146594803,1.3849011480494746
core,joint_ols,exclude_top1_downside_days,1716,estimated,e_origin,0.3225458732515354,3.192795521381334
core,joint_ols,exclude_top1_downside_days,1716,estimated,downside,-178117.16572086798,-2.4025385050384434
core,joint_ols,exclude_top1_downside_days,1716,estimated,btc_vol,-201.1558292034648,-0.3862946936036473
core,joint_ols,exclude_top1_downside_days,1716,estimated,account_ls,0.6806381410839889,0.39454530982532265
core,joint_ols,exclude_top5_downside_days,1680,estimated,e_origin,0.24369873020025246,2.4123086942826983
core,joint_ols,exclude_top5_downside_days,1680,estimated,downside,49131.308966857076,0.6627090719644505
core,joint_ols,exclude_top5_downside_days,1680,estimated,btc_vol,-850.5045912921659,-1.6332880424230007
core,joint_ols,exclude_top5_downside_days,1680,estimated,account_ls,-0.13342365576210508,-0.07734165105242186
core,pca,Aug_Nov,925,estimated,e_origin,0.3203835832555429,3.1555101890778348
core,pca,Aug_Nov,925,estimated,downside,178309.53012349486,2.405133217807644
core,pca,Aug_Nov,925,estimated,btc_vol,-1235.1995410849631,-2.372046736861668
core,pca,Aug_Nov,925,estimated,account_ls,0.021651106854079182,0.012550490703032371
core,pca,Dec_Mar,794,estimated,e_origin,0.25480700635547465,2.509635782935236
core,pca,Dec_Mar,794,estimated,downside,-252430.17812099142,-3.4049117069368515
core,pca,Dec_Mar,794,estimated,btc_vol,692.2375035368775,1.32935583019697
core,pca,Dec_Mar,794,estimated,account_ls,2.2959741335770563,1.3309066465778694
core,pca,exclude_top1_downside_days,1716,estimated,e_origin,0.31250102897775855,3.0778736257846773
core,pca,exclude_top1_downside_days,1716,estimated,downside,-175020.62573966256,-2.360770736574758
core,pca,exclude_top1_downside_days,1716,estimated,btc_vol,-212.40134912731767,-0.4078903127343488
core,pca,exclude_top1_downside_days,1716,estimated,account_ls,0.5764292494258786,0.33413857243572764
core,pca,exclude_top5_downside_days,1680,estimated,e_origin,0.2449813451270701,2.4128612422249915
core,pca,exclude_top5_downside_days,1680,estimated,downside,45188.32927146715,0.609524077107724
core,pca,exclude_top5_downside_days,1680,estimated,btc_vol,-822.0212107274822,-1.5785892608286514
core,pca,exclude_top5_downside_days,1680,estimated,account_ls,-0.11705955689389637,-0.06785587870400901
core,seq_xgb,Aug_Nov,925,estimated,e_origin,0.32817882154102423,3.2508618883667553
