month,method,feature,bin,n,residual_mean_bp,cuts
2025-08,sequential_ols,m,0,24,0.7638509849471949,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,sequential_ols,m,1,71,1.1838181546962894,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,sequential_ols,m,2,178,2.1170196539343893,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,sequential_ols,m,3,76,-0.09557021001699019,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,sequential_ols,m,4,8,-3.0416521255155153,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,sequential_ols,g,0,167,2.920181593046233,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,sequential_ols,g,1,83,1.3174475219461734,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,sequential_ols,g,2,34,1.363364490961641,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,sequential_ols,g,3,36,0.06236346808949797,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,sequential_ols,g,4,37,-5.351391617489077,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,joint_ols,m,0,24,0.4176311140330154,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,joint_ols,m,1,71,1.0362353130229136,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,joint_ols,m,2,178,2.188559655248401,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,joint_ols,m,3,76,0.19305925660333112,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,joint_ols,m,4,8,-2.579405345428416,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,joint_ols,g,0,167,3.0405466794331573,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,joint_ols,g,1,83,1.4413116158328911,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,joint_ols,g,2,34,1.4069158831281368,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,joint_ols,g,3,36,-0.15400463597324712,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,joint_ols,g,4,37,-5.472821604776394,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca,m,0,24,0.7675983167881958,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca,m,1,71,1.1825939830159995,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca,m,2,178,2.1142437718344693,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca,m,3,76,-0.09575995517500624,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca,m,4,8,-3.03282538556822,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,pca,g,0,167,2.918699218133601,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca,g,1,83,1.3151988227234885,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca,g,2,34,1.3600809545273314,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca,g,3,36,0.06112559520508191,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca,g,4,37,-5.347188688917058,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,seq_xgb,m,0,24,2.11593393482694,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,seq_xgb,m,1,71,1.7143855593714008,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,seq_xgb,m,2,178,1.5383321867329713,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,seq_xgb,m,3,76,-0.8123401386864372,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,seq_xgb,m,4,8,-3.7071595163485362,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,seq_xgb,g,0,167,2.409171678581683,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,seq_xgb,g,1,83,0.8858962397234661,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,seq_xgb,g,2,34,1.3988503434707813,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,seq_xgb,g,3,36,0.7104734864883437,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,seq_xgb,g,4,37,-5.245060099812115,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,seq_mlp,m,0,24,0.7638509861304043,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,seq_mlp,m,1,71,1.1838181552006506,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,seq_mlp,m,2,178,2.117019653689892,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,seq_mlp,m,3,76,-0.0955702110033845,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,seq_mlp,m,4,8,-3.041652127095226,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,seq_mlp,g,0,167,2.9201815926348824,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,seq_mlp,g,1,83,1.3174475215228643,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,seq_mlp,g,2,34,1.3633644908128044,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,seq_mlp,g,3,36,0.06236346882892477,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,seq_mlp,g,4,37,-5.351391617074111,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,seq_spline,m,0,24,2.2596088781937893,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,seq_spline,m,1,71,2.2151557297442968,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,seq_spline,m,2,178,1.383185227201413,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,seq_spline,m,3,76,-1.9160865336932773,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,seq_spline,m,4,8,-4.533728392606392,"[-126.50664618745843, -41.40261622423078, 63.826953282859215, 136.6620644165647]"
2025-08,seq_spline,g,0,167,1.5829389401264375,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,seq_spline,g,1,83,0.4842289420143629,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,seq_spline,g,2,34,1.3731587378628058,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
