month,method,feature,bin,n,residual_mean_bp,cuts
2025-08,sequential_ols,m,0,17,1.0413972054077385,"[-122.00794968097605, -38.003241705327895, 75.81238924558313, 123.5500948859377]"
2025-08,sequential_ols,m,1,77,0.9420240965801598,"[-122.00794968097605, -38.003241705327895, 75.81238924558313, 123.5500948859377]"
2025-08,sequential_ols,m,2,201,2.3184609785338264,"[-122.00794968097605, -38.003241705327895, 75.81238924558313, 123.5500948859377]"
2025-08,sequential_ols,m,3,57,0.8340983154377286,"[-122.00794968097605, -38.003241705327895, 75.81238924558313, 123.5500948859377]"
2025-08,sequential_ols,m,4,5,-3.6240439687599975,"[-122.00794968097605, -38.003241705327895, 75.81238924558313, 123.5500948859377]"
2025-08,sequential_ols,g,0,177,2.8705754700419486,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,sequential_ols,g,1,74,3.292124126614902,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,sequential_ols,g,2,39,0.4900321654735356,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,sequential_ols,g,3,30,0.9276786380538771,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,sequential_ols,g,4,37,-5.7561353624853595,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,joint_ols,m,0,17,0.6681932483519212,"[-122.00794968097605, -38.003241705327895, 75.81238924558313, 123.5500948859377]"
2025-08,joint_ols,m,1,77,0.7505156302534042,"[-122.00794968097605, -38.003241705327895, 75.81238924558313, 123.5500948859377]"
2025-08,joint_ols,m,2,201,2.4305285941293926,"[-122.00794968097605, -38.003241705327895, 75.81238924558313, 123.5500948859377]"
2025-08,joint_ols,m,3,57,1.1969488905235577,"[-122.00794968097605, -38.003241705327895, 75.81238924558313, 123.5500948859377]"
2025-08,joint_ols,m,4,5,-3.162346105344227,"[-122.00794968097605, -38.003241705327895, 75.81238924558313, 123.5500948859377]"
2025-08,joint_ols,g,0,177,3.0077161500573735,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,joint_ols,g,1,74,3.429854309291227,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,joint_ols,g,2,39,0.5414194926626316,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,joint_ols,g,3,30,0.7252740693405964,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,joint_ols,g,4,37,-5.917539657760594,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca,m,0,17,1.0414602150712364,"[-122.00794968097605, -38.003241705327895, 75.81238924558313, 123.5500948859377]"
2025-08,pca,m,1,77,0.9406488862014781,"[-122.00794968097605, -38.003241705327895, 75.81238924558313, 123.5500948859377]"
2025-08,pca,m,2,201,2.3167353196154963,"[-122.00794968097605, -38.003241705327895, 75.81238924558313, 123.5500948859377]"
2025-08,pca,m,3,57,0.8351563450813833,"[-122.00794968097605, -38.003241705327895, 75.81238924558313, 123.5500948859377]"
2025-08,pca,m,4,5,-3.6262887699679878,"[-122.00794968097605, -38.003241705327895, 75.81238924558313, 123.5500948859377]"
