month,method,feature,bin,n,residual_mean_bp,cuts
2025-08,sequential_ols,m,0,20,1.0939586637775747,"[-122.27730229814391, -40.81283893584801, 74.68033258496645, 125.27400435085063]"
2025-08,sequential_ols,m,1,74,0.42797802379681893,"[-122.27730229814391, -40.81283893584801, 74.68033258496645, 125.27400435085063]"
2025-08,sequential_ols,m,2,198,2.266707165751427,"[-122.27730229814391, -40.81283893584801, 74.68033258496645, 125.27400435085063]"
2025-08,sequential_ols,m,3,55,0.3932880081448977,"[-122.27730229814391, -40.81283893584801, 74.68033258496645, 125.27400435085063]"
2025-08,sequential_ols,m,4,10,-2.626580010137667,"[-122.27730229814391, -40.81283893584801, 74.68033258496645, 125.27400435085063]"
2025-08,sequential_ols,g,0,177,2.7746985401385884,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,sequential_ols,g,1,75,2.1317547967873747,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,sequential_ols,g,2,36,0.60892428296204,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,sequential_ols,g,3,33,0.9664227386632003,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,sequential_ols,g,4,36,-5.752607492339192,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,joint_ols,m,0,20,0.7434109073404563,"[-122.27730229814391, -40.81283893584801, 74.68033258496645, 125.27400435085063]"
2025-08,joint_ols,m,1,74,0.25279833562147364,"[-122.27730229814391, -40.81283893584801, 74.68033258496645, 125.27400435085063]"
2025-08,joint_ols,m,2,198,2.3716760516232656,"[-122.27730229814391, -40.81283893584801, 74.68033258496645, 125.27400435085063]"
2025-08,joint_ols,m,3,55,0.7340288775452021,"[-122.27730229814391, -40.81283893584801, 74.68033258496645, 125.27400435085063]"
2025-08,joint_ols,m,4,10,-2.161397826776006,"[-122.27730229814391, -40.81283893584801, 74.68033258496645, 125.27400435085063]"
2025-08,joint_ols,g,0,177,2.9122524044155913,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,joint_ols,g,1,75,2.2763700173012897,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,joint_ols,g,2,36,0.6549619230597605,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,joint_ols,g,3,33,0.7624882540392247,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,joint_ols,g,4,36,-5.9170112580880945,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca,m,0,20,1.0929363690452625,"[-122.27730229814391, -40.81283893584801, 74.68033258496645, 125.27400435085063]"
2025-08,pca,m,1,74,0.42620763927505195,"[-122.27730229814391, -40.81283893584801, 74.68033258496645, 125.27400435085063]"
2025-08,pca,m,2,198,2.2653861974358387,"[-122.27730229814391, -40.81283893584801, 74.68033258496645, 125.27400435085063]"
2025-08,pca,m,3,55,0.3938974470828596,"[-122.27730229814391, -40.81283893584801, 74.68033258496645, 125.27400435085063]"
2025-08,pca,m,4,10,-2.625278372390467,"[-122.27730229814391, -40.81283893584801, 74.68033258496645, 125.27400435085063]"
2025-08,pca,g,0,177,2.7744043641460863,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca,g,1,75,2.1280717540641776,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca,g,2,36,0.6068960188525856,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca,g,3,33,0.9632599943180998,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,pca,g,4,36,-5.748740412629256,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,seq_xgb,m,0,20,2.2321693122148742,"[-122.27730229814391, -40.81283893584801, 74.68033258496645, 125.27400435085063]"
2025-08,seq_xgb,m,1,74,1.1446796528763934,"[-122.27730229814391, -40.81283893584801, 74.68033258496645, 125.27400435085063]"
2025-08,seq_xgb,m,2,198,1.6995362515364545,"[-122.27730229814391, -40.81283893584801, 74.68033258496645, 125.27400435085063]"
2025-08,seq_xgb,m,3,55,-0.30672553601343705,"[-122.27730229814391, -40.81283893584801, 74.68033258496645, 125.27400435085063]"
2025-08,seq_xgb,m,4,10,-3.2273966559540312,"[-122.27730229814391, -40.81283893584801, 74.68033258496645, 125.27400435085063]"
2025-08,seq_xgb,g,0,177,2.315747754281418,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,seq_xgb,g,1,75,1.7559632253011197,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,seq_xgb,g,2,36,0.6287086587217182,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,seq_xgb,g,3,33,1.540625591087009,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,seq_xgb,g,4,36,-5.509576758448857,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
2025-08,seq_mlp,m,0,20,1.0939586641808396,"[-122.27730229814391, -40.81283893584801, 74.68033258496645, 125.27400435085063]"
2025-08,seq_mlp,m,1,74,0.42797802399833434,"[-122.27730229814391, -40.81283893584801, 74.68033258496645, 125.27400435085063]"
2025-08,seq_mlp,m,2,198,2.2667071656306685,"[-122.27730229814391, -40.81283893584801, 74.68033258496645, 125.27400435085063]"
2025-08,seq_mlp,m,3,55,0.39328800775292,"[-122.27730229814391, -40.81283893584801, 74.68033258496645, 125.27400435085063]"
2025-08,seq_mlp,m,4,10,-2.626580010672778,"[-122.27730229814391, -40.81283893584801, 74.68033258496645, 125.27400435085063]"
2025-08,seq_mlp,g,0,177,2.774698539980351,"[1.9999999999997797, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
