scope,sample,h,method,n,days
core,all,1,sequential_ols,2524,164
core,all,1,joint_ols,2524,164
core,all,1,pca,2524,164
core,all,1,seq_xgb,2524,164
core,all,1,seq_mlp,2524,164
core,all,1,seq_spline,2524,164
core,all,1,joint_xgb,2524,164
core,all,1,joint_mlp,2524,164
core,all,1,joint_tensor,2524,164
core,all,1,seq_selected,2524,164
core,all,1,seq_shrunk,2524,164
core,all,1,joint_selected,2524,164
core,all,1,joint_shrunk,2524,164
core,matched,1,sequential_ols,728,164
core,matched,1,joint_ols,728,164
core,matched,1,pca,728,164
core,matched,1,seq_xgb,728,164
core,matched,1,seq_mlp,728,164
core,matched,1,seq_spline,728,164
core,matched,1,joint_xgb,728,164
core,matched,1,joint_mlp,728,164
core,matched,1,joint_tensor,728,164
core,matched,1,seq_selected,728,164
core,matched,1,seq_shrunk,728,164
core,matched,1,joint_selected,728,164
core,matched,1,joint_shrunk,728,164
core,all,6,sequential_ols,1730,164
core,all,6,joint_ols,1730,164
core,all,6,pca,1730,164
core,all,6,seq_xgb,1730,164
core,all,6,seq_mlp,1730,164
core,all,6,seq_spline,1730,164
core,all,6,joint_xgb,1730,164
core,all,6,joint_mlp,1730,164
core,all,6,joint_tensor,1730,164
core,all,6,seq_selected,1730,164
core,all,6,seq_shrunk,1730,164
core,all,6,joint_selected,1730,164
core,all,6,joint_shrunk,1730,164
core,matched,6,sequential_ols,728,164
core,matched,6,joint_ols,728,164
core,matched,6,pca,728,164
core,matched,6,seq_xgb,728,164
core,matched,6,seq_mlp,728,164
core,matched,6,seq_spline,728,164
core,matched,6,joint_xgb,728,164
core,matched,6,joint_mlp,728,164
core,matched,6,joint_tensor,728,164
core,matched,6,seq_selected,728,164
core,matched,6,seq_shrunk,728,164
core,matched,6,joint_selected,728,164
core,matched,6,joint_shrunk,728,164
core,all,12,sequential_ols,1344,164
core,all,12,joint_ols,1344,164
core,all,12,pca,1344,164
core,all,12,seq_xgb,1344,164
core,all,12,seq_mlp,1344,164
core,all,12,seq_spline,1344,164
core,all,12,joint_xgb,1344,164
core,all,12,joint_mlp,1344,164
core,all,12,joint_tensor,1344,164
core,all,12,seq_selected,1344,164
core,all,12,seq_shrunk,1344,164
core,all,12,joint_selected,1344,164
core,all,12,joint_shrunk,1344,164
core,matched,12,sequential_ols,728,164
core,matched,12,joint_ols,728,164
core,matched,12,pca,728,164
core,matched,12,seq_xgb,728,164
core,matched,12,seq_mlp,728,164
core,matched,12,seq_spline,728,164
core,matched,12,joint_xgb,728,164
core,matched,12,joint_mlp,728,164
core,matched,12,joint_tensor,728,164
core,matched,12,seq_selected,728,164
