scope,sample,h,method,n,days
core,all,1,linear,2516,198
core,all,1,pca,2516,198
core,all,1,ml,2516,198
core,all,1,joint_linear,2516,198
core,matched,1,linear,723,163
core,matched,1,pca,723,163
core,matched,1,ml,723,163
core,matched,1,joint_linear,723,163
core,all,6,linear,1719,163
core,all,6,pca,1719,163
core,all,6,ml,1719,163
core,all,6,joint_linear,1719,163
core,matched,6,linear,723,163
core,matched,6,pca,723,163
core,matched,6,ml,723,163
core,matched,6,joint_linear,723,163
core,all,12,linear,1344,164
core,all,12,pca,1344,164
core,all,12,ml,1344,164
core,all,12,joint_linear,1344,164
core,matched,12,linear,723,163
core,matched,12,pca,723,163
core,matched,12,ml,723,163
core,matched,12,joint_linear,723,163
full_macro,all,1,linear,1324,129
full_macro,all,1,pca,1324,129
full_macro,all,1,ml,1324,129
full_macro,all,1,joint_linear,1324,129
full_macro,matched,1,linear,440,127
full_macro,matched,1,pca,440,127
full_macro,matched,1,ml,440,127
full_macro,matched,1,joint_linear,440,127
full_macro,all,6,linear,1190,128
full_macro,all,6,pca,1190,128
full_macro,all,6,ml,1190,128
full_macro,all,6,joint_linear,1190,128
full_macro,matched,6,linear,440,127
full_macro,matched,6,pca,440,127
full_macro,matched,6,ml,440,127
full_macro,matched,6,joint_linear,440,127
full_macro,all,12,linear,457,127
full_macro,all,12,pca,457,127
full_macro,all,12,ml,457,127
full_macro,all,12,joint_linear,457,127
full_macro,matched,12,linear,440,127
full_macro,matched,12,pca,440,127
full_macro,matched,12,ml,440,127
full_macro,matched,12,joint_linear,440,127
