scope,sample,h,method,n,days
core,all,1,linear,2523,198
core,all,1,pca,2523,198
core,all,1,ml,2523,198
core,all,1,joint_linear,2523,198
core,matched,1,linear,724,179
core,matched,1,pca,724,179
core,matched,1,ml,724,179
core,matched,1,joint_linear,724,179
core,all,6,linear,1726,198
core,all,6,pca,1726,198
core,all,6,ml,1726,198
core,all,6,joint_linear,1726,198
core,matched,6,linear,724,179
core,matched,6,pca,724,179
core,matched,6,ml,724,179
core,matched,6,joint_linear,724,179
core,all,12,linear,1340,179
core,all,12,pca,1340,179
core,all,12,ml,1340,179
core,all,12,joint_linear,1340,179
core,matched,12,linear,724,179
core,matched,12,pca,724,179
core,matched,12,ml,724,179
core,matched,12,joint_linear,724,179
full_macro,all,1,linear,501,163
full_macro,all,1,pca,501,163
full_macro,all,1,ml,501,163
full_macro,all,1,joint_linear,501,163
full_macro,matched,1,linear,188,123
full_macro,matched,1,pca,188,123
full_macro,matched,1,ml,188,123
full_macro,matched,1,joint_linear,188,123
full_macro,all,6,linear,188,123
full_macro,all,6,pca,188,123
full_macro,all,6,ml,188,123
full_macro,all,6,joint_linear,188,123
full_macro,matched,6,linear,188,123
full_macro,matched,6,pca,188,123
full_macro,matched,6,ml,188,123
full_macro,matched,6,joint_linear,188,123
full_macro,all,12,linear,562,128
full_macro,all,12,pca,562,128
full_macro,all,12,ml,562,128
full_macro,all,12,joint_linear,562,128
full_macro,matched,12,linear,188,123
full_macro,matched,12,pca,188,123
full_macro,matched,12,ml,188,123
full_macro,matched,12,joint_linear,188,123
