method,info,algorithm,q,period,n,days,pinball,below_rate
linear,without_positioning,linear_qr,0.1,all,576,55,1.9585064798565643,0.18055555555555555
linear,without_positioning,linear_qr,0.1,2026-01,220,21,1.548302218358395,0.1318181818181818
linear,without_positioning,linear_qr,0.1,2026-02,204,20,2.0558453324709203,0.14705882352941177
linear,without_positioning,linear_qr,0.1,2026-03,152,14,2.421584187726754,0.29605263157894735
linear,without_positioning,linear_qr,0.5,all,576,55,3.8769465907098826,0.5833333333333334
linear,without_positioning,linear_qr,0.5,2026-01,220,21,3.282327915547946,0.6863636363636364
linear,without_positioning,linear_qr,0.5,2026-02,204,20,4.262908267874483,0.5441176470588235
linear,without_positioning,linear_qr,0.5,2026-03,152,14,4.219577685407566,0.4868421052631579
linear,without_positioning,linear_qr,0.9,all,576,55,1.7599993659347433,0.90625
linear,without_positioning,linear_qr,0.9,2026-01,220,21,1.5883020401309016,0.9590909090909091
linear,without_positioning,linear_qr,0.9,2026-02,204,20,1.9324630273011845,0.8480392156862745
linear,without_positioning,linear_qr,0.9,2026-03,152,14,1.7770442656590268,0.9078947368421053
linear,without_positioning,quantile_lightgbm,0.1,all,576,55,2.02191847520641,0.1909722222222222
linear,without_positioning,quantile_lightgbm,0.1,2026-01,220,21,1.731446444275307,0.21363636363636362
linear,without_positioning,quantile_lightgbm,0.1,2026-02,204,20,2.1622312608085785,0.16176470588235295
linear,without_positioning,quantile_lightgbm,0.1,2026-03,152,14,2.2540239919300955,0.19736842105263158
linear,without_positioning,quantile_lightgbm,0.5,all,576,55,3.990910719719006,0.5868055555555556
linear,without_positioning,quantile_lightgbm,0.5,2026-01,220,21,3.5088928806514654,0.6363636363636364
linear,without_positioning,quantile_lightgbm,0.5,2026-02,204,20,4.294533968111061,0.553921568627451
linear,without_positioning,quantile_lightgbm,0.5,2026-03,152,14,4.281073758685321,0.5592105263157895
linear,without_positioning,quantile_lightgbm,0.9,all,576,55,1.7555140785843375,0.8923611111111112
linear,without_positioning,quantile_lightgbm,0.9,2026-01,220,21,1.459933621441793,0.9409090909090909
linear,without_positioning,quantile_lightgbm,0.9,2026-02,204,20,2.037891843588775,0.8186274509803921
linear,without_positioning,quantile_lightgbm,0.9,2026-03,152,14,1.8043472135215375,0.9210526315789473
linear,with_positioning,linear_qr,0.1,all,576,55,1.9585064798565643,0.18055555555555555
linear,with_positioning,linear_qr,0.1,2026-01,220,21,1.548302218358395,0.1318181818181818
linear,with_positioning,linear_qr,0.1,2026-02,204,20,2.0558453324709203,0.14705882352941177
linear,with_positioning,linear_qr,0.1,2026-03,152,14,2.421584187726754,0.29605263157894735
linear,with_positioning,linear_qr,0.5,all,576,55,3.8773508020425607,0.5833333333333334
