scope,sample,h,method,n,days
core,all,1,linear,2523,164
core,all,1,pca,2523,164
core,all,1,ml,2523,164
core,all,1,joint_linear,2523,164
core,matched,1,linear,727,164
core,matched,1,pca,727,164
core,matched,1,ml,727,164
core,matched,1,joint_linear,727,164
core,all,6,linear,1729,164
core,all,6,pca,1729,164
core,all,6,ml,1729,164
core,all,6,joint_linear,1729,164
core,matched,6,linear,727,164
core,matched,6,pca,727,164
core,matched,6,ml,727,164
core,matched,6,joint_linear,727,164
core,all,12,linear,1343,164
core,all,12,pca,1343,164
core,all,12,ml,1343,164
core,all,12,joint_linear,1343,164
core,matched,12,linear,727,164
core,matched,12,pca,727,164
core,matched,12,ml,727,164
core,matched,12,joint_linear,727,164
full_macro,all,1,linear,1049,163
full_macro,all,1,pca,1049,163
full_macro,all,1,ml,1049,163
full_macro,all,1,joint_linear,1049,163
full_macro,matched,1,linear,0,0
full_macro,matched,1,pca,0,0
full_macro,matched,1,ml,0,0
full_macro,matched,1,joint_linear,0,0
full_macro,all,6,linear,237,163
full_macro,all,6,pca,237,163
full_macro,all,6,ml,237,163
full_macro,all,6,joint_linear,237,163
full_macro,matched,6,linear,0,0
full_macro,matched,6,pca,0,0
full_macro,matched,6,ml,0,0
full_macro,matched,6,joint_linear,0,0
full_macro,all,12,linear,593,128
full_macro,all,12,pca,593,128
full_macro,all,12,ml,593,128
full_macro,all,12,joint_linear,593,128
full_macro,matched,12,linear,0,0
full_macro,matched,12,pca,0,0
full_macro,matched,12,ml,0,0
full_macro,matched,12,joint_linear,0,0
