scope,sample,h,method,model,q,term,n,status,coef_raw,effect_bp_per_sd
core,all,1,linear,M0,0.1,e_origin,2524,estimated,0.47543100925714465,4.572342649814955
core,all,1,linear,M0,0.1,downside,2524,estimated,-101904.69972778467,-1.780289272440598
core,all,1,linear,M0,0.5,e_origin,2524,estimated,0.38508558162352663,3.7034673683510664
core,all,1,linear,M0,0.5,downside,2524,estimated,-44660.98727451933,-0.7802336570719935
core,all,1,linear,M0,0.9,e_origin,2524,estimated,0.2976630039381786,2.8627018887664573
core,all,1,linear,M0,0.9,downside,2524,estimated,24518.520356841,0.4283419595367211
core,all,1,linear,M1,0.1,e_origin,2524,estimated,0.47675034042960657,4.585030998011897
core,all,1,linear,M1,0.1,downside,2524,estimated,-54998.90780783645,-0.9608385661092733
core,all,1,linear,M1,0.1,btc_vol,2524,estimated,-635.6934066849594,-1.2569838126753916
core,all,1,linear,M1,0.1,btc_ret,2524,estimated,260.60356808355954,1.2724169995889942
core,all,1,linear,M1,0.5,e_origin,2524,estimated,0.38981995577422535,3.7489990657539023
core,all,1,linear,M1,0.5,downside,2524,estimated,-73495.33349136944,-1.2839736944286824
core,all,1,linear,M1,0.5,btc_vol,2524,estimated,211.37950163575272,0.41796974625412475
core,all,1,linear,M1,0.5,btc_ret,2524,estimated,161.19287690685354,0.7870366407384424
core,all,1,linear,M1,0.9,e_origin,2524,estimated,0.29420733871229293,2.829467864926726
core,all,1,linear,M1,0.9,downside,2524,estimated,-20756.827654778102,-0.3626246650293047
core,all,1,linear,M1,0.9,btc_vol,2524,estimated,529.4995947695691,1.0470022379410582
core,all,1,linear,M1,0.9,btc_ret,2524,estimated,110.41511565245052,0.5391103091985106
core,all,1,linear,M2,0.1,e_origin,2524,estimated,0.4684591558710073,4.505292537464267
core,all,1,linear,M2,0.1,downside,2524,estimated,-58266.88747468338,-1.0179306252486744
core,all,1,linear,M2,0.1,btc_vol,2524,estimated,-641.752827544729,-1.2689653651892636
core,all,1,linear,M2,0.1,btc_ret,2524,estimated,259.5110433509861,1.2670826634077177
core,all,1,linear,M2,0.1,account_ls,2524,estimated,0.7913937375802949,0.47442890514795155
core,all,1,linear,M2,0.5,e_origin,2524,estimated,0.3929340121627671,3.7789477492895127
core,all,1,linear,M2,0.5,downside,2524,estimated,-83004.01292488707,-1.4500916461599354
core,all,1,linear,M2,0.5,btc_vol,2524,estimated,146.28441066085432,0.289254433526916
core,all,1,linear,M2,0.5,btc_ret,2524,estimated,160.1454434634082,0.7819224662504303
core,all,1,linear,M2,0.5,account_ls,2524,estimated,0.8040119988837487,0.48199336719862707
core,all,1,linear,M2,0.9,e_origin,2524,estimated,0.29363145112775113,2.823929405480394
core,all,1,linear,M2,0.9,downside,2524,estimated,-39886.35432359482,-0.6968201555840471
core,all,1,linear,M2,0.9,btc_vol,2524,estimated,558.6693475518591,1.1046808400494055
core,all,1,linear,M2,0.9,btc_ret,2524,estimated,94.06432198062888,0.4592762993351954
core,all,1,linear,M2,0.9,account_ls,2524,estimated,1.1719202145519152,0.7025489309664983
core,all,1,pca,M0,0.1,e_origin,2524,estimated,0.4781641620332648,4.576096999267642
core,all,1,pca,M0,0.1,downside,2524,estimated,-101856.51673975949,-1.779447508940735
core,all,1,pca,M0,0.5,e_origin,2524,estimated,0.39025632164766144,3.73480683881293
core,all,1,pca,M0,0.5,downside,2524,estimated,-47982.85646794031,-0.8382671737331083
core,all,1,pca,M0,0.9,e_origin,2524,estimated,0.31228919617485884,2.988650691517234
core,all,1,pca,M0,0.9,downside,2524,estimated,23283.4050395534,0.4067643232209482
core,all,1,pca,M1,0.1,e_origin,2524,estimated,0.4858875818961773,4.650011192896188
core,all,1,pca,M1,0.1,downside,2524,estimated,-51620.32791361018,-0.9018143056203869
core,all,1,pca,M1,0.1,btc_vol,2524,estimated,-633.5536367570663,-1.252752753907239
core,all,1,pca,M1,0.1,btc_ret,2524,estimated,247.36252208502003,1.2077665723336033
core,all,1,pca,M1,0.5,e_origin,2524,estimated,0.39401033966333937,3.770733309135784
core,all,1,pca,M1,0.5,downside,2524,estimated,-73721.83214914704,-1.287930657471023
core,all,1,pca,M1,0.5,btc_vol,2524,estimated,210.0182324981853,0.415278050457656
core,all,1,pca,M1,0.5,btc_ret,2524,estimated,159.26575620405086,0.7776273254303735
core,all,1,pca,M1,0.9,e_origin,2524,estimated,0.2954065671328102,2.8270816024191414
core,all,1,pca,M1,0.9,downside,2524,estimated,-22542.910698624157,-0.3938277841311827
core,all,1,pca,M1,0.9,btc_vol,2524,estimated,536.9360613864512,1.061706682037258
core,all,1,pca,M1,0.9,btc_ret,2524,estimated,109.55036853076275,0.5348881147517011
core,all,1,pca,M2,0.1,e_origin,2524,estimated,0.4632269108670089,4.433145444829617
core,all,1,pca,M2,0.1,downside,2524,estimated,-58458.1542212855,-1.0212720819043533
core,all,1,pca,M2,0.1,btc_vol,2524,estimated,-635.0514750437209,-1.2557144937342233
core,all,1,pca,M2,0.1,btc_ret,2524,estimated,258.09247243345123,1.260156381607865
core,all,1,pca,M2,0.1,account_ls,2524,estimated,0.841510973467521,0.5044734508929271
core,all,1,pca,M2,0.5,e_origin,2524,estimated,0.3928691230819986,3.7598117090075323
core,all,1,pca,M2,0.5,downside,2524,estimated,-82441.36171890672,-1.4402620513639315
core,all,1,pca,M2,0.5,btc_vol,2524,estimated,146.29347601069654,0.28927235883161173
core,all,1,pca,M2,0.5,btc_ret,2524,estimated,160.32274952015112,0.7827881767331717
core,all,1,pca,M2,0.5,account_ls,2524,estimated,0.7800691156346253,0.4676399608642557
core,all,1,pca,M2,0.9,e_origin,2524,estimated,0.29579145257087147,2.8307650091610532
core,all,1,pca,M2,0.9,downside,2524,estimated,-38843.10223370815,-0.6785943965264395
core,all,1,pca,M2,0.9,btc_vol,2524,estimated,548.0834493108614,1.0837488898488312
core,all,1,pca,M2,0.9,btc_ret,2524,estimated,97.4190365843708,0.47565595185477266
core,all,1,pca,M2,0.9,account_ls,2524,estimated,1.1858913841258947,0.7109244416255612
core,all,1,ml,M0,0.1,e_origin,2524,estimated,0.4806325029032504,4.583466258875984
core,all,1,ml,M0,0.1,downside,2524,estimated,-78215.76391971356,-1.3664402703111673
core,all,1,ml,M0,0.5,e_origin,2524,estimated,0.39076029497368736,3.726415955020945
core,all,1,ml,M0,0.5,downside,2524,estimated,-19876.28269894932,-0.347241422225477
core,all,1,ml,M0,0.9,e_origin,2524,estimated,0.3124025696125376,2.979171463344533
core,all,1,ml,M0,0.9,downside,2524,estimated,38209.698536478216,0.6675287458713185
core,all,1,ml,M1,0.1,e_origin,2524,estimated,0.48168510886757404,4.593504248175972
core,all,1,ml,M1,0.1,downside,2524,estimated,-53336.839711053726,-0.9318020053748594
core,all,1,ml,M1,0.1,btc_vol,2524,estimated,-473.7291047224488,-0.9367248581900581
core,all,1,ml,M1,0.1,btc_ret,2524,estimated,249.60623324570798,1.2187216649442751
core,all,1,ml,M1,0.5,e_origin,2524,estimated,0.3967081625391294,3.783136734688969
core,all,1,ml,M1,0.5,downside,2524,estimated,-34967.294677888196,-0.6108834996580671
core,all,1,ml,M1,0.5,btc_vol,2524,estimated,118.53968034677573,0.23439358940756772
core,all,1,ml,M1,0.5,btc_ret,2524,estimated,147.73251768475785,0.7213153997718666
core,all,1,ml,M1,0.9,e_origin,2524,estimated,0.3063744724550135,2.9216855884612443
core,all,1,ml,M1,0.9,downside,2524,estimated,-35185.098225971735,-0.6146885579251383
core,all,1,ml,M1,0.9,btc_vol,2524,estimated,658.9359296661097,1.3029422493145189
core,all,1,ml,M1,0.9,btc_ret,2524,estimated,86.06253312015033,0.42020694871935843
core,all,1,ml,M2,0.1,e_origin,2524,estimated,0.47086372648333463,4.490308062456213
core,all,1,ml,M2,0.1,downside,2524,estimated,-63980.96073380228,-1.1177562795347196
core,all,1,ml,M2,0.1,btc_vol,2524,estimated,-613.5851915184019,-1.2132682914834603
core,all,1,ml,M2,0.1,btc_ret,2524,estimated,261.24915277661603,1.275569116592458
core,all,1,ml,M2,0.1,account_ls,2524,estimated,1.3714586641184554,0.822169296490516
core,all,1,ml,M2,0.5,e_origin,2524,estimated,0.3928595624118799,3.7464352450464666
core,all,1,ml,M2,0.5,downside,2524,estimated,-75421.5899484904,-1.3176256625493132
core,all,1,ml,M2,0.5,btc_vol,2524,estimated,174.3797108155116,0.34480847441405454
core,all,1,ml,M2,0.5,btc_ret,2524,estimated,133.28944404857305,0.6507959799644425
