method,info,algorithm,q,period,n,days,pinball,below_rate
linear,without_positioning,linear_qr,0.1,all,577,55,2.0758043684994028,0.17677642980935876
linear,without_positioning,linear_qr,0.1,2026-01,220,21,1.6445364028092377,0.1318181818181818
linear,without_positioning,linear_qr,0.1,2026-02,204,20,2.190249614604048,0.14215686274509803
linear,without_positioning,linear_qr,0.1,2026-03,153,14,2.543334579260768,0.2875816993464052
linear,without_positioning,linear_qr,0.5,all,577,55,4.048316540040313,0.5545927209705372
linear,without_positioning,linear_qr,0.5,2026-01,220,21,3.3444403285803146,0.65
linear,without_positioning,linear_qr,0.5,2026-02,204,20,4.605508901540565,0.5
linear,without_positioning,linear_qr,0.5,2026-03,153,14,4.3175029764791875,0.49019607843137253
linear,without_positioning,linear_qr,0.9,all,577,55,1.8469464223045506,0.8925476603119584
linear,without_positioning,linear_qr,0.9,2026-01,220,21,1.5874015114654443,0.9545454545454546
linear,without_positioning,linear_qr,0.9,2026-02,204,20,2.101604453507495,0.8088235294117647
linear,without_positioning,linear_qr,0.9,2026-03,153,14,1.8806042132797318,0.9150326797385621
linear,without_positioning,quantile_lightgbm,0.1,all,577,55,2.098600331846348,0.17504332755632582
linear,without_positioning,quantile_lightgbm,0.1,2026-01,220,21,1.788712942742417,0.18636363636363637
linear,without_positioning,quantile_lightgbm,0.1,2026-02,204,20,2.279929099749617,0.16176470588235295
linear,without_positioning,quantile_lightgbm,0.1,2026-03,153,14,2.3024183511313017,0.17647058823529413
linear,without_positioning,quantile_lightgbm,0.5,all,577,55,4.178306403750304,0.5597920277296361
linear,without_positioning,quantile_lightgbm,0.5,2026-01,220,21,3.560971140389485,0.6181818181818182
linear,without_positioning,quantile_lightgbm,0.5,2026-02,204,20,4.654372398734207,0.4950980392156863
linear,without_positioning,quantile_lightgbm,0.5,2026-03,153,14,4.431223364290593,0.5620915032679739
linear,without_positioning,quantile_lightgbm,0.9,all,577,55,1.846757831267058,0.8752166377816292
linear,without_positioning,quantile_lightgbm,0.9,2026-01,220,21,1.4956637471261776,0.9409090909090909
linear,without_positioning,quantile_lightgbm,0.9,2026-02,204,20,2.204280459458615,0.7745098039215687
linear,without_positioning,quantile_lightgbm,0.9,2026-03,153,14,1.8749021604168368,0.9150326797385621
linear,with_positioning,linear_qr,0.1,all,577,55,2.075096428504344,0.17677642980935876
linear,with_positioning,linear_qr,0.1,2026-01,220,21,1.6426796692767405,0.1318181818181818
linear,with_positioning,linear_qr,0.1,2026-02,204,20,2.190249614604049,0.14215686274509803
linear,with_positioning,linear_qr,0.1,2026-03,153,14,2.543334579260768,0.2875816993464052
linear,with_positioning,linear_qr,0.5,all,577,55,4.04882718425965,0.5563258232235702
linear,with_positioning,linear_qr,0.5,2026-01,220,21,3.3444403285803146,0.65
linear,with_positioning,linear_qr,0.5,2026-02,204,20,4.605508901540565,0.5
linear,with_positioning,linear_qr,0.5,2026-03,153,14,4.319428739319437,0.49673202614379086
linear,with_positioning,linear_qr,0.9,all,577,55,1.8469464223045506,0.8925476603119584
linear,with_positioning,linear_qr,0.9,2026-01,220,21,1.5874015114654443,0.9545454545454546
linear,with_positioning,linear_qr,0.9,2026-02,204,20,2.101604453507495,0.8088235294117647
linear,with_positioning,linear_qr,0.9,2026-03,153,14,1.8806042132797318,0.9150326797385621
linear,with_positioning,quantile_lightgbm,0.1,all,577,55,2.090101485924648,0.17850953206239167
linear,with_positioning,quantile_lightgbm,0.1,2026-01,220,21,1.820091445103223,0.20454545454545456
linear,with_positioning,quantile_lightgbm,0.1,2026-02,204,20,2.268272344577411,0.1568627450980392
linear,with_positioning,quantile_lightgbm,0.1,2026-03,153,14,2.2407900729543853,0.16993464052287582
linear,with_positioning,quantile_lightgbm,0.5,all,577,55,4.212688037040016,0.5580589254766031
linear,with_positioning,quantile_lightgbm,0.5,2026-01,220,21,3.634064553359761,0.6045454545454545
linear,with_positioning,quantile_lightgbm,0.5,2026-02,204,20,4.638932819843064,0.4950980392156863
linear,with_positioning,quantile_lightgbm,0.5,2026-03,153,14,4.476369283561811,0.5751633986928104
linear,with_positioning,quantile_lightgbm,0.9,all,577,55,1.836953214126344,0.8838821490467937
linear,with_positioning,quantile_lightgbm,0.9,2026-01,220,21,1.502904024868897,0.95
linear,with_positioning,quantile_lightgbm,0.9,2026-02,204,20,2.1873365725954836,0.7990196078431373
linear,with_positioning,quantile_lightgbm,0.9,2026-03,153,14,1.8501075703938867,0.9019607843137255
pca,without_positioning,linear_qr,0.1,all,577,55,2.0498854229497847,0.17677642980935876
pca,without_positioning,linear_qr,0.1,2026-01,220,21,1.6266562343566973,0.1318181818181818
pca,without_positioning,linear_qr,0.1,2026-02,204,20,2.1627896309541224,0.14215686274509803
pca,without_positioning,linear_qr,0.1,2026-03,153,14,2.5079113252870013,0.2875816993464052
pca,without_positioning,linear_qr,0.5,all,577,55,4.005936284270575,0.5563258232235702
pca,without_positioning,linear_qr,0.5,2026-01,220,21,3.31914035240262,0.6545454545454545
pca,without_positioning,linear_qr,0.5,2026-02,204,20,4.5478049023824925,0.5
pca,without_positioning,linear_qr,0.5,2026-03,153,14,4.270994499408608,0.49019607843137253
pca,without_positioning,linear_qr,0.9,all,577,55,1.830886312858639,0.8960138648180243
pca,without_positioning,linear_qr,0.9,2026-01,220,21,1.5787046087455234,0.9545454545454546
pca,without_positioning,linear_qr,0.9,2026-02,204,20,2.077287333473029,0.8186274509803921
pca,without_positioning,linear_qr,0.9,2026-03,153,14,1.86496583377073,0.9150326797385621
pca,without_positioning,quantile_lightgbm,0.1,all,577,55,2.0852612006813795,0.18197573656845753
pca,without_positioning,quantile_lightgbm,0.1,2026-01,220,21,1.7654750487552762,0.19545454545454546
pca,without_positioning,quantile_lightgbm,0.1,2026-02,204,20,2.2544497144330955,0.16176470588235295
pca,without_positioning,quantile_lightgbm,0.1,2026-03,153,14,2.3194997406708735,0.1895424836601307
pca,without_positioning,quantile_lightgbm,0.5,all,577,55,4.114773042325813,0.5719237435008665
pca,without_positioning,quantile_lightgbm,0.5,2026-01,220,21,3.444328346559875,0.6454545454545455
pca,without_positioning,quantile_lightgbm,0.5,2026-02,204,20,4.652156418889146,0.5
pca,without_positioning,quantile_lightgbm,0.5,2026-03,153,14,4.362299998205455,0.5620915032679739
pca,without_positioning,quantile_lightgbm,0.9,all,577,55,1.8331765489977039,0.8752166377816292
pca,without_positioning,quantile_lightgbm,0.9,2026-01,220,21,1.484643880074477,0.9363636363636364
pca,without_positioning,quantile_lightgbm,0.9,2026-02,204,20,2.1903396180604195,0.7843137254901961
pca,without_positioning,quantile_lightgbm,0.9,2026-03,153,14,1.858117209614148,0.9084967320261438
pca,with_positioning,linear_qr,0.1,all,577,55,2.0505944827630955,0.17677642980935876
pca,with_positioning,linear_qr,0.1,2026-01,220,21,1.6285159048670612,0.1318181818181818
pca,with_positioning,linear_qr,0.1,2026-02,204,20,2.162789630954124,0.14215686274509803
pca,with_positioning,linear_qr,0.1,2026-03,153,14,2.5079113252870013,0.2875816993464052
pca,with_positioning,linear_qr,0.5,all,577,55,4.006032652919437,0.5563258232235702
pca,with_positioning,linear_qr,0.5,2026-01,220,21,3.31914035240262,0.6545454545454545
pca,with_positioning,linear_qr,0.5,2026-02,204,20,4.5478049023824925,0.5
pca,with_positioning,linear_qr,0.5,2026-03,153,14,4.271357928888302,0.49019607843137253
pca,with_positioning,linear_qr,0.9,all,577,55,1.830886312858639,0.8960138648180243
pca,with_positioning,linear_qr,0.9,2026-01,220,21,1.5787046087455234,0.9545454545454546
pca,with_positioning,linear_qr,0.9,2026-02,204,20,2.077287333473029,0.8186274509803921
pca,with_positioning,linear_qr,0.9,2026-03,153,14,1.86496583377073,0.9150326797385621
pca,with_positioning,quantile_lightgbm,0.1,all,577,55,2.066952847403493,0.1733102253032929
pca,with_positioning,quantile_lightgbm,0.1,2026-01,220,21,1.782762652416171,0.19090909090909092
