method,q,contrast,conditioning,block_days,delta_pinball_bp,relative_change_pct,ci_low,ci_high,n,repetitions
linear,0.1,add_positioning,linear_qr,3,0.0,0.0,0.0,0.0,577,2000
linear,0.1,add_positioning,quantile_lightgbm,3,0.009116716363880784,0.478431098587449,-0.015279757857556147,0.0340022811642779,577,2000
linear,0.1,ML_minus_linear,without_positioning,3,0.025849820320360317,1.3752139548829962,-0.03564596383590262,0.08317746820692962,577,2000
linear,0.1,ML_minus_linear,with_positioning,3,0.0349665366842411,1.86022450470272,-0.03105245292069602,0.09731305408161567,577,2000
linear,0.1,add_positioning,linear_qr,7,0.0,0.0,0.0,0.0,577,2000
linear,0.1,add_positioning,quantile_lightgbm,7,0.009116716363880784,0.478431098587449,-0.011137891631750052,0.0290337841058151,577,2000
linear,0.1,ML_minus_linear,without_positioning,7,0.025849820320360317,1.3752139548829962,-0.0290872884308813,0.07892693387123395,577,2000
linear,0.1,ML_minus_linear,with_positioning,7,0.0349665366842411,1.86022450470272,-0.02631192247660876,0.09580117790192343,577,2000
linear,0.5,add_positioning,linear_qr,3,0.0,0.0,0.0,0.0,577,2000
linear,0.5,add_positioning,quantile_lightgbm,3,0.011019883777042327,0.28006492915505576,-0.0520356248340957,0.07776927200412932,577,2000
linear,0.5,ML_minus_linear,without_positioning,3,0.10668748549902407,2.7869763552300286,0.014383751575197236,0.20536709791324098,577,2000
linear,0.5,ML_minus_linear,with_positioning,3,0.1177073692760664,3.0748466277399276,0.016842408947326293,0.23159966958916342,577,2000
linear,0.5,add_positioning,linear_qr,7,0.0,0.0,0.0,0.0,577,2000
linear,0.5,add_positioning,quantile_lightgbm,7,0.011019883777042327,0.28006492915505576,-0.04956121145661985,0.062123191184110325,577,2000
linear,0.5,ML_minus_linear,without_positioning,7,0.10668748549902407,2.7869763552300286,0.010088300382759008,0.20080512557469968,577,2000
linear,0.5,ML_minus_linear,with_positioning,7,0.1177073692760664,3.0748466277399276,0.022907499905318263,0.20603410349020346,577,2000
