scenario,block_days,contrast,scope,sample,h,method,q,term,comparator_method,comparator_h,comparator_q,metric,point,ci_low,ci_high,successful
clock_UTC_quote,3,method_minus_linear,core,matched,1,pca,0.1,e_origin,linear,1,0.1,coef_raw,0.008056146707263179,-0.00937577863865297,0.01452427644663731,199
clock_UTC_quote,3,method_minus_linear,core,matched,1,pca,0.1,e_origin,linear,1,0.1,effect_bp_per_sd,0.06139800714930299,-0.11673758286373878,0.1224293974022157,199
clock_UTC_quote,3,method_minus_linear,core,matched,1,pca,0.1,downside,linear,1,0.1,coef_raw,6542.809685401793,-13425.244036429347,17492.513466212826,199
clock_UTC_quote,3,method_minus_linear,core,matched,1,pca,0.1,downside,linear,1,0.1,effect_bp_per_sd,0.10289352311579902,-0.2111280511000762,0.2750907370429903,199
clock_UTC_quote,3,method_minus_linear,core,matched,1,pca,0.1,btc_vol,linear,1,0.1,coef_raw,1.0878589225121686,-100.94439574570023,91.12447168363425,199
clock_UTC_quote,3,method_minus_linear,core,matched,1,pca,0.1,btc_vol,linear,1,0.1,effect_bp_per_sd,0.0021048369795979016,-0.1953116278699618,0.17631160969210077,199
clock_UTC_quote,3,method_minus_linear,core,matched,1,pca,0.1,account_ls,linear,1,0.1,coef_raw,-0.06343396894830111,-0.19158687553002135,0.14971337071608132,199
clock_UTC_quote,3,method_minus_linear,core,matched,1,pca,0.1,account_ls,linear,1,0.1,effect_bp_per_sd,-0.04008091319821094,-0.12105465029775474,0.0945967707171748,199
clock_UTC_quote,3,method_minus_linear,core,matched,1,ml,0.1,e_origin,linear,1,0.1,coef_raw,0.043113482390911784,-0.06565095168166867,0.06468100952549902,199
clock_UTC_quote,3,method_minus_linear,core,matched,1,ml,0.1,e_origin,linear,1,0.1,effect_bp_per_sd,0.4186924656251403,-0.6761167207324167,0.6338810562377204,199
clock_UTC_quote,3,ML_minus_joint_linear,core,matched,1,ml,0.1,e_origin,joint_linear,1,0.1,coef_raw,0.0424362712784519,-0.06583364445485433,0.06450963890008497,199
clock_UTC_quote,3,ML_minus_joint_linear,core,matched,1,ml,0.1,e_origin,joint_linear,1,0.1,effect_bp_per_sd,0.40080131142505415,-0.6931423575194303,0.6240611588948736,199
clock_UTC_quote,3,method_minus_linear,core,matched,1,ml,0.1,downside,linear,1,0.1,coef_raw,11303.932009970653,-96947.79802967973,92453.54969437927,199
clock_UTC_quote,3,method_minus_linear,core,matched,1,ml,0.1,downside,linear,1,0.1,effect_bp_per_sd,0.1777678773329492,-1.524620304920282,1.4539428640024836,199
clock_UTC_quote,3,ML_minus_joint_linear,core,matched,1,ml,0.1,downside,joint_linear,1,0.1,coef_raw,12288.966849066026,-104383.38511422498,92483.20274734509,199
clock_UTC_quote,3,ML_minus_joint_linear,core,matched,1,ml,0.1,downside,joint_linear,1,0.1,effect_bp_per_sd,0.19325873062988386,-1.641553822529729,1.4544091937961805,199
clock_UTC_quote,3,method_minus_linear,core,matched,1,ml,0.1,btc_vol,linear,1,0.1,coef_raw,81.977983228552,-476.9806715016555,669.4462621993085,199
clock_UTC_quote,3,method_minus_linear,core,matched,1,ml,0.1,btc_vol,linear,1,0.1,effect_bp_per_sd,0.1586145841538401,-0.9228830459115801,1.2952738809888573,199
clock_UTC_quote,3,ML_minus_joint_linear,core,matched,1,ml,0.1,btc_vol,joint_linear,1,0.1,coef_raw,80.74575986022386,-476.4800506734345,689.0563630917593,199
clock_UTC_quote,3,ML_minus_joint_linear,core,matched,1,ml,0.1,btc_vol,joint_linear,1,0.1,effect_bp_per_sd,0.1562304245361644,-0.9219144228574409,1.3332163611008538,199
clock_UTC_quote,3,method_minus_linear,core,matched,1,ml,0.1,account_ls,linear,1,0.1,coef_raw,0.7775442081292823,-0.47845479388443357,1.8057869657126375,199
clock_UTC_quote,3,method_minus_linear,core,matched,1,ml,0.1,account_ls,linear,1,0.1,effect_bp_per_sd,0.49129326811003615,-0.30231286770939897,1.140991046708379,199
clock_UTC_quote,3,ML_minus_joint_linear,core,matched,1,ml,0.1,account_ls,joint_linear,1,0.1,coef_raw,0.7629078880814795,-0.4908973285473249,1.6711747772906562,199
clock_UTC_quote,3,ML_minus_joint_linear,core,matched,1,ml,0.1,account_ls,joint_linear,1,0.1,effect_bp_per_sd,0.4820452723893943,-0.31017471460401025,1.0559359960940955,199
clock_UTC_quote,3,method_minus_linear,core,matched,1,joint_linear,0.1,e_origin,linear,1,0.1,coef_raw,0.0006772111124598856,-0.01625117850793508,0.027900076672207376,199
clock_UTC_quote,3,method_minus_linear,core,matched,1,joint_linear,0.1,e_origin,linear,1,0.1,effect_bp_per_sd,0.017891154200086135,-0.15403603311657615,0.2934701055448835,199
clock_UTC_quote,3,method_minus_linear,core,matched,1,joint_linear,0.1,downside,linear,1,0.1,coef_raw,-985.0348390953732,-19407.16659553472,33117.659164797,199
clock_UTC_quote,3,method_minus_linear,core,matched,1,joint_linear,0.1,downside,linear,1,0.1,effect_bp_per_sd,-0.01549085329693467,-0.3052009519954702,0.5208148781122507,199
clock_UTC_quote,3,method_minus_linear,core,matched,1,joint_linear,0.1,btc_vol,linear,1,0.1,coef_raw,1.2322233683281496,-186.73310049823564,172.08355618395262,199
clock_UTC_quote,3,method_minus_linear,core,matched,1,joint_linear,0.1,btc_vol,linear,1,0.1,effect_bp_per_sd,0.002384159617675713,-0.361299362546029,0.3329547840635962,199
clock_UTC_quote,3,method_minus_linear,core,matched,1,joint_linear,0.1,account_ls,linear,1,0.1,coef_raw,0.014636320047802798,-0.26504203063419635,0.28509516805654417,199
clock_UTC_quote,3,method_minus_linear,core,matched,1,joint_linear,0.1,account_ls,linear,1,0.1,effect_bp_per_sd,0.009247995720641833,-0.16746747523215302,0.18013810066679953,199
clock_UTC_quote,3,q10_minus_q50,core,all,6,linear,0.1,e_origin,linear,6,0.5,coef_raw,0.1049984046390976,-0.03811797262066359,0.20769310505712416,199
clock_UTC_quote,3,q10_minus_q50,core,all,6,linear,0.1,e_origin,linear,6,0.5,effect_bp_per_sd,1.019576841680685,-0.3701408823251333,2.0167837865809446,199
clock_UTC_quote,3,q10_minus_q50,core,all,6,linear,0.1,downside,linear,6,0.5,coef_raw,9811.396746331091,-153378.4356574937,196522.28088325445,199
clock_UTC_quote,3,q10_minus_q50,core,all,6,linear,0.1,downside,linear,6,0.5,effect_bp_per_sd,0.16007996892676313,-2.502479091294367,3.2064018437509407,199
clock_UTC_quote,3,q10_minus_q50,core,all,6,linear,0.1,btc_vol,linear,6,0.5,coef_raw,-338.96625208760304,-1496.4192442152541,497.8624807843856,199
clock_UTC_quote,3,q10_minus_q50,core,all,6,linear,0.1,btc_vol,linear,6,0.5,effect_bp_per_sd,-0.6577244509489956,-2.90362689420958,0.9660440377332502,199
clock_UTC_quote,3,q10_minus_q50,core,all,6,linear,0.1,account_ls,linear,6,0.5,coef_raw,-0.060525045218052576,-1.6996922911386365,1.9216079321695156,199
clock_UTC_quote,3,q10_minus_q50,core,all,6,linear,0.1,account_ls,linear,6,0.5,effect_bp_per_sd,-0.03834415426148685,-1.0767982605164768,1.2173874586256066,199
clock_UTC_quote,3,method_minus_linear,core,all,6,pca,0.1,e_origin,linear,6,0.1,coef_raw,-0.0020990187374647085,-0.008155285175592756,0.010024513488997265,199
clock_UTC_quote,3,method_minus_linear,core,all,6,pca,0.1,e_origin,linear,6,0.1,effect_bp_per_sd,-0.03552461900934123,-0.09743572419716935,0.08613002803111111,199
clock_UTC_quote,3,q10_minus_q50,core,all,6,pca,0.1,e_origin,pca,6,0.5,coef_raw,0.0985405489467639,-0.03687851865929095,0.20474999447384587,199
clock_UTC_quote,3,q10_minus_q50,core,all,6,pca,0.1,e_origin,pca,6,0.5,effect_bp_per_sd,0.9522948574491945,-0.35639362724232343,1.9787018530364897,199
clock_UTC_quote,3,method_minus_linear,core,all,6,pca,0.1,downside,linear,6,0.1,coef_raw,5778.458169375583,-9256.044987872854,10543.708669656862,199
clock_UTC_quote,3,method_minus_linear,core,all,6,pca,0.1,downside,linear,6,0.1,effect_bp_per_sd,0.09427968597275904,-0.15101900701319448,0.17202816274274726,199
clock_UTC_quote,3,q10_minus_q50,core,all,6,pca,0.1,downside,pca,6,0.5,coef_raw,8966.942700326443,-150472.26822712325,192516.06333123808,199
clock_UTC_quote,3,q10_minus_q50,core,all,6,pca,0.1,downside,pca,6,0.5,effect_bp_per_sd,0.14630209601635902,-2.455062887059874,3.141037533467551,199
clock_UTC_quote,3,method_minus_linear,core,all,6,pca,0.1,btc_vol,linear,6,0.1,coef_raw,25.28610644175626,-40.00996401449811,63.862733637925075,199
clock_UTC_quote,3,method_minus_linear,core,all,6,pca,0.1,btc_vol,linear,6,0.1,effect_bp_per_sd,0.049064738373257866,-0.07763466555108203,0.12391818111512336,199
clock_UTC_quote,3,q10_minus_q50,core,all,6,pca,0.1,btc_vol,pca,6,0.5,coef_raw,-282.7271483855784,-1505.063893956858,515.7538050142024,199
clock_UTC_quote,3,q10_minus_q50,core,all,6,pca,0.1,btc_vol,pca,6,0.5,effect_bp_per_sd,-0.5485990339599375,-2.920400828103959,1.0007600642796495,199
clock_UTC_quote,3,method_minus_linear,core,all,6,pca,0.1,account_ls,linear,6,0.1,coef_raw,0.04855720779678352,-0.17488736932134527,0.1748852620205716,199
clock_UTC_quote,3,method_minus_linear,core,all,6,pca,0.1,account_ls,linear,6,0.1,effect_bp_per_sd,0.03076222511786908,-0.11079559285720551,0.11079425782861285,199
clock_UTC_quote,3,q10_minus_q50,core,all,6,pca,0.1,account_ls,pca,6,0.5,coef_raw,0.08299882633948652,-1.6700687317496683,1.9486871349762505,199
clock_UTC_quote,3,q10_minus_q50,core,all,6,pca,0.1,account_ls,pca,6,0.5,effect_bp_per_sd,0.052581865725469856,-1.0580309828235372,1.2345428217642669,199
clock_UTC_quote,3,method_minus_linear,core,all,6,pca,0.5,e_origin,linear,6,0.5,coef_raw,0.004358836954868994,-0.004336718072037484,0.008936011324147128,199
clock_UTC_quote,3,method_minus_linear,core,all,6,pca,0.5,e_origin,linear,6,0.5,effect_bp_per_sd,0.031757365222149225,-0.04904935071726297,0.073391235618798,199
clock_UTC_quote,3,method_minus_linear,core,all,6,pca,0.5,downside,linear,6,0.5,coef_raw,6622.912215380231,-7732.361884965173,9264.331827103915,199
clock_UTC_quote,3,method_minus_linear,core,all,6,pca,0.5,downside,linear,6,0.5,effect_bp_per_sd,0.10805755888316315,-0.1261590252925587,0.15115421273373633,199
clock_UTC_quote,3,method_minus_linear,core,all,6,pca,0.5,btc_vol,linear,6,0.5,coef_raw,-30.952997260268432,-65.68537002916267,40.7185688132837,199
clock_UTC_quote,3,method_minus_linear,core,all,6,pca,0.5,btc_vol,linear,6,0.5,effect_bp_per_sd,-0.06006067861580021,-0.12745479430986886,0.07900963046086493,199
clock_UTC_quote,3,method_minus_linear,core,all,6,pca,0.5,account_ls,linear,6,0.5,coef_raw,-0.09496666376075558,-0.13895713796413903,0.08311312418987768,199
clock_UTC_quote,3,method_minus_linear,core,all,6,pca,0.5,account_ls,linear,6,0.5,effect_bp_per_sd,-0.06016379486908763,-0.0880328782016746,0.05265427631833095,199
clock_UTC_quote,3,method_minus_linear,core,all,6,ml,0.1,e_origin,linear,6,0.1,coef_raw,-0.004159540668186412,-0.06403208061429115,0.039602675475745946,199
clock_UTC_quote,3,method_minus_linear,core,all,6,ml,0.1,e_origin,linear,6,0.1,effect_bp_per_sd,-0.03637319741767886,-0.617806120337774,0.3893892988916442,199
clock_UTC_quote,3,ML_minus_joint_linear,core,all,6,ml,0.1,e_origin,joint_linear,6,0.1,coef_raw,-0.004854259155105511,-0.06773099974965888,0.04265241198542177,199
clock_UTC_quote,3,ML_minus_joint_linear,core,all,6,ml,0.1,e_origin,joint_linear,6,0.1,effect_bp_per_sd,-0.05134896725949778,-0.6630854828827186,0.40988600396701347,199
clock_UTC_quote,3,q10_minus_q50,core,all,6,ml,0.1,e_origin,ml,6,0.5,coef_raw,0.0880005200999169,-0.0499400146861501,0.18307573325962692,199
clock_UTC_quote,3,q10_minus_q50,core,all,6,ml,0.1,e_origin,ml,6,0.5,effect_bp_per_sd,0.8556111087837572,-0.4855565772768005,1.7800080152687268,199
clock_UTC_quote,3,method_minus_linear,core,all,6,ml,0.1,downside,linear,6,0.1,coef_raw,-27457.35625516605,-72711.06377194943,35067.09554313834,199
clock_UTC_quote,3,method_minus_linear,core,all,6,ml,0.1,downside,linear,6,0.1,effect_bp_per_sd,-0.44798644370198026,-1.1863331113990576,0.5721447934512045,199
clock_UTC_quote,3,ML_minus_joint_linear,core,all,6,ml,0.1,downside,joint_linear,6,0.1,coef_raw,-32103.670095498346,-76560.44782864804,34317.88325117266,199
clock_UTC_quote,3,ML_minus_joint_linear,core,all,6,ml,0.1,downside,joint_linear,6,0.1,effect_bp_per_sd,-0.5237943836329095,-1.2491385708168439,0.5599208580097735,199
clock_UTC_quote,3,q10_minus_q50,core,all,6,ml,0.1,downside,ml,6,0.5,coef_raw,-15480.305550285833,-211576.11697282872,165572.85008804547,199
clock_UTC_quote,3,q10_minus_q50,core,all,6,ml,0.1,downside,ml,6,0.5,effect_bp_per_sd,-0.2525722784977804,-3.452015967382091,2.7014397014493654,199
clock_UTC_quote,3,method_minus_linear,core,all,6,ml,0.1,btc_vol,linear,6,0.1,coef_raw,-50.08898086931055,-387.22103027493944,382.41705768661177,199
clock_UTC_quote,3,method_minus_linear,core,all,6,ml,0.1,btc_vol,linear,6,0.1,effect_bp_per_sd,-0.09719182142164318,-0.751357216138637,0.74203566800937,199
clock_UTC_quote,3,ML_minus_joint_linear,core,all,6,ml,0.1,btc_vol,joint_linear,6,0.1,coef_raw,-45.39419099242559,-328.3042124922141,403.03347927607757,199
clock_UTC_quote,3,ML_minus_joint_linear,core,all,6,ml,0.1,btc_vol,joint_linear,6,0.1,effect_bp_per_sd,-0.08808212960106332,-0.6370360074957477,0.7820394279322307,199
clock_UTC_quote,3,q10_minus_q50,core,all,6,ml,0.1,btc_vol,ml,6,0.5,coef_raw,-433.17357955669223,-1364.844429679618,436.59335962250833,199
clock_UTC_quote,3,q10_minus_q50,core,all,6,ml,0.1,btc_vol,ml,6,0.5,effect_bp_per_sd,-0.8405227748333601,-2.6483213228844407,0.8471584589237451,199
clock_UTC_quote,3,method_minus_linear,core,all,6,ml,0.1,account_ls,linear,6,0.1,coef_raw,1.1420302118378096,0.2134610731912721,2.315541056113276,199
clock_UTC_quote,3,method_minus_linear,core,all,6,ml,0.1,account_ls,linear,6,0.1,effect_bp_per_sd,0.7235051614786151,0.13523301452780082,1.4669541036200937,199
clock_UTC_quote,3,ML_minus_joint_linear,core,all,6,ml,0.1,account_ls,joint_linear,6,0.1,coef_raw,1.210762315688057,0.1649998706393485,2.286251433655005,199
clock_UTC_quote,3,ML_minus_joint_linear,core,all,6,ml,0.1,account_ls,joint_linear,6,0.1,effect_bp_per_sd,0.7670486959486127,0.10453161117232042,1.4483983834590504,199
clock_UTC_quote,3,q10_minus_q50,core,all,6,ml,0.1,account_ls,ml,6,0.5,coef_raw,0.25039542525355696,-1.6477866526125848,2.122714734943698,199
clock_UTC_quote,3,q10_minus_q50,core,all,6,ml,0.1,account_ls,ml,6,0.5,effect_bp_per_sd,0.15863186516759997,-1.0439147194383402,1.3447937288865603,199
clock_UTC_quote,3,method_minus_linear,core,all,6,ml,0.5,e_origin,linear,6,0.5,coef_raw,0.012838343870994279,-0.05092681959413291,0.05556554228945054,199
clock_UTC_quote,3,method_minus_linear,core,all,6,ml,0.5,e_origin,linear,6,0.5,effect_bp_per_sd,0.12759253547924887,-0.49035003334417626,0.541934013577061,199
clock_UTC_quote,3,ML_minus_joint_linear,core,all,6,ml,0.5,e_origin,joint_linear,6,0.5,coef_raw,1.5290910000298474e-05,-0.05966696988951645,0.055183668642195656,199
clock_UTC_quote,3,ML_minus_joint_linear,core,all,6,ml,0.5,e_origin,joint_linear,6,0.5,effect_bp_per_sd,-0.0028314508402154104,-0.5847816455843227,0.535395491345553,199
clock_UTC_quote,3,method_minus_linear,core,all,6,ml,0.5,downside,linear,6,0.5,coef_raw,-2165.6539585491264,-40241.9717204846,43170.09861344743,199
clock_UTC_quote,3,method_minus_linear,core,all,6,ml,0.5,downside,linear,6,0.5,effect_bp_per_sd,-0.035334196277436725,-0.6565766066870936,0.7043510952902976,199
clock_UTC_quote,3,ML_minus_joint_linear,core,all,6,ml,0.5,downside,joint_linear,6,0.5,coef_raw,-9988.556153157057,-42086.61482021657,41855.32445838604,199
clock_UTC_quote,3,ML_minus_joint_linear,core,all,6,ml,0.5,downside,joint_linear,6,0.5,effect_bp_per_sd,-0.1629704516045114,-0.6866732807611983,0.6828996127614069,199
clock_UTC_quote,3,method_minus_linear,core,all,6,ml,0.5,btc_vol,linear,6,0.5,coef_raw,44.118346599778626,-322.4797336608406,220.37793487823248,199
clock_UTC_quote,3,method_minus_linear,core,all,6,ml,0.5,btc_vol,linear,6,0.5,effect_bp_per_sd,0.0856065024627214,-0.6257342861065661,0.42761766201314433,199
clock_UTC_quote,3,ML_minus_joint_linear,core,all,6,ml,0.5,btc_vol,joint_linear,6,0.5,coef_raw,53.330168651977026,-327.5049118831856,245.62407055351702,199
clock_UTC_quote,3,ML_minus_joint_linear,core,all,6,ml,0.5,btc_vol,joint_linear,6,0.5,effect_bp_per_sd,0.1034809680303325,-0.6354850579514238,0.4766048417791079,199
clock_UTC_quote,3,method_minus_linear,core,all,6,ml,0.5,account_ls,linear,6,0.5,coef_raw,0.8311097413662001,0.2428113961476716,1.6347085707383324,199
clock_UTC_quote,3,method_minus_linear,core,all,6,ml,0.5,account_ls,linear,6,0.5,effect_bp_per_sd,0.5265291420495283,0.15382718999698278,1.0356294222192461,199
clock_UTC_quote,3,ML_minus_joint_linear,core,all,6,ml,0.5,account_ls,joint_linear,6,0.5,coef_raw,0.8990159286750297,0.23797914116343782,1.5964939094588544,199
clock_UTC_quote,3,ML_minus_joint_linear,core,all,6,ml,0.5,account_ls,joint_linear,6,0.5,effect_bp_per_sd,0.5695494374016177,0.1507658336629436,1.0114194631540077,199
clock_UTC_quote,3,method_minus_linear,core,all,6,joint_linear,0.1,e_origin,linear,6,0.1,coef_raw,0.0006947184869190992,-0.022012881150229157,0.024468564229883683,199
clock_UTC_quote,3,method_minus_linear,core,all,6,joint_linear,0.1,e_origin,linear,6,0.1,effect_bp_per_sd,0.01497576984181892,-0.20559006005154315,0.247715845373195,199
clock_UTC_quote,3,q10_minus_q50,core,all,6,joint_linear,0.1,e_origin,joint_linear,6,0.5,coef_raw,0.09287007016502272,-0.0524699751556319,0.2068000766753888,199
clock_UTC_quote,3,q10_minus_q50,core,all,6,joint_linear,0.1,e_origin,joint_linear,6,0.5,effect_bp_per_sd,0.9041286252030396,-0.5108169555337122,2.013284459505252,199
clock_UTC_quote,3,method_minus_linear,core,all,6,joint_linear,0.1,downside,linear,6,0.1,coef_raw,4646.3138403322955,-12287.98223793307,18649.38680232261,199
