definition,variant,strategy,fold,n,seeds,raw_loss_bp,calibrated_loss_bp,calibration_gain_bp,below_rate_raw,below_rate_calibrated,mean_correction_bp
EQ,original,linear,2025-12,139,1,2.515044162313872,2.7544244733491072,-0.23938031103523505,0.17266187050359713,0.08633093525179857,-9.352398050515164
EQ,original,linear,2026-01,137,1,1.5330934915577819,1.689924826663614,-0.15683133510583214,0.08759124087591241,0.072992700729927,-1.5263158675564006
EQ,original,linear,2026-02,128,1,2.277364022251004,2.201939631829208,0.07542439042179616,0.171875,0.1171875,-6.762366394590709
EQ,original,linear,2026-03,105,1,2.826188428757104,2.070966094152966,0.755222334604138,0.3523809523809524,0.1619047619047619,-6.13235015160302
EQ,original,ml_selected,2025-12,139,4,2.1582630237944085,2.176910461076422,-0.018647437282013346,0.17446043165467626,0.07553956834532374,-4.608184479415795
EQ,original,ml_selected,2026-01,137,4,1.4714372777898306,1.3936107203243608,0.07782655746546974,0.18248175182481752,0.1332116788321168,-1.3959212175282882
EQ,original,ml_selected,2026-02,128,4,1.8497512581975903,1.7839725041349799,0.06577875406261047,0.158203125,0.07421875,-4.47849064345365
EQ,original,ml_selected,2026-03,105,4,2.6868500486461193,2.152190415611706,0.5346596330344133,0.2976190476190476,0.13095238095238096,-6.312035876734612
EQ,original,threshold,2025-12,139,1,2.372398878621799,2.4774847435109852,-0.10508586488918636,0.17266187050359713,0.07194244604316546,-7.256532875224665
EQ,original,threshold,2026-01,137,1,1.543559992372045,1.530165583867746,0.013394408504299182,0.16058394160583941,0.10218978102189781,-2.417147564125776
EQ,original,threshold,2026-02,128,1,2.4113342021528132,2.2241489836351973,0.18718521851761594,0.21875,0.109375,-6.625745385829842
EQ,original,threshold,2026-03,105,1,3.128209234216438,2.0754526918868255,1.0527565423296124,0.38095238095238093,0.18095238095238095,-7.151618829025007
EQ,own_scale,linear,2025-12,139,1,2.515044162313872,2.7548079138563413,-0.2397637515424691,0.17266187050359713,0.07913669064748201,-9.494289506216267
EQ,own_scale,linear,2026-01,137,1,1.5027882637976853,1.6505604502453013,-0.14777218644761603,0.10218978102189781,0.08029197080291971,-2.078839093188567
EQ,own_scale,linear,2026-02,128,1,2.277364022251004,2.201939631829208,0.07542439042179616,0.171875,0.1171875,-6.762366394590709
EQ,own_scale,linear,2026-03,105,1,2.790938414171091,2.057165355017359,0.7337730591537319,0.3523809523809524,0.1619047619047619,-6.000312142231651
EQ,own_scale,ml_selected,2025-12,139,4,2.151604349173513,2.176827166473641,-0.025222817300127875,0.16546762589928057,0.07733812949640288,-4.666055597440383
EQ,own_scale,ml_selected,2026-01,137,4,1.4744373935240114,1.4017222261861366,0.07271516733787475,0.18248175182481752,0.14233576642335766,-1.3998581325640866
EQ,own_scale,ml_selected,2026-02,128,4,1.8530922223116946,1.7952308079879726,0.05786141432372194,0.15625,0.076171875,-4.441700534451079
EQ,own_scale,ml_selected,2026-03,105,4,2.628962866088754,2.1597684539601776,0.4691944121285765,0.3,0.14285714285714285,-6.3068770874579805
EQ,own_scale,threshold,2025-12,139,1,2.3724591779994677,2.457532421801429,-0.08507324380196124,0.17985611510791366,0.07194244604316546,-7.377068628533922
EQ,own_scale,threshold,2026-01,137,1,1.5091113952913173,1.4750344479391275,0.0340769473521898,0.16058394160583941,0.10948905109489052,-2.091397095941036
EQ,own_scale,threshold,2026-02,128,1,2.01969255929942,1.9621295979499354,0.0575629613494848,0.1875,0.09375,-4.214954103295631
EQ,own_scale,threshold,2026-03,105,1,2.7457909371848213,2.1032590246039193,0.6425319125809019,0.3238095238095238,0.18095238095238095,-5.3374045295629395
CAP,original,linear,2025-12,139,1,1.3691391263936106,1.9215567364679365,-0.5524176100743259,0.1366906474820144,0.04316546762589928,-8.913214260092284
CAP,original,linear,2026-01,137,1,1.0502930106193007,1.0782130460700428,-0.027920035450742064,0.08759124087591241,0.10218978102189781,0.0431479824357006
CAP,original,linear,2026-02,128,1,1.348242772461995,1.3713819190255547,-0.023139146563559754,0.109375,0.1015625,-1.3027495330310774
CAP,original,linear,2026-03,105,1,1.7265280917133237,1.5904459192660085,0.13608217244731513,0.21904761904761905,0.1619047619047619,-2.113142321605805
CAP,original,ml_selected,2025-12,139,4,1.2308788954829866,1.37925837965554,-0.14837948417255342,0.1079136690647482,0.03597122302158273,-4.108506972157257
CAP,original,ml_selected,2026-01,137,4,1.0764034187104525,1.06576424151494,0.01063917719551255,0.16058394160583941,0.11678832116788321,-0.6073839143283625
CAP,original,ml_selected,2026-02,128,4,1.286082982044375,1.313124811274125,-0.027041829229749847,0.109375,0.078125,-1.5037121036387908
CAP,original,ml_selected,2026-03,105,4,1.818088958279326,1.6576482855180836,0.1604406727612424,0.21904761904761905,0.1595238095238095,-3.113014580778137
CAP,original,threshold,2025-12,139,1,1.2016742348948266,1.8660143683792885,-0.6643401334844619,0.12949640287769784,0.050359712230215826,-9.687619489000419
CAP,original,threshold,2026-01,137,1,1.107882498061713,1.1290767692910355,-0.021194271229322492,0.1386861313868613,0.12408759124087591,-0.6773949492260661
CAP,original,threshold,2026-02,128,1,1.254953111386749,1.2937018578987318,-0.0387487465119829,0.1015625,0.09375,-1.5283091113146994
CAP,original,threshold,2026-03,105,1,1.7905866717051782,1.695261333486967,0.0953253382182111,0.19047619047619047,0.12380952380952381,-2.5913626174524556
CAP,own_scale,linear,2025-12,139,1,1.3691391263936106,1.9215567364679365,-0.5524176100743259,0.1366906474820144,0.04316546762589928,-8.913214260092284
CAP,own_scale,linear,2026-01,137,1,1.0502930106193007,1.0782130460700428,-0.027920035450742064,0.08759124087591241,0.10218978102189781,0.0431479824357006
CAP,own_scale,linear,2026-02,128,1,1.348242772461995,1.3713819190255547,-0.023139146563559754,0.109375,0.1015625,-1.3027495330310774
CAP,own_scale,linear,2026-03,105,1,1.8592318045428877,1.586078779222411,0.2731530253204768,0.2571428571428571,0.1523809523809524,-3.747124779841364
CAP,own_scale,ml_selected,2025-12,139,4,1.2308788954829866,1.37925837965554,-0.14837948417255342,0.1079136690647482,0.03597122302158273,-4.108506972157257
