sample,definition,variant,calibration,comparison,n,block_days,difference_bp,improvement_pct,improvement_lo,improvement_hi,p_centered_boot,winning_months,p_holm_36,meets_within_extension_threshold
full,EQ,original,calibrated,nonlinear_R,509,5,0.15611732432031494,7.665740904500673,0.7625702140560482,12.741438334596161,0.046,4,0.782,False
full,EQ,original,calibrated,nonlinear_F,509,5,0.3258167364755885,14.891177115525888,8.587517293980545,19.960423254665898,0.0005,3,0.018000000000000002,True
full,EQ,original,calibrated,market_B_vs_R,509,5,-0.0167259044578038,-0.8894668771167291,-3.5465179076420816,2.0150769252146707,0.526,1,1.0,False
full,EQ,original,calibrated,position_F_vs_B,509,5,0.03499906042183674,1.8448061032139806,-0.8921240275535757,4.356694473042811,0.1455,3,1.0,False
full,EQ,original,calibrated,total_F_vs_R,509,5,0.018273155964032946,0.9717481653323756,-3.0043303407042172,4.745381382125779,0.611,3,1.0,False
full,EQ,original,calibrated,ml_vs_threshold_F,509,5,0.21369935156927994,10.29445903676538,5.072101703015539,15.807804976164501,0.0005,3,0.018000000000000002,True
full,EQ,own_scale,calibrated,nonlinear_R,509,5,0.07818769091000438,3.863124542459928,-3.207719078130609,9.309556863202108,0.268,2,1.0,False
full,EQ,own_scale,calibrated,nonlinear_F,509,5,0.3059244884970197,14.067771902363734,7.633820248379055,19.282158875070387,0.001,3,0.033,True
full,EQ,own_scale,calibrated,market_B_vs_R,509,5,0.026150177880875255,1.3439557398002067,-0.6345134024434291,3.122875019384046,0.1765,2,1.0,False
full,EQ,own_scale,calibrated,position_F_vs_B,509,5,0.05088837305471646,2.6509722856361995,-0.06292882807708916,5.2824152653482495,0.0385,3,0.74,False
full,EQ,own_scale,calibrated,total_F_vs_R,509,5,0.07703855093559173,3.959300131243082,1.3155177943797463,6.6246563348432215,0.003,4,0.08700000000000001,False
full,EQ,own_scale,calibrated,ml_vs_threshold_F,509,5,0.1267020823250421,6.3496277225393305,1.2432785457521771,11.282614745824516,0.0145,3,0.3335,False
full,CAP,original,calibrated,nonlinear_R,509,5,0.16115436165432376,10.802968171400362,4.009064818612059,16.71101751918116,0.0025,3,0.075,False
full,CAP,original,calibrated,nonlinear_F,509,5,0.15223107889329524,10.231214363792374,3.0469707040631,16.60326899676634,0.0075,3,0.20249999999999999,False
full,CAP,original,calibrated,market_B_vs_R,509,5,-0.004226047544396234,-0.3176033014581803,-2.171816708420788,1.6810491462143546,0.761,3,1.0,False
full,CAP,original,calibrated,position_F_vs_B,509,5,-0.000845415159875503,-0.0633349618046175,-1.008279526103336,0.9281728012481795,0.914,1,1.0,False
full,CAP,original,calibrated,total_F_vs_R,509,5,-0.005071462704271733,-0.38113941719246647,-1.8288027336484856,1.0751531859886252,0.614,1,1.0,False
full,CAP,original,calibrated,ml_vs_threshold_F,509,5,0.15284112130178493,10.268004484415517,1.1757353880912067,17.89862696959041,0.0265,3,0.583,False
full,CAP,own_scale,calibrated,nonlinear_R,509,5,0.150211922489101,10.071033159818722,3.095412150672897,15.935566322559371,0.006,3,0.168,False
full,CAP,own_scale,calibrated,nonlinear_F,509,5,0.1524160550984427,10.249852303375295,2.971957415013383,16.812224225967075,0.0085,3,0.21250000000000002,False
full,CAP,own_scale,calibrated,market_B_vs_R,509,5,0.006144153427768042,0.45807023173646266,-0.1947007664187757,1.1007034453393092,0.168,3,1.0,False
full,CAP,own_scale,calibrated,position_F_vs_B,509,5,0.0005771042485482322,0.043223331036057466,-0.9199768032063677,1.0514714501838522,0.932,1,1.0,False
full,CAP,own_scale,calibrated,total_F_vs_R,509,5,0.006721257676316277,0.501095569559884,-0.7956150828510328,1.785385590422064,0.4405,2,1.0,False
full,CAP,own_scale,calibrated,ml_vs_threshold_F,509,5,0.15528548748104845,10.422706855235509,0.6573337833534378,18.034230164314582,0.037,3,0.74,False
full,PCA,original,calibrated,nonlinear_R,509,5,0.1483665931293665,7.380298921648487,0.3421511320399112,12.639518675198515,0.0405,4,0.74,False
full,PCA,original,calibrated,nonlinear_F,509,5,0.3238856886729448,14.902321168447873,8.482486063949684,20.042904825086985,0.0005,3,0.018000000000000002,True
full,PCA,original,calibrated,market_B_vs_R,509,5,-0.030198915434477707,-1.6219064424763507,-4.607550412785934,1.1714595736926157,0.246,1,1.0,False
full,PCA,original,calibrated,position_F_vs_B,509,5,0.04263314916580588,2.2531729488591723,-0.431153905881511,4.93047047609514,0.075,3,1.0,False
full,PCA,original,calibrated,total_F_vs_R,509,5,0.012434233731328162,0.6678108636005042,-0.5763769673973214,1.9149391066407662,0.2735,3,1.0,False
full,PCA,original,calibrated,ml_vs_threshold_F,509,5,0.21327251362971378,10.339093421038381,4.75987131906967,15.999831486917898,0.001,3,0.033,True
full,PCA,own_scale,calibrated,nonlinear_R,509,5,0.09428046958097411,4.695138923223119,-2.952435746206828,10.816694254135017,0.212,2,1.0,False
full,PCA,own_scale,calibrated,nonlinear_F,509,5,0.3123243319289991,14.432109105770163,7.860937644217552,19.799539783713175,0.001,3,0.033,True
full,PCA,own_scale,calibrated,market_B_vs_R,509,5,0.012541875279554068,0.6553512545472095,-1.5571939484214357,2.68951182599827,0.5325,2,1.0,False
full,PCA,own_scale,calibrated,position_F_vs_B,509,5,0.04945281003363676,2.601106612979509,0.7121679515411643,4.691185186548935,0.0095,3,0.22799999999999998,False
full,PCA,own_scale,calibrated,total_F_vs_R,509,5,0.06199468531319085,3.2394114827064446,0.19351784731790955,6.221249498067831,0.027,3,0.583,False
full,PCA,own_scale,calibrated,ml_vs_threshold_F,509,5,0.14587755316542994,7.302470111676862,2.234236998282,12.377950434038205,0.0075,4,0.20249999999999999,False
