definition,variant,reference,fold,n,raw_advantage_bp,calibrated_advantage_bp,change_in_advantage_bp,reference_cal_minus_raw_bp,ml_cal_minus_raw_bp
EQ,original,linear,2025-12,139,0.3567811385194636,0.5775140122726855,0.22073287375322193,0.2393803110352353,0.018647437282013308
EQ,original,linear,2026-01,137,0.06165621376795116,0.2963141063392535,0.23465789257130232,0.1568313351058324,-0.0778265574654699
EQ,original,linear,2026-02,128,0.42761276405341375,0.4179671276942279,-0.00964563635918586,-0.0754243904217963,-0.06577875406261047
EQ,original,linear,2026-03,105,0.1393383801109841,-0.08122432145873974,-0.22056270156972385,-0.7552223346041378,-0.5346596330344141
EQ,original,threshold,2025-12,139,0.21413585482739012,0.3005742824345634,0.0864384276071733,0.10508586488918663,0.018647437282013308
EQ,original,threshold,2026-01,137,0.07212271458221424,0.13655486354338525,0.06443214896117101,-0.013394408504298872,-0.0778265574654699
EQ,original,threshold,2026-02,128,0.5615829439552231,0.4401764795002175,-0.12140646445500564,-0.18718521851761616,-0.06577875406261047
EQ,original,threshold,2026-03,105,0.4413591855703179,-0.07673772372488039,-0.5180969092951982,-1.0527565423296124,-0.5346596330344141
EQ,own_scale,linear,2025-12,139,0.36343981314035856,0.5779807473827004,0.21454093424234189,0.23976375154246926,0.02522281730012733
EQ,own_scale,linear,2026-01,137,0.028350870273673896,0.2488382240591647,0.2204873537854908,0.1477721864476162,-0.07271516733787459
EQ,own_scale,linear,2026-02,128,0.4242717999393094,0.40670882384123513,-0.01756297609807428,-0.0754243904217963,-0.05786141432372195
EQ,own_scale,linear,2026-03,105,0.16197554808233647,-0.10260309894281898,-0.26457864702515543,-0.733773059153732,-0.46919441212857654
EQ,own_scale,threshold,2025-12,139,0.22085482882595417,0.2807052553277881,0.05985042650183395,0.08507324380196128,0.02522281730012733
EQ,own_scale,threshold,2026-01,137,0.03467400176730603,0.07331222175299082,0.03863821998568479,-0.034076947352189794,-0.07271516733787459
EQ,own_scale,threshold,2026-02,128,0.16660033698772586,0.1668987899619626,0.00029845297423675143,-0.05756296134948519,-0.05786141432372195
EQ,own_scale,threshold,2026-03,105,0.11682807109606697,-0.05650942935625797,-0.17333750045232493,-0.6425319125809015,-0.46919441212857654
CAP,original,linear,2025-12,139,0.1382602309106242,0.5422983568123962,0.404038125901772,0.5524176100743258,0.1483794841725537
CAP,original,linear,2026-01,137,-0.026110408091151588,0.012448804555102957,0.038559212646254545,0.027920035450742103,-0.010639177195512444
CAP,original,linear,2026-02,128,0.06215979041761972,0.0582571077514297,-0.0039026826661900244,0.023139146563559768,0.02704182922974977
CAP,original,linear,2026-03,105,-0.0915608665660021,-0.06720236625207525,0.024358500313926848,-0.13608217244731516,-0.16044067276124208
CAP,original,threshold,2025-12,139,-0.029204660588159886,0.4867559887237482,0.5159606493119081,0.6643401334844617,0.1483794841725537
CAP,original,threshold,2026-01,137,0.03147907935126068,0.06331252777609579,0.03183344842483511,0.021194271229322676,-0.010639177195512444
CAP,original,threshold,2026-02,128,-0.031129870657626412,-0.01942295337539322,0.011706917282233192,0.03874874651198294,0.02704182922974977
CAP,original,threshold,2026-03,105,-0.027502286574147987,0.037613047968883054,0.06511533454303103,-0.095325338218211,-0.16044067276124208
CAP,own_scale,linear,2025-12,139,0.1382602309106242,0.5422983568123962,0.404038125901772,0.5524176100743258,0.1483794841725537
CAP,own_scale,linear,2026-01,137,-0.026110408091151588,0.012448804555102957,0.038559212646254545,0.027920035450742103,-0.010639177195512444
CAP,own_scale,linear,2026-02,128,0.06215979041761972,0.0582571077514297,-0.0039026826661900244,0.023139146563559768,0.02704182922974977
CAP,own_scale,linear,2026-03,105,0.03464412307649482,-0.06630567207664606,-0.10094979515314088,-0.2731530253204772,-0.17220323016733635
CAP,own_scale,threshold,2025-12,139,-0.017214436814987927,0.5460066332246207,0.5632210700396086,0.7116005542121623,0.1483794841725537
CAP,own_scale,threshold,2026-01,137,0.03544556222940862,0.04149644722638606,0.0060508849969774445,-0.00458829219853501,-0.010639177195512444
CAP,own_scale,threshold,2026-02,128,0.027029726118088675,0.014010916942344654,-0.013018809175744021,0.014023020054005741,0.02704182922974977
CAP,own_scale,threshold,2026-03,105,-0.04632105328148682,-0.04126685265717733,0.005054200624309488,-0.16714902954302685,-0.17220323016733635
PCA,original,linear,2025-12,139,0.34693211681442443,0.573312724395768,0.22638060758134354,0.23829703352314363,0.011916425941800101
PCA,original,linear,2026-01,137,0.058129508523175506,0.2870148380294188,0.2288853295062433,0.15407544700657708,-0.07480988249966619
