definition,minimum_gap_bp,group,n,quantity,estimate,lo,hi,bootstrap_valid,p
CAP,0,discount,307,absolute_gap_reduction,0.5093631608980478,0.08425190375392262,0.944033602166676,1.0,0.021
CAP,0,discount,307,crossed_zero,0.33876221498371334,0.2704996533887911,0.41418932733592306,1.0,0.0005
CAP,0,discount,307,overshot_farther,0.15960912052117263,0.12128971657273545,0.20128599995403038,1.0,0.0005
CAP,0,discount,307,local_return_bp,3.7159442537767817,-2.5580917941722103,10.240996321420374,1.0,0.2425
CAP,0,discount,307,basket_implied_return_bp,-0.45704987920560114,-7.090481655784264,6.268612905417481,1.0,0.888
CAP,0,premium,202,absolute_gap_reduction,-0.7098460581348416,-1.4262996070776488,-0.1323932767311416,1.0,0.0305
CAP,0,premium,202,crossed_zero,0.5148514851485149,0.4297473525437577,0.6309837092731829,1.0,0.0005
CAP,0,premium,202,overshot_farther,0.297029702970297,0.22727272727272727,0.39132246376811597,1.0,0.0005
CAP,0,premium,202,local_return_bp,-5.674791880670481,-11.250490508486203,0.07037642528595263,1.0,0.05
CAP,0,premium,202,basket_implied_return_bp,0.17698315335193476,-5.545064370231277,6.125593583098964,1.0,0.954
CAP,5,discount,184,absolute_gap_reduction,3.0817106738552633,2.405311623869237,3.8825912484820497,1.0,0.0005
CAP,5,discount,184,crossed_zero,0.266304347826087,0.19616263133851072,0.34782608695652173,1.0,0.0005
CAP,5,discount,184,overshot_farther,0.06521739130434782,0.030441547840726477,0.10271042471042471,1.0,0.001
CAP,5,discount,184,local_return_bp,5.847888016637594,-1.4943633033820785,13.397754328275632,1.0,0.122
CAP,5,discount,184,basket_implied_return_bp,-0.09399285779613016,-8.296756059446276,8.013110989841904,1.0,0.9815
CAP,5,premium,91,absolute_gap_reduction,2.9979602266085883,2.072247671856709,3.8072767189009853,1.0,0.0005
CAP,5,premium,91,crossed_zero,0.5164835164835165,0.41174098671726755,0.6621790540540541,1.0,0.0005
CAP,5,premium,91,overshot_farther,0.18681318681318682,0.1211954711954712,0.27631578947368424,1.0,0.0005
CAP,5,premium,91,local_return_bp,-5.718950050710286,-13.109534688077124,1.4912913247889314,1.0,0.136
CAP,5,premium,91,basket_implied_return_bp,4.4574929268352905,-2.7824129790759953,12.004239987890852,1.0,0.262
CAP,10,discount,68,absolute_gap_reduction,6.642089398063374,5.583438316377612,7.867598641738694,1.0,0.0005
CAP,10,discount,68,crossed_zero,0.19117647058823528,0.1044776119402985,0.30434782608695654,1.0,0.0015
CAP,10,discount,68,overshot_farther,0.014705882352941176,0.0,0.048426758328926456,1.0,0.507
CAP,10,discount,68,local_return_bp,9.766359319815058,-2.0192815463959124,20.451094058065365,1.0,0.0965
CAP,10,discount,68,basket_implied_return_bp,1.080269498534975,-12.428109377700958,13.01101713092418,1.0,0.8675
CAP,10,premium,30,absolute_gap_reduction,6.727720312369168,5.323808763034115,7.857846304517091,1.0,0.0005
CAP,10,premium,30,crossed_zero,0.5333333333333333,0.4,0.7223180076628352,1.0,0.0005
CAP,10,premium,30,overshot_farther,0.13333333333333333,0.05555555555555555,0.2413793103448276,1.0,0.0135
CAP,10,premium,30,local_return_bp,6.303995714749749,-1.9006555599361235,15.605508254129722,1.0,0.145
CAP,10,premium,30,basket_implied_return_bp,21.536722902039052,12.509071266275056,31.787656593951912,1.0,0.001
EQ,0,discount,324,absolute_gap_reduction,0.5799641238260042,-0.20424029466959026,1.54931734580228,1.0,0.18
EQ,0,discount,324,crossed_zero,0.35802469135802467,0.29375403173784026,0.4335620038618322,1.0,0.0005
EQ,0,discount,324,overshot_farther,0.15432098765432098,0.11241970698984274,0.20147347513799388,1.0,0.0005
EQ,0,discount,324,local_return_bp,2.1620138285870842,-4.492750936787748,8.973864703450607,1.0,0.5285
EQ,0,discount,324,basket_implied_return_bp,-3.5597422860043575,-10.749360333680604,3.516379876563486,1.0,0.321
EQ,0,premium,185,absolute_gap_reduction,-0.22822200271186666,-1.4533743450125418,0.8570119149576455,1.0,0.6975
EQ,0,premium,185,crossed_zero,0.5621621621621622,0.4830508474576271,0.6495419504725698,1.0,0.0005
EQ,0,premium,185,overshot_farther,0.2864864864864865,0.21739130434782608,0.3695840663483287,1.0,0.0005
EQ,0,premium,185,local_return_bp,-3.816246240260436,-8.913105606350157,1.5822755268780941,1.0,0.1655
EQ,0,premium,185,basket_implied_return_bp,5.138910681930424,0.07590389362182857,11.072508970938426,1.0,0.0655
EQ,5,discount,204,absolute_gap_reduction,3.5100813702566724,2.3958045104799868,4.657600387265678,1.0,0.0005
EQ,5,discount,204,crossed_zero,0.3431372549019608,0.2660004988464177,0.42696629213483145,1.0,0.0005
EQ,5,discount,204,overshot_farther,0.08823529411764706,0.052896129211918684,0.12808513325754706,1.0,0.0005
EQ,5,discount,204,local_return_bp,2.612124976806931,-5.323977450344775,10.141473985427774,1.0,0.5155
EQ,5,discount,204,basket_implied_return_bp,-5.882070126614225,-14.401714449644526,2.650207967116227,1.0,0.1835
EQ,5,premium,114,absolute_gap_reduction,2.851313775442949,1.2130694795350108,4.147747649355998,1.0,0.002
EQ,5,premium,114,crossed_zero,0.5526315789473685,0.45900135358700556,0.6512435400516795,1.0,0.0005
EQ,5,premium,114,overshot_farther,0.19298245614035087,0.12377846790890269,0.27660524316109425,1.0,0.0005
EQ,5,premium,114,local_return_bp,-6.434986780547069,-12.724176845366008,0.8815968181809901,1.0,0.063
EQ,5,premium,114,basket_implied_return_bp,5.8075605321643,-0.9397447754127873,13.496669871956021,1.0,0.1195
EQ,10,discount,116,absolute_gap_reduction,6.632484213542272,5.237036345281717,8.049218347857662,1.0,0.0005
EQ,10,discount,116,crossed_zero,0.31896551724137934,0.23362928348909656,0.408171768707483,1.0,0.0005
EQ,10,discount,116,overshot_farther,0.02586206896551724,0.0,0.05835784313725488,1.0,0.0905
EQ,10,discount,116,local_return_bp,6.955073307181287,-1.793029334559325,16.08519516328545,1.0,0.133
EQ,10,discount,116,basket_implied_return_bp,-4.117640617114538,-13.889691133308128,5.698215302107287,1.0,0.4165
EQ,10,premium,61,absolute_gap_reduction,6.753639635566977,4.833960771304076,8.36128427792283,1.0,0.0005
EQ,10,premium,61,crossed_zero,0.5737704918032787,0.45454545454545453,0.718051282051282,1.0,0.0005
EQ,10,premium,61,overshot_farther,0.09836065573770492,0.03508771929824561,0.18181818181818182,1.0,0.013
EQ,10,premium,61,local_return_bp,-4.586963997492708,-14.202302649741354,4.929595270263366,1.0,0.3325
EQ,10,premium,61,basket_implied_return_bp,10.876027091145835,2.349780151516536,19.87880275971502,1.0,0.015
PCA,0,discount,323,absolute_gap_reduction,0.5985394764010714,-0.18266230967863165,1.5525193327412599,1.0,0.1645
PCA,0,discount,323,crossed_zero,0.3560371517027864,0.29056324945110623,0.4330839895013123,1.0,0.0005
PCA,0,discount,323,overshot_farther,0.15479876160990713,0.11178158876843788,0.20541684844010424,1.0,0.0005
PCA,0,discount,323,local_return_bp,2.1052001633332567,-4.558250853615114,8.944429561306276,1.0,0.5375
