definition,h,learner,seed,sample,minimum_gap_bp,block_days,n,premium_n,discount_n,days,outcome,estimate,lo,hi,bootstrap_valid,p
CAP,1,forest20,20260926,common_path,5,5,128,35,93,67,local,5.270566919688046,0.0968881154485329,9.9473037576997,1.0,0.036
CAP,1,forest20,20260926,common_path,5,5,128,35,93,67,basket_price,-2.6958747711458133,-7.433954947323554,2.625033800244051,1.0,0.2765
CAP,1,forest20,20260926,common_path,5,5,128,35,93,67,basket_weights,-0.0006046115256084923,-0.0015793705743991544,0.0002779087801028965,1.0,0.191
CAP,1,forest20,20260926,common_path,5,5,128,35,93,67,numeraire,-0.04114013779895376,-0.1133200340421696,0.032607089573959344,1.0,0.2565
CAP,1,forest20,20260926,common_path,5,5,128,35,93,67,global_control,0.0336162187598383,-0.0503603468292057,0.11782520483630025,1.0,0.4435
CAP,1,forest20,20260926,common_path,5,5,128,35,93,67,total,2.56656361797746,0.43582582721369456,4.7831475290407655,1.0,0.0255
CAP,1,forest20,20260926,common_path,5,5,128,35,93,67,dominance,7.966441690833858,-2.132544037672737,17.09715731761759,1.0,0.1025
CAP,1,forest20,20260927,common_path,5,5,128,35,93,67,local,5.444510325346761,0.2582202787292083,10.021786446711198,1.0,0.033
CAP,1,forest20,20260927,common_path,5,5,128,35,93,67,basket_price,-2.9477072444086727,-7.731022512654296,2.2285574991207833,1.0,0.231
CAP,1,forest20,20260927,common_path,5,5,128,35,93,67,basket_weights,-0.0006154135715260884,-0.0015484118047271434,0.00028768881116833294,1.0,0.176
CAP,1,forest20,20260927,common_path,5,5,128,35,93,67,numeraire,-0.043105570968366896,-0.11287212515048989,0.029416490730344427,1.0,0.219
CAP,1,forest20,20260927,common_path,5,5,128,35,93,67,global_control,0.03160454303751403,-0.05275081693191868,0.11479811218019027,1.0,0.462
CAP,1,forest20,20260927,common_path,5,5,128,35,93,67,total,2.4846866394356537,0.3633021325015639,4.649750492088964,1.0,0.0265
CAP,1,forest20,20260927,common_path,5,5,128,35,93,67,dominance,8.392217569755434,-1.828549052944505,17.60833601774738,1.0,0.089
CAP,1,forest40,20260926,common_path,5,5,128,35,93,67,local,5.604650626208086,0.4427744423072044,10.431024790156176,1.0,0.03
CAP,1,forest40,20260926,common_path,5,5,128,35,93,67,basket_price,-3.0528954272814826,-7.96452840293739,2.19045191200192,1.0,0.218
CAP,1,forest40,20260926,common_path,5,5,128,35,93,67,basket_weights,-0.0006875892114545381,-0.0016538265783158851,0.00020982822147854585,1.0,0.14
CAP,1,forest40,20260926,common_path,5,5,128,35,93,67,numeraire,-0.04446563205310826,-0.1157729820213367,0.029838866942546782,1.0,0.22
CAP,1,forest40,20260926,common_path,5,5,128,35,93,67,global_control,0.03306232680959905,-0.051743884697197665,0.11942738244545122,1.0,0.4545
CAP,1,forest40,20260926,common_path,5,5,128,35,93,67,total,2.5396643044715397,0.4544395921123897,4.685536490573228,1.0,0.022
CAP,1,forest40,20260926,common_path,5,5,128,35,93,67,dominance,8.65754605348957,-1.4815837275466313,18.124352789387082,1.0,0.082
CAP,1,forest40,20260927,common_path,5,5,128,35,93,67,local,5.768825102174328,0.5439738703303199,10.591943541629593,1.0,0.0285
CAP,1,forest40,20260927,common_path,5,5,128,35,93,67,basket_price,-3.2063385407248726,-8.176210027393482,2.067722221347251,1.0,0.2005
CAP,1,forest40,20260927,common_path,5,5,128,35,93,67,basket_weights,-0.0007015124056870853,-0.001671685999354308,0.0002061866225183702,1.0,0.1335
CAP,1,forest40,20260927,common_path,5,5,128,35,93,67,numeraire,-0.04447455846560864,-0.11402419450566856,0.0286413712597875,1.0,0.208
CAP,1,forest40,20260927,common_path,5,5,128,35,93,67,global_control,0.030571485563319695,-0.05535854619369534,0.11762894929667242,1.0,0.494
CAP,1,forest40,20260927,common_path,5,5,128,35,93,67,total,2.5478819761413694,0.4559244141302909,4.707253255621594,1.0,0.022
CAP,1,forest40,20260927,common_path,5,5,128,35,93,67,dominance,8.9751636428992,-1.3855162506090077,18.50117071144082,1.0,0.0725
CAP,1,linear,20260926,common_path,5,5,128,35,93,67,local,3.991667083742367,-1.157422750664392,9.326091076091375,1.0,0.1335
CAP,1,linear,20260926,common_path,5,5,128,35,93,67,basket_price,-1.4470119697539252,-6.536040476052433,3.5000257402024344,1.0,0.5655
CAP,1,linear,20260926,common_path,5,5,128,35,93,67,basket_weights,-0.00014333770344034504,-0.0009108558184308384,0.0007822255530358226,1.0,0.738
CAP,1,linear,20260926,common_path,5,5,128,35,93,67,numeraire,-0.028864625786167213,-0.08650041760320389,0.02753824029313178,1.0,0.3135
CAP,1,linear,20260926,common_path,5,5,128,35,93,67,global_control,0.031154055041963797,-0.05426616905067868,0.11970813996830854,1.0,0.4955
CAP,1,linear,20260926,common_path,5,5,128,35,93,67,total,2.5468012055407314,0.003619849260959502,5.2113708817762205,1.0,0.058
CAP,1,linear,20260926,common_path,5,5,128,35,93,67,dominance,5.438679053496291,-4.475945037103742,15.49135435608732,1.0,0.273
CAP,6,forest20,20260926,common_path,5,5,128,35,93,67,local,-6.4398518297049945,-18.174537334589907,4.7453135645953095,1.0,0.3
CAP,6,forest20,20260926,common_path,5,5,128,35,93,67,basket_price,7.09691101327034,-4.956674967828387,19.51356971041499,1.0,0.2775
CAP,6,forest20,20260926,common_path,5,5,128,35,93,67,basket_weights,-0.0035315043237537243,-0.006002384876378158,-0.0012571965708047656,1.0,0.005
CAP,6,forest20,20260926,common_path,5,5,128,35,93,67,numeraire,0.0904198219696842,-0.17155446112461592,0.3782166536954812,1.0,0.518
CAP,6,forest20,20260926,common_path,5,5,128,35,93,67,global_control,-0.08123225941592158,-0.2762916147279183,0.11911780013734566,1.0,0.447
CAP,6,forest20,20260926,common_path,5,5,128,35,93,67,total,0.6627152417949047,-2.060896698406658,3.361485733276042,1.0,0.6415
CAP,6,forest20,20260926,common_path,5,5,128,35,93,67,dominance,-13.536762842975335,-37.83947877679623,9.35293657256305,1.0,0.2865
CAP,6,forest20,20260927,common_path,5,5,128,35,93,67,local,-7.182662850505367,-18.943735947561656,4.0893894064330425,1.0,0.2515
CAP,6,forest20,20260927,common_path,5,5,128,35,93,67,basket_price,7.921536822899781,-4.208506871066,20.51226687748403,1.0,0.22
CAP,6,forest20,20260927,common_path,5,5,128,35,93,67,basket_weights,-0.0034069156279273364,-0.005933361045360128,-0.0010812635809695694,1.0,0.006
CAP,6,forest20,20260927,common_path,5,5,128,35,93,67,numeraire,0.09767520962255165,-0.16742680775822671,0.39074286638814704,1.0,0.498
CAP,6,forest20,20260927,common_path,5,5,128,35,93,67,global_control,-0.08700943057543627,-0.28507750459192693,0.11500744588543027,1.0,0.4135
CAP,6,forest20,20260927,common_path,5,5,128,35,93,67,total,0.7461328358131704,-1.9986198173226462,3.459923502931164,1.0,0.601
CAP,6,forest20,20260927,common_path,5,5,128,35,93,67,dominance,-15.104199673405159,-39.718802828396775,8.261992379622125,1.0,0.2305
CAP,6,forest40,20260926,common_path,5,5,128,35,93,67,local,-4.176859993011338,-16.071006133245643,7.6863198108302715,1.0,0.5095
CAP,6,forest40,20260926,common_path,5,5,128,35,93,67,basket_price,5.199771239728685,-7.549236473348616,17.99797440934321,1.0,0.451
CAP,6,forest40,20260926,common_path,5,5,128,35,93,67,basket_weights,-0.003712038371332529,-0.00607111593950904,-0.0015229519697118696,1.0,0.002
CAP,6,forest40,20260926,common_path,5,5,128,35,93,67,numeraire,0.08629457408976066,-0.18113582700786057,0.3742621800940868,1.0,0.5565
CAP,6,forest40,20260926,common_path,5,5,128,35,93,67,global_control,-0.0734394364618768,-0.2689579679122979,0.12821153259807935,1.0,0.492
CAP,6,forest40,20260926,common_path,5,5,128,35,93,67,total,1.0320543459734746,-1.725164382106416,3.76383400859498,1.0,0.4655
CAP,6,forest40,20260926,common_path,5,5,128,35,93,67,dominance,-9.376631232740024,-33.938586127318814,15.056963760601603,1.0,0.4775
CAP,6,forest40,20260927,common_path,5,5,128,35,93,67,local,-3.9937474455160182,-16.163756225993875,8.068992781984596,1.0,0.535
CAP,6,forest40,20260927,common_path,5,5,128,35,93,67,basket_price,5.159876843258035,-7.872938340649614,18.339051383725746,1.0,0.4655
CAP,6,forest40,20260927,common_path,5,5,128,35,93,67,basket_weights,-0.003532219910961063,-0.005912248962594216,-0.0013462898729203817,1.0,0.0025
CAP,6,forest40,20260927,common_path,5,5,128,35,93,67,numeraire,0.08969217439137159,-0.1794286772742469,0.37957272013302357,1.0,0.547
CAP,6,forest40,20260927,common_path,5,5,128,35,93,67,global_control,-0.07482534917098278,-0.2768512530112944,0.1299233267834008,1.0,0.491
CAP,6,forest40,20260927,common_path,5,5,128,35,93,67,total,1.1774640030510235,-1.6218596397133584,4.016144085756317,1.0,0.412
CAP,6,forest40,20260927,common_path,5,5,128,35,93,67,dominance,-9.15362428877405,-34.174958055468544,15.662864300543756,1.0,0.494
CAP,6,linear,20260926,common_path,5,5,128,35,93,67,local,-8.334335383332514,-22.174642064260738,5.717245697962653,1.0,0.247
CAP,6,linear,20260926,common_path,5,5,128,35,93,67,basket_price,10.49417706494946,-3.393872951807972,24.742262260092097,1.0,0.154
CAP,6,linear,20260926,common_path,5,5,128,35,93,67,basket_weights,-0.0034650647964089712,-0.006264922716024092,-0.0008990166448627168,1.0,0.013
CAP,6,linear,20260926,common_path,5,5,128,35,93,67,numeraire,0.022970560135797718,-0.25133350798622917,0.318241339095779,1.0,0.8755
CAP,6,linear,20260926,common_path,5,5,128,35,93,67,global_control,-0.09496762574409161,-0.3077541743579328,0.13245662944101874,1.0,0.428
CAP,6,linear,20260926,common_path,5,5,128,35,93,67,total,2.0843795512118244,-0.7104036451417765,5.079931549374008,1.0,0.153
CAP,6,linear,20260926,common_path,5,5,128,35,93,67,dominance,-18.828512448281973,-46.52411742363134,8.7404981869699,1.0,0.19
CAP,12,forest20,20260926,full,5,1,275,91,184,74,local,-8.014113644715517,-29.150628320685517,14.062345785123345,1.0,0.4755
CAP,12,forest20,20260926,full,5,1,275,91,184,74,basket_price,10.583574007670702,-12.123629656145292,33.04623870816904,1.0,0.3605
CAP,12,forest20,20260926,full,5,1,275,91,184,74,basket_weights,-0.007565636303031472,-0.012374599643111127,-0.003831257432675518,1.0,0.0025
CAP,12,forest20,20260926,full,5,1,275,91,184,74,numeraire,0.11275969420799978,-0.15588685689286963,0.3709562834322177,1.0,0.403
CAP,12,forest20,20260926,full,5,1,275,91,184,74,global_control,-0.14829960839949238,-0.34291816179474954,0.05157452963980725,1.0,0.1375
