definition,learner,seed,sample,minimum_gap_bp,block_days,n,quantity,estimate,lo,hi,bootstrap_valid,p
CAP,forest20,20260926,full,5,1,275,gap,1.614400296376203,0.03508544625469479,3.310500477207956,1.0,0.054
CAP,forest20,20260926,full,5,1,275,excess,0.911954516084057,-1.2274670881921081,3.1198318161771033,1.0,0.392
CAP,forest20,20260926,full,5,1,275,cross,0.3110749599361012,0.14673825204523896,0.4663485456590233,1.0,0.001
CAP,forest20,20260926,full,5,1,275,overshot,0.10127535299938284,0.026558807543611482,0.17691511286641304,1.0,0.0095
CAP,forest20,20260926,full,5,5,275,gap,1.614400296376203,0.2999054934319148,2.8966235653082766,1.0,0.019
CAP,forest20,20260926,full,5,5,275,excess,0.911954516084057,-1.486532527122326,3.156494489776496,1.0,0.4255
CAP,forest20,20260926,full,5,5,275,cross,0.3110749599361012,0.13647020000178195,0.4782182153644633,1.0,0.002
CAP,forest20,20260926,full,5,5,275,overshot,0.10127535299938284,0.018316897864222356,0.17941343244213853,1.0,0.0185
CAP,forest20,20260926,full,5,10,275,gap,1.614400296376203,0.3817121356701386,2.804233070817268,1.0,0.0105
CAP,forest20,20260926,full,5,10,275,excess,0.911954516084057,-1.087555985262493,3.0130616247355047,1.0,0.403
CAP,forest20,20260926,full,5,10,275,cross,0.3110749599361012,0.16087366944755518,0.4647880290797191,1.0,0.001
CAP,forest20,20260926,full,5,10,275,overshot,0.10127535299938284,0.036511290491416895,0.16571932606738493,1.0,0.0025
CAP,forest20,20260926,full,0,5,509,gap,0.7730026016624755,-0.059031267524336066,1.607919239383833,1.0,0.074
CAP,forest20,20260926,full,0,5,509,excess,1.2284505224290643,-0.30186578421165283,2.792391421372492,1.0,0.1245
CAP,forest20,20260926,full,0,5,509,cross,0.17246637988940347,0.039913069848213446,0.30591344904792955,1.0,0.0115
CAP,forest20,20260926,full,0,5,509,overshot,0.08282034969577244,-6.076618591628908e-05,0.1637634385315182,1.0,0.05
CAP,forest20,20260926,full,10,5,98,gap,-0.3254012706604192,-2.9899447872896645,2.6820500204670767,1.0,0.8145
CAP,forest20,20260926,full,10,5,98,excess,1.3813030578833505,-6.287697718079636,7.163958268272057,1.0,0.686
CAP,forest20,20260926,full,10,5,98,cross,0.4991314393415927,0.20849355684592563,0.7651352916617845,1.0,0.001
CAP,forest20,20260926,full,10,5,98,overshot,0.14310022746055537,0.04178142663022893,0.2528694296195524,1.0,0.0045
CAP,forest20,20260926,nonoverlap,5,5,109,gap,1.954603168307884,-0.3475077478938964,4.366619946654576,1.0,0.0955
CAP,forest20,20260926,nonoverlap,5,5,109,excess,-0.46114942061153014,-4.416995594048257,3.291601700212174,1.0,0.819
CAP,forest20,20260926,nonoverlap,5,5,109,cross,0.15508402017269554,-0.14919402083944205,0.45151418680887406,1.0,0.33
CAP,forest20,20260926,nonoverlap,5,5,109,overshot,0.1320697237103733,0.021071459051710654,0.2530854744639862,1.0,0.028
CAP,forest20,20260926,overlap,5,5,214,gap,1.680914732556873,0.36392689160240077,3.0385993080475084,1.0,0.011
CAP,forest20,20260926,overlap,5,5,214,excess,0.7497226884813055,-1.703464967344404,3.105211692747689,1.0,0.526
CAP,forest20,20260926,overlap,5,5,214,cross,0.29669966183277324,0.11961935593865673,0.4644279510398454,1.0,0.0015
CAP,forest20,20260926,overlap,5,5,214,overshot,0.08914296405751831,0.005135622283522046,0.16500834786714444,1.0,0.028
CAP,forest20,20260926,2025-12,5,5,65,gap,-1.0667615130059664,-3.0259689482512884,1.1487789981252179,1.0,0.3055
CAP,forest20,20260926,2025-12,5,5,65,excess,-0.02985613450735978,-3.461604579820309,4.85829403158537,1.0,0.9895
CAP,forest20,20260926,2025-12,5,5,65,cross,0.03070238732577047,-0.28981422875497576,0.40059353862336583,1.0,0.8635
CAP,forest20,20260926,2025-12,5,5,65,overshot,0.08157532210574185,-0.016985653861784494,0.21402318736210751,1.0,0.169
CAP,forest20,20260926,without_2025-12,5,5,210,gap,2.198391677825653,0.6249562460132886,3.75659444462002,1.0,0.006
CAP,forest20,20260926,without_2025-12,5,5,210,excess,1.1170929381584147,-1.6498766801558984,3.609186829047317,1.0,0.412
CAP,forest20,20260926,without_2025-12,5,5,210,cross,0.37214369716273416,0.16467187160877336,0.547802352550072,1.0,0.0005
CAP,forest20,20260926,without_2025-12,5,5,210,overshot,0.10556627203900075,-0.00044522549684450103,0.1907667047505406,1.0,0.037
CAP,forest20,20260926,2026-01,5,5,78,gap,3.3506350821233575,1.0123497531867305,5.203466843297222,1.0,0.003
CAP,forest20,20260926,2026-01,5,5,78,excess,-0.7648937351095743,-2.1914484004748465,1.0805510349163412,1.0,0.3795
CAP,forest20,20260926,2026-01,5,5,78,cross,0.3265728735781542,-0.04966397273522681,0.6234908684195605,1.0,0.057
CAP,forest20,20260926,2026-01,5,5,78,overshot,0.1255807326530359,0.04837666915513556,0.19824699520335073,1.0,0.001
CAP,forest20,20260926,without_2026-01,5,5,197,gap,0.6047810625723679,-1.0304011709452057,2.1730251817613224,1.0,0.453
CAP,forest20,20260926,without_2026-01,5,5,197,excess,1.8870405243089592,-1.6854416058665644,5.028776703875639,1.0,0.2725
CAP,forest20,20260926,without_2026-01,5,5,197,cross,0.30206293470466644,0.09800332503575887,0.501426191856978,1.0,0.004
CAP,forest20,20260926,without_2026-01,5,5,197,overshot,0.08714179284687577,-0.048043217986110026,0.1953400210185447,1.0,0.1615
CAP,forest20,20260926,2026-02,5,5,58,gap,2.388393403169199,-2.185441202147286,4.722266389246126,1.0,0.126
CAP,forest20,20260926,2026-02,5,5,58,excess,0.7545719422797902,-8.524949521838133,12.33803301193191,1.0,0.862
CAP,forest20,20260926,2026-02,5,5,58,cross,0.3366704103165127,-0.17771595202965632,0.8789560620818893,1.0,0.155
CAP,forest20,20260926,2026-02,5,5,58,overshot,0.1225230154486853,-0.08731184043758237,0.5221852923879424,1.0,0.4005
