definition,null,quantity,group,n,observed,expected,past_center_mean_bp
CAP,affine,cross,discount,184,0.266304347826087,0.38564999059829047,-2.7272152762723523
CAP,affine,cross,premium,91,0.5164835164835165,0.4109881657761559,-0.9409054104492001
CAP,affine,overshot,discount,184,0.06521739130434782,0.08799666368359717,-2.7272152762723523
CAP,affine,overshot,premium,91,0.18681318681318682,0.10980436226917455,-0.9409054104492001
CAP,local_center72,cross,discount,184,0.266304347826087,0.2935592648992535,-2.7272152762723523
CAP,local_center72,cross,premium,91,0.5164835164835165,0.43074572726435,-0.9409054104492001
CAP,local_center72,overshot,discount,184,0.06521739130434782,0.0637172055852852,-2.7272152762723523
CAP,local_center72,overshot,premium,91,0.18681318681318682,0.13100411819360475,-0.9409054104492001
EQ,affine,cross,discount,204,0.3431372549019608,0.40513396875170044,-3.640346818353549
EQ,affine,cross,premium,114,0.5526315789473685,0.4208584747208959,-1.7507894662557808
EQ,affine,overshot,discount,204,0.08823529411764706,0.12073474509790842,-3.640346818353549
EQ,affine,overshot,premium,114,0.19298245614035087,0.14282763630541498,-1.7507894662557808
EQ,local_center72,cross,discount,204,0.3431372549019608,0.33271051715901007,-3.640346818353549
EQ,local_center72,cross,premium,114,0.5526315789473685,0.44424400445336726,-1.7507894662557808
EQ,local_center72,overshot,discount,204,0.08823529411764706,0.10211810563147626,-3.640346818353549
EQ,local_center72,overshot,premium,114,0.19298245614035087,0.17822124868441083,-1.7507894662557808
PCA,affine,cross,discount,203,0.3399014778325123,0.4042441167618262,-3.6352489200679177
PCA,affine,cross,premium,114,0.543859649122807,0.42055759435525686,-1.7497121016297903
PCA,affine,overshot,discount,203,0.09359605911330049,0.11934403905173538,-3.6352489200679177
PCA,affine,overshot,premium,114,0.19298245614035087,0.1427121555870882,-1.7497121016297903
PCA,local_center72,cross,discount,203,0.3399014778325123,0.33182653746539575,-3.6352489200679177
PCA,local_center72,cross,premium,114,0.543859649122807,0.44429750728734263,-1.7497121016297903
PCA,local_center72,overshot,discount,203,0.09359605911330049,0.10102510037088312,-3.6352489200679177
PCA,local_center72,overshot,premium,114,0.19298245614035087,0.1782471204547886,-1.7497121016297903
