definition,null,quantity,n,brier,constant_brier
CAP,affine,cross,275,0.2263278910390661,0.2411315254298431
CAP,affine,overshot,275,0.09188742804695897,0.11371840465679063
CAP,local_center72,cross,275,0.2156786108506574,0.2411315254298431
CAP,local_center72,overshot,275,0.0936018215881732,0.11371840465679063
EQ,affine,cross,318,0.23742445611571042,0.24592051583675176
EQ,affine,overshot,318,0.10345105561853928,0.12292966821861216
EQ,local_center72,cross,318,0.2444095973874364,0.24592051583675176
EQ,local_center72,overshot,318,0.10893955911743083,0.12292966821861216
PCA,affine,cross,317,0.23664661383348545,0.24597403908308205
PCA,affine,overshot,317,0.1057079622452398,0.12492474698019289
PCA,local_center72,cross,317,0.2439227022221939,0.24597403908308205
PCA,local_center72,overshot,317,0.11122058965299993,0.12492474698019289
