definition        category       reference_policy reference_family               new_policy endpoint  improvement_pct  improvement_lo  improvement_hi  p_holm_within_definition_question
        EQ model_advantage         joint_selected           linear           joint_selected  pinball         5.807360        0.984516       10.033548                             0.1950
        EQ model_advantage         joint_selected           linear           joint_selected  cost_10        12.243402        2.432694       22.842198                             0.1750
        EQ model_advantage         joint_selected        threshold           joint_selected  pinball         7.090482        0.211298       12.924450                             0.1950
        EQ model_advantage         joint_selected        threshold           joint_selected  cost_10         7.065217      -12.130172       22.486732                             0.8480
        EQ model_advantage         joint_selected       historical           joint_selected  pinball         3.516571       -1.886194        8.275823                             0.6525
        EQ model_advantage         joint_selected       historical           joint_selected  cost_10       -14.217557      -29.381051       -2.337236                             0.1120
        EQ model_advantage         joint_selected       state_hist           joint_selected  pinball        -0.344390       -4.383340        3.630266                             0.8755
        EQ model_advantage         joint_selected       state_hist           joint_selected  cost_10        -8.818182      -22.788057        1.912150                             0.5220
        EQ     calibration                 legacy      ml_selected fixed_model_selected_cal  pinball        -0.565616       -2.577642        1.254721                             1.0000
        EQ     calibration                 legacy      ml_selected fixed_model_selected_cal  cost_10        -1.919721       -7.472585        2.529049                             1.0000
        EQ     calibration                 legacy      ml_selected           joint_selected  pinball        -0.846145       -4.438204        2.138204                             1.0000
        EQ     calibration                 legacy      ml_selected           joint_selected  cost_10        -4.450262      -20.716423        7.638894                             1.0000
        EQ     calibration global_window_selected      ml_selected           joint_selected  pinball        -0.852535       -3.362232        1.219350                             1.0000
        EQ     calibration global_window_selected      ml_selected           joint_selected  cost_10        -7.354260      -21.375350        1.959755                             1.0000
       CAP model_advantage         joint_selected           linear           joint_selected  pinball         7.717917       -0.731376       15.014846                             0.3120
       CAP model_advantage         joint_selected           linear           joint_selected  cost_10        -1.425856      -16.351206       11.520196                             1.0000
       CAP model_advantage         joint_selected        threshold           joint_selected  pinball         7.833375       -1.163248       15.560875                             0.3120
       CAP model_advantage         joint_selected        threshold           joint_selected  cost_10        -9.323770      -20.549274       -0.246520                             0.2575
       CAP model_advantage         joint_selected       historical           joint_selected  pinball         6.843307        1.535094       11.864382                             0.0875
       CAP model_advantage         joint_selected       historical           joint_selected  cost_10         0.466418      -15.189873       13.172333                             1.0000
       CAP model_advantage         joint_selected       state_hist           joint_selected  pinball         4.992076        1.642101        8.281579                             0.0320
       CAP model_advantage         joint_selected       state_hist           joint_selected  cost_10       -19.618834      -36.780122       -3.811625                             0.0875
       CAP     calibration                 legacy      ml_selected fixed_model_selected_cal  pinball         0.478202       -1.864495        2.994400                             1.0000
       CAP     calibration                 legacy      ml_selected fixed_model_selected_cal  cost_10        -4.420432      -15.113388        3.389168                             1.0000
       CAP     calibration                 legacy      ml_selected           joint_selected  pinball        -2.227877       -6.260362        1.605682                             1.0000
       CAP     calibration                 legacy      ml_selected           joint_selected  cost_10        -4.813360      -15.225943        5.743529                             1.0000
       CAP     calibration global_window_selected      ml_selected           joint_selected  pinball         0.374054       -0.218847        0.997649                             1.0000
       CAP     calibration global_window_selected      ml_selected           joint_selected  cost_10        -0.281955       -0.699336        0.000000                             0.6900
       PCA model_advantage         joint_selected           linear           joint_selected  pinball         6.414681        1.556323       10.337530                             0.1160
       PCA model_advantage         joint_selected           linear           joint_selected  cost_10        13.750000        2.363723       25.873879                             0.2100
       PCA model_advantage         joint_selected        threshold           joint_selected  pinball         7.895964       -1.983814       19.090894                             0.5860
       PCA model_advantage         joint_selected        threshold           joint_selected  cost_10        -1.120690      -23.940149       16.903671                             1.0000
       PCA model_advantage         joint_selected       historical           joint_selected  pinball         4.130607       -1.702509        8.832538                             0.5860
       PCA model_advantage         joint_selected       historical           joint_selected  cost_10       -11.927481      -25.430883       -0.783490                             0.2100
       PCA model_advantage         joint_selected       state_hist           joint_selected  pinball        -0.204439       -4.577318        4.174771                             1.0000
       PCA model_advantage         joint_selected       state_hist           joint_selected  cost_10       -11.501901      -27.845922        0.350550                             0.3725
       PCA     calibration                 legacy      ml_selected fixed_model_selected_cal  pinball         0.148714       -1.839058        1.911334                             1.0000
       PCA     calibration                 legacy      ml_selected fixed_model_selected_cal  cost_10         1.457976       -2.159787        4.462535                             1.0000
       PCA     calibration                 legacy      ml_selected           joint_selected  pinball        -0.448938       -4.996334        3.498831                             1.0000
       PCA     calibration                 legacy      ml_selected           joint_selected  cost_10        -0.600343      -18.254817       11.214059                             1.0000
       PCA     calibration global_window_selected      ml_selected           joint_selected  pinball         1.872566       -1.111759        4.379029                             1.0000
       PCA     calibration global_window_selected      ml_selected           joint_selected  cost_10        -1.295337      -15.485905        9.117344                             1.0000
