definition,category,reference_policy,reference_family,new_policy,new_family,endpoint,sample,block_days,n,difference,difference_lo,difference_hi,improvement_pct,improvement_lo,improvement_hi,ratio_valid_fraction,p_centered_boot,reference_mean,new_mean
EQ,model_advantage,joint_selected,linear,joint_selected,ml_selected,pinball,full,1,509,0.11578172518186279,-0.006608397920336267,0.26025957595204385,5.807359882460386,-0.38989068780760405,11.015810625233302,1.0,0.0775,1.99370673637002,1.8779250111881571
EQ,model_advantage,joint_selected,linear,joint_selected,ml_selected,cost_10,full,1,509,0.008202357563850687,-0.0010087765319582674,0.016605628343871595,12.243401759530789,-1.656181015452537,24.409368193820725,1.0,0.0695,0.06699410609037329,0.0587917485265226
EQ,model_advantage,joint_selected,threshold,joint_selected,ml_selected,pinball,full,1,509,0.14331570500574126,0.01907712617789604,0.25609714499605785,7.090481794549052,0.9890040734645735,12.18361073048206,1.0,0.022,2.0212407161938986,1.8779250111881571
EQ,model_advantage,joint_selected,threshold,joint_selected,ml_selected,cost_10,full,1,509,0.004469548133595285,-0.005665820029027575,0.013622668249689815,7.065217391304348,-9.910941283292978,20.966794099581037,1.0,0.374,0.06326129666011789,0.0587917485265226
EQ,model_advantage,joint_selected,historical,joint_selected,ml_selected,pinball,full,1,509,0.06844550012892435,-0.05083639522273716,0.21477929647935787,3.5165709576337667,-2.8971949152479235,9.130392128910769,1.0,0.2955,1.9463705113170817,1.8779250111881571
EQ,model_advantage,joint_selected,historical,joint_selected,ml_selected,cost_10,full,1,509,-0.0073182711198428296,-0.014004549205968879,-0.0011232573378024216,-14.217557251908396,-30.875621936218263,-2.052796259047227,1.0,0.03,0.05147347740667977,0.0587917485265226
EQ,model_advantage,joint_selected,state_hist,joint_selected,ml_selected,pinball,full,1,509,-0.006445185757128146,-0.09149343560944755,0.07437556316274965,-0.34438980690821636,-5.0819258831723735,3.9173894702444407,1.0,0.877,1.8714798254310292,1.8779250111881571
EQ,model_advantage,joint_selected,state_hist,joint_selected,ml_selected,cost_10,full,1,509,-0.0047642436149312375,-0.012066818851952254,0.0021341653180629865,-8.818181818181817,-24.276169101683976,3.552546951376385,1.0,0.1975,0.05402750491159136,0.0587917485265226
EQ,calibration,legacy,ml_selected,fixed_model_selected_cal,ml_selected,pinball,full,1,509,-0.010532725043880557,-0.05659101015841113,0.03925235434778205,-0.5656161521808439,-3.1737016072337743,2.0422165343823324,1.0,0.6575,1.8621683633449244,1.872701088388805
EQ,calibration,legacy,ml_selected,fixed_model_selected_cal,ml_selected,cost_10,full,1,509,-0.0010805500982318272,-0.005151243054362147,0.0022034381931841096,-1.9197207678883073,-9.794921257352481,3.882978454123889,1.0,0.582,0.056286836935167,0.05736738703339882
EQ,calibration,legacy,ml_selected,joint_selected,ml_selected,pinball,full,1,509,-0.015756647843232666,-0.09340023207981257,0.06497603143246018,-0.8461451796404569,-5.176153993491261,3.4352001493406115,1.0,0.6865,1.8621683633449244,1.8779250111881571
EQ,calibration,legacy,ml_selected,joint_selected,ml_selected,cost_10,full,1,509,-0.002504911591355599,-0.010475118524987717,0.004074785657259881,-4.450261780104712,-19.554214929214925,7.07022350396539,1.0,0.51,0.056286836935167,0.0587917485265226
EQ,calibration,global_window_selected,ml_selected,joint_selected,ml_selected,pinball,full,1,509,-0.0158746270735127,-0.05819400628696499,0.028793943405848624,-0.8525347761231855,-3.3998733024297705,1.403768513018733,1.0,0.483,1.8620503841146445,1.8779250111881571
EQ,calibration,global_window_selected,ml_selected,joint_selected,ml_selected,cost_10,full,1,509,-0.004027504911591356,-0.010060801048801369,0.0007876441721193304,-7.3542600896860995,-18.170271732891656,1.3830656522964206,1.0,0.1365,0.054764243614931235,0.0587917485265226
EQ,model_advantage,joint_selected,linear,joint_selected,ml_selected,pinball,full,5,509,0.11578172518186279,0.017273250236508057,0.2292786221583353,5.807359882460386,0.9845158958962148,10.033547744285684,1.0,0.034,1.99370673637002,1.8779250111881571
EQ,model_advantage,joint_selected,linear,joint_selected,ml_selected,cost_10,full,5,509,0.008202357563850687,0.0016293851464825532,0.01566339898404777,12.243401759530789,2.4326937107836004,22.842198310948316,1.0,0.025,0.06699410609037329,0.0587917485265226
EQ,model_advantage,joint_selected,threshold,joint_selected,ml_selected,pinball,full,5,509,0.14331570500574126,0.003854475552330178,0.27066148210969115,7.090481794549052,0.21129834506874853,12.924449927280392,1.0,0.0325,2.0212407161938986,1.8779250111881571
EQ,model_advantage,joint_selected,threshold,joint_selected,ml_selected,cost_10,full,5,509,0.004469548133595285,-0.007129231392257851,0.01502309430725326,7.065217391304348,-12.130171510866724,22.48673184357542,1.0,0.424,0.06326129666011789,0.0587917485265226
EQ,model_advantage,joint_selected,historical,joint_selected,ml_selected,pinball,full,5,509,0.06844550012892435,-0.03323723055857188,0.18333003193338157,3.5165709576337667,-1.8861943211914347,8.275823062501678,1.0,0.2175,1.9463705113170817,1.8779250111881571
EQ,model_advantage,joint_selected,historical,joint_selected,ml_selected,cost_10,full,5,509,-0.0073182711198428296,-0.013359903705165802,-0.0013414943158471483,-14.217557251908396,-29.381051348824798,-2.3372360409379467,1.0,0.014,0.05147347740667977,0.0587917485265226
