definition,family,rule,sample,n,pinball,below,q_change,too_low,too_high,cost_5,missed_severity_5,cost_10,missed_severity_10,cost_20,missed_severity_20,event_5,alarm_5,tp_5,fp_5,fn_5,event_10,alarm_10,tp_10,fp_10,fn_10,event_20,alarm_20,tp_20,fp_20,fn_20,coverage_abs_error,conditional_abs_error
CAP,historical,global180,full,509,1.7937949605879107,0.10805500982318271,-12.044590655646017,1.2775410778314615,0.516253882756449,0.0719056974459725,0.0,0.09214145383104125,0.12961389228098483,0.021218074656188607,0.11729322720000396,143.0,509.0,143.0,366.0,0.0,71.0,400.0,57.0,343.0,14.0,12.0,0.0,0.0,0.0,12.0,0.008055009823182704,0.1168958742632613
CAP,historical,global180,2025-12,139,1.7150637870228522,0.12949640287769784,-13.402461325320408,1.3664801324819993,0.348583654540853,0.0683453237410072,0.0,0.08273381294964027,0.0,0.012949640287769784,0.03292301868384474,44.0,139.0,44.0,95.0,0.0,24.0,139.0,24.0,115.0,0.0,2.0,0.0,0.0,0.0,2.0,0.029496402877697836,0.14028776978417265
CAP,historical,global180,2026-01,137,1.4431363213781565,0.043795620437956206,-12.4222170099918,1.3302689932781224,0.11286732810003408,0.07518248175182482,0.0,0.09635036496350365,0.03511985008890249,0.006569343065693431,0.011267890936370904,34.0,137.0,34.0,103.0,0.0,10.0,122.0,8.0,114.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0562043795620438,0.08832116788321168
CAP,historical,global180,2026-02,128,1.7363650270706557,0.140625,-9.441924618612449,1.062345977969446,0.6740190491012098,0.075,0.0,0.10781250000000002,0.47782852897532535,0.0140625,0.06122156833654879,32.0,128.0,32.0,96.0,0.0,16.0,34.0,4.0,30.0,12.0,2.0,0.0,0.0,0.0,2.0,0.040624999999999994,0.11718749999999999
CAP,historical,global180,2026-03,105,2.425555895706845,0.12380952380952381,-12.927089885266819,1.3533384089716596,1.072217486735185,0.06857142857142856,0.0,0.07999999999999999,0.0,0.060000000000000005,0.43567515468939555,33.0,105.0,33.0,72.0,0.0,21.0,105.0,21.0,84.0,0.0,7.0,0.0,0.0,0.0,7.0,0.023809523809523808,0.13428571428571429
CAP,historical,global60,full,509,1.7918838755002187,0.09233791748526522,-13.265945193117146,1.387271877695094,0.40461199780512447,0.0719056974459725,0.0,0.08860510805500983,0.06648255069582652,0.024754420432220044,0.11729322720000396,143.0,509.0,143.0,366.0,0.0,71.0,402.0,59.0,343.0,12.0,12.0,18.0,0.0,18.0,12.0,0.007662082514734783,0.10510805500982318
CAP,historical,global60,2025-12,139,1.691424168341073,0.06474820143884892,-15.274668136690739,1.5326147836371513,0.15880938470392156,0.0683453237410072,0.0,0.08273381294964027,0.0,0.012949640287769784,0.03292301868384474,44.0,139.0,44.0,95.0,0.0,24.0,139.0,24.0,115.0,0.0,2.0,0.0,0.0,0.0,2.0,0.035251798561151085,0.10431654676258993
CAP,historical,global60,2026-01,137,1.4220890707531622,0.0948905109489051,-10.345062354802328,1.1412203492485704,0.28086872150459163,0.07518248175182482,0.0,0.09635036496350367,0.15353230153527933,0.006569343065693431,0.011267890936370904,34.0,137.0,34.0,103.0,0.0,10.0,62.0,2.0,60.0,8.0,1.0,0.0,0.0,0.0,1.0,0.005109489051094901,0.11313868613138686
CAP,historical,global60,2026-02,128,1.7298272055406265,0.1171875,-11.253121033787234,1.2246998731821739,0.5051273323584528,0.075,0.0,0.09375000000000003,0.10004447651439398,0.0140625,0.06122156833654879,32.0,128.0,32.0,96.0,0.0,16.0,96.0,12.0,84.0,4.0,2.0,0.0,0.0,0.0,2.0,0.017187499999999994,0.09375
CAP,historical,global60,2026-03,105,2.4830176021697015,0.09523809523809523,-16.871563784418374,1.7140872305415853,0.7689303716281164,0.06857142857142856,0.0,0.07999999999999999,0.0,0.07714285714285715,0.43567515468939555,33.0,105.0,33.0,72.0,0.0,21.0,105.0,21.0,84.0,0.0,7.0,18.0,0.0,18.0,7.0,0.004761904761904773,0.12476190476190475
CAP,historical,local180,full,509,1.4761056105827142,0.10805500982318271,-9.941467933973371,1.056491097880404,0.41961451270231015,0.06895874263261295,0.04224096699400531,0.05265225933202358,0.06529905752636059,0.018664047151277015,0.09492218974267491,143.0,464.0,140.0,324.0,3.0,71.0,229.0,60.0,169.0,11.0,12.0,7.0,2.0,5.0,10.0,0.008055009823182704,0.05402750491159136
CAP,historical,local180,2025-12,139,1.4964836048281238,0.08633093525179857,-12.02562031232077,1.220706423092559,0.2757771817355648,0.0683453237410072,0.0,0.06043165467625898,0.040542066292334006,0.012949640287769784,0.03292301868384474,44.0,139.0,44.0,95.0,0.0,24.0,88.0,22.0,66.0,2.0,2.0,0.0,0.0,0.0,2.0,0.01366906474820144,0.08273381294964029
CAP,historical,local180,2026-01,137,1.1672541257474853,0.072992700729927,-8.886606860898144,0.9844758602966263,0.18277826545085885,0.06569343065693431,0.0,0.03722627737226278,0.06541050393805095,0.006569343065693431,0.011267890936370904,34.0,124.0,34.0,90.0,0.0,10.0,41.0,8.0,33.0,2.0,1.0,0.0,0.0,0.0,1.0,0.027007299270073004,0.027007299270073004
CAP,historical,local180,2026-02,128,1.4583957364525197,0.109375,-9.607012733630903,1.049406979259293,0.4089887571932264,0.0703125,0.0,0.0578125,0.06138434303313045,0.0140625,0.06122156833654879,32.0,122.0,32.0,90.0,0.0,16.0,60.0,13.0,47.0,3.0,2.0,0.0,0.0,0.0,2.0,0.009374999999999994,0.0703125
CAP,historical,local180,2026-03,105,1.8736958592587076,0.18095238095238095,-8.966506525067215,0.9416999029088812,0.9319959563498261,0.07238095238095238,0.20476811618998766,0.05619047619047619,0.10269941065266132,0.047619047619047616,0.3272288873962481,33.0,79.0,30.0,49.0,3.0,21.0,40.0,17.0,23.0,4.0,7.0,7.0,2.0,5.0,5.0,0.08095238095238094,0.08095238095238096
