definition,policy,family,fold,n,pinball,below,q_change,too_low,too_high,cost_5,missed_severity_5,cost_10,missed_severity_10,cost_20,missed_severity_20,event_5,alarm_5,tp_5,fp_5,fn_5,event_10,alarm_10,tp_10,fp_10,fn_10,event_20,alarm_20,tp_20,fp_20,fn_20,coverage_abs_error,conditional_abs_error
EQ,fixed_model_selected_cal,historical,2025-12,139,2.3739239527369307,0.1223021582733813,-11.538483299237022,1.3655447429460403,1.0083792097908908,0.07625899280575539,0.595246661465331,0.05971223021582734,0.5839594856592192,0.052517985611510797,0.41595261956293955,48.0,124.0,45.0,79.0,3.0,29.0,52.0,23.0,29.0,6.0,8.0,31.0,3.0,28.0,5.0,0.022302158273381292,0.023741007194244598
EQ,fixed_model_selected_cal,historical,2026-01,137,1.4051978991957899,0.08759124087591241,-9.90208422698766,1.12079878720091,0.2843991119948797,0.09124087591240876,0.14371408814053171,0.04744525547445255,0.03474190372085285,0.015328467153284672,0.028035268081821982,35.0,110.0,30.0,80.0,5.0,17.0,52.0,14.0,38.0,3.0,2.0,13.0,1.0,12.0,1.0,0.012408759124087593,0.027007299270072994
EQ,fixed_model_selected_cal,historical,2026-02,128,1.9407164174813878,0.125,-13.32502463649125,1.4522428994165861,0.4884735180648016,0.06874999999999999,0.0,0.03203125,0.0,0.0484375,0.09488638647006434,40.0,128.0,40.0,88.0,0.0,27.0,68.0,27.0,41.0,0.0,13.0,35.0,9.0,26.0,4.0,0.024999999999999994,0.10781249999999999
EQ,fixed_model_selected_cal,historical,2026-03,105,2.0933652114525745,0.1523809523809524,-13.166707828310352,1.2488006215578922,0.8445645898946821,0.04857142857142857,0.0823761760772005,0.06952380952380953,0.2658668626379436,0.02666666666666667,0.027634625416174903,41.0,82.0,40.0,42.0,1.0,31.0,44.0,25.0,19.0,6.0,16.0,34.0,15.0,19.0,1.0,0.05238095238095239,0.052380952380952375
EQ,fixed_model_selected_cal,linear,2025-12,139,2.7544244733491072,0.08633093525179857,-15.711196076778277,1.779138944985971,0.9752855283631365,0.06330935251798561,0.5793654440601517,0.0762589928057554,0.5552840493979184,0.05395683453237411,0.36354876794528773,48.0,116.0,46.0,70.0,2.0,29.0,95.0,25.0,70.0,4.0,8.0,53.0,5.0,48.0,3.0,0.01366906474820144,0.03525179856115108
EQ,fixed_model_selected_cal,linear,2026-01,137,1.689924826663614,0.072992700729927,-12.662921375569201,1.3977468233200312,0.29217800334358307,0.07372262773722628,0.0,0.09197080291970801,0.1097120422447766,0.013138686131386862,0.028161535771752223,35.0,136.0,35.0,101.0,0.0,17.0,113.0,14.0,99.0,3.0,2.0,0.0,0.0,0.0,2.0,0.027007299270073004,0.0781021897810219
EQ,fixed_model_selected_cal,linear,2026-02,128,2.155337110220371,0.1171875,-14.205525150231136,1.552950014927074,0.6023870952932971,0.06796875,0.0,0.05859375,0.0,0.05625,0.27679190553209065,40.0,127.0,40.0,87.0,0.0,27.0,102.0,27.0,75.0,0.0,13.0,15.0,6.0,9.0,7.0,0.017187499999999994,0.11562499999999999
EQ,fixed_model_selected_cal,linear,2026-03,105,2.0563955807610523,0.17142857142857143,-11.927054494124091,1.1335348584119767,0.9228607223490757,0.04095238095238095,0.0,0.06571428571428571,0.21979595883810668,0.04285714285714286,0.16755196739509215,41.0,84.0,41.0,43.0,0.0,31.0,60.0,27.0,33.0,4.0,16.0,21.0,12.0,9.0,4.0,0.07142857142857142,0.07142857142857142
EQ,fixed_model_selected_cal,ml_selected,2025-12,139,2.176910461076422,0.07553956834532374,-12.664614222964852,1.447195176915494,0.7297152841609277,0.05719424460431655,0.06787761954427934,0.06366906474820144,0.5552840493979184,0.04568345323741008,0.3730210628485054,48.0,117.5,47.0,70.5,1.0,29.0,77.5,25.0,52.5,4.0,8.0,29.0,3.75,25.25,4.25,0.024460431654676262,0.04316546762589928
EQ,fixed_model_selected_cal,ml_selected,2026-01,137,1.4391562521637882,0.12773722627737227,-8.88003283568862,1.0322099972807963,0.4069462548829919,0.07627737226277372,0.11037016772912338,0.0572992700729927,0.08277360740714391,0.005839416058394161,0.0,35.0,99.5,31.0,68.5,4.0,17.0,45.5,12.0,33.5,5.0,2.0,10.0,2.0,8.0,0.0,0.027737226277372268,0.048905109489051087
