definition,variant,information,calibration,threshold_bp,sample,reference,n,block_days,reference_cost,ml_cost,difference,difference_lo,difference_hi,improvement_pct,improvement_lo,improvement_hi,ratio_valid_fraction,p_centered_boot
EQ,original,F,raw,-5.0,full,linear,509,5,0.06424361493123773,0.06404715127701376,0.00019646365422396961,-0.010225428510384101,0.008971193022663611,0.3058103975535184,-15.574171405057614,14.336239035087727,1.0,0.968
EQ,original,F,raw,-5.0,full,threshold,509,5,0.06935166994106091,0.06404715127701376,0.005304518664047151,-0.0037813068023865018,0.014361542614397631,7.648725212464588,-5.254709157682734,19.79511167842307,1.0,0.263
EQ,original,F,raw,-5.0,full,historical,509,5,0.06777996070726916,0.06404715127701376,0.0037328094302554017,-0.010564021220919803,0.016128524731165432,5.507246376811592,-15.889480621093705,23.51987814166033,1.0,0.5775
EQ,original,F,raw,-5.0,full,state_hist,509,5,0.07779960707269157,0.06404715127701376,0.0137524557956778,0.0015769865162577703,0.028622026945657086,17.676767676767675,2.5373134328358193,30.869174462924466,1.0,0.0505
EQ,original,F,raw,-5.0,nonoverlap,linear,138,5,0.06811594202898552,0.06648550724637682,0.0016304347826086962,-0.015493857304410406,0.016252314814814813,2.393617021276596,-25.470241023118547,23.71891996891997,1.0,0.841
EQ,original,F,raw,-5.0,nonoverlap,threshold,138,5,0.07246376811594203,0.06648550724637682,0.005978260869565217,-0.006855543043043043,0.018091447899211816,8.249999999999998,-10.92280564263323,23.685567010309274,1.0,0.3045
EQ,original,F,raw,-5.0,nonoverlap,historical,138,5,0.06521739130434782,0.06648550724637682,-0.0012681159420289867,-0.0253478467226219,0.022640657284860668,-1.9444444444444464,-38.959836941994105,33.72606019151846,1.0,0.9125
EQ,original,F,raw,-5.0,nonoverlap,state_hist,138,5,0.07536231884057973,0.06648550724637682,0.008876811594202899,-0.010038402876130297,0.0368611111111111,11.778846153846152,-17.460589258534466,39.72286607799852,1.0,0.508
EQ,original,F,raw,-10.0,full,linear,509,5,0.058939096267190585,0.05830058939096268,0.0006385068762278968,-0.007300275142314991,0.007676709305804907,1.0833333333333313,-12.551686203103074,13.469660448543271,1.0,0.8665
EQ,original,F,raw,-10.0,full,threshold,509,5,0.0781925343811395,0.05830058939096268,0.019891944990176817,0.009143012426427394,0.030161732254812286,25.43969849246231,12.153735085801209,37.13073992452396,1.0,0.0005
EQ,original,F,raw,-10.0,full,historical,509,5,0.07956777996070727,0.05830058939096268,0.021267190569744597,0.006412395784458786,0.03638266922471468,26.728395061728396,8.172179793158302,44.838781793608085,1.0,0.0055
EQ,original,F,raw,-10.0,full,state_hist,509,5,0.060510805500982326,0.05830058939096268,0.0022102161100196463,-0.0028473084886128366,0.0071862859601672,3.652597402597402,-4.814401517439228,11.8231278002987,1.0,0.4085
EQ,original,F,raw,-10.0,nonoverlap,linear,138,5,0.06086956521739132,0.06630434782608696,-0.005434782608695652,-0.022680139040348966,0.012044752692562914,-8.928571428571425,-45.45959595959596,20.23913043478259,1.0,0.5495
EQ,original,F,raw,-10.0,nonoverlap,threshold,138,5,0.0891304347826087,0.06630434782608696,0.022826086956521743,-0.0072281746031746036,0.05500167785234899,25.60975609756098,-9.946972765009615,53.474392361111114,1.0,0.167
EQ,original,F,raw,-10.0,nonoverlap,historical,138,5,0.0782608695652174,0.06630434782608696,0.011956521739130432,-0.017622039052496794,0.0422947131608549,15.277777777777773,-23.16938073394494,52.15663709407433,1.0,0.43
EQ,original,F,raw,-10.0,nonoverlap,state_hist,138,5,0.0782608695652174,0.06630434782608696,0.011956521739130435,-0.0014388489208633094,0.02517998739694376,15.277777777777777,-2.3202749140893477,32.04695540308747,1.0,0.1105
EQ,original,F,raw,-20.0,full,linear,509,5,0.05108055009823183,0.041699410609037334,0.0093811394891945,-0.000549210521838259,0.02108480798192771,18.365384615384613,-1.22050847457627,37.952532419867865,1.0,0.0925
EQ,original,F,raw,-20.0,full,threshold,509,5,0.05284872298624755,0.041699410609037334,0.011149312377210216,-0.0009912331305503114,0.024284000383914,21.096654275092934,-2.1836828124685574,40.45835429612606,1.0,0.0815
EQ,original,F,raw,-20.0,full,historical,509,5,0.06895874263261297,0.041699410609037334,0.02725933202357564,0.011718324482570807,0.046553425043711835,39.529914529914535,19.796296296296298,58.17435082140963,1.0,0.005
EQ,original,F,raw,-20.0,full,state_hist,509,5,0.045579567779960715,0.041699410609037334,0.00388015717092338,-0.005908337863373974,0.013473139729714883,8.51293103448276,-13.647589076168122,28.601806679359036,1.0,0.421
EQ,original,F,raw,-20.0,nonoverlap,linear,138,5,0.07246376811594203,0.05670289855072464,0.01576086956521739,-0.0006871812818718134,0.034860801499645364,21.749999999999996,-1.4751838235294121,44.231730769230765,1.0,0.089
EQ,original,F,raw,-20.0,nonoverlap,threshold,138,5,0.0746376811594203,0.05670289855072464,0.01793478260869565,0.0017696244358478396,0.0363384625632827,24.029126213592228,3.2202851496329763,45.45575435203095,1.0,0.041
EQ,original,F,raw,-20.0,nonoverlap,historical,138,5,0.0782608695652174,0.05670289855072464,0.02155797101449275,0.0022050772863890077,0.0435596454326923,27.54629629629629,3.5321969696969684,51.62268518518518,1.0,0.045
EQ,original,F,raw,-20.0,nonoverlap,state_hist,138,5,0.053623188405797106,0.05670289855072464,-0.003079710144927538,-0.029227941176470585,0.023616996233521655,-5.7432432432432465,-106.29464285714286,35.455466830466825,1.0,0.8105
EQ,original,F,calibrated,-5.0,full,linear,509,5,0.06247544204322201,0.060707269155206287,0.0017681728880157173,-0.006184674253977054,0.00892897196261682,2.8301886792452833,-10.24135056494776,13.51656788793104,1.0,0.6595
EQ,original,F,calibrated,-5.0,full,threshold,509,5,0.06385068762278978,0.060707269155206287,0.0031434184675834973,-0.005580438640973631,0.011533697683817026,4.923076923076924,-9.254599567099573,17.178169838200887,1.0,0.483
