definition,variant,information,calibration,threshold_bp,sample,strategy,n,events,alarms,true_positives,false_positives,false_negatives,alarm_rate,recall,precision,cost,missed_severity_bp
EQ,original,F,raw,-5.0,full,ml_selected,509,164.0,312.5,146.25,166.25,17.75,0.6139489194499018,0.8917682926829268,0.468,0.06404715127701376,0.31356157252974026
EQ,original,F,raw,-5.0,full,linear,509,164.0,391.0,154.0,237.0,10.0,0.768172888015717,0.9390243902439024,0.3938618925831202,0.06424361493123773,0.2595694666011476
EQ,original,F,raw,-5.0,full,threshold,509,164.0,327.0,145.0,182.0,19.0,0.6424361493123772,0.8841463414634146,0.4434250764525994,0.06935166994106091,0.35103889793481713
EQ,original,F,raw,-5.0,full,historical,509,164.0,509.0,164.0,345.0,0.0,1.0,1.0,0.32220039292730845,0.06777996070726916,0.0
EQ,original,F,raw,-5.0,full,state_hist,509,164.0,250.0,133.0,117.0,31.0,0.4911591355599214,0.8109756097560976,0.532,0.07779960707269157,0.41339658433851645
EQ,original,F,raw,-5.0,full,always_alarm,509,164.0,509.0,164.0,345.0,0.0,1.0,1.0,0.32220039292730845,0.06777996070726916,0.0
EQ,original,F,raw,-5.0,full,never_alarm,509,164.0,0.0,0.0,0.0,164.0,0.0,0.0,,0.2899803536345776,3.123812547357424
EQ,original,F,raw,-5.0,nonoverlap,ml_selected,138,48.0,84.75,42.5,42.25,5.5,0.6141304347826086,0.8854166666666666,0.5014749262536873,0.06648550724637682,0.38489346881777636
EQ,original,F,raw,-5.0,nonoverlap,linear,138,48.0,102.0,44.0,58.0,4.0,0.7391304347826086,0.9166666666666666,0.43137254901960786,0.06811594202898552,0.38155073510676957
EQ,original,F,raw,-5.0,nonoverlap,threshold,138,48.0,88.0,42.0,46.0,6.0,0.6376811594202898,0.875,0.4772727272727273,0.07246376811594203,0.44893525519319905
EQ,original,F,raw,-5.0,nonoverlap,historical,138,48.0,138.0,48.0,90.0,0.0,1.0,1.0,0.34782608695652173,0.06521739130434782,0.0
EQ,original,F,raw,-5.0,nonoverlap,state_hist,138,48.0,72.0,40.0,32.0,8.0,0.5217391304347826,0.8333333333333334,0.5555555555555556,0.07536231884057973,0.4426602734436156
EQ,original,F,raw,-5.0,nonoverlap,always_alarm,138,48.0,138.0,48.0,90.0,0.0,1.0,1.0,0.34782608695652173,0.06521739130434782,0.0
EQ,original,F,raw,-5.0,nonoverlap,never_alarm,138,48.0,0.0,0.0,0.0,48.0,0.0,0.0,,0.3130434782608696,3.379424102991905
EQ,original,F,raw,-10.0,full,ml_selected,509,104.0,160.75,80.0,80.75,24.0,0.31581532416502944,0.7692307692307693,0.4976671850699845,0.05830058939096268,0.3333119327378337
EQ,original,F,raw,-10.0,full,linear,509,104.0,244.0,88.0,156.0,16.0,0.4793713163064833,0.8461538461538461,0.36065573770491804,0.058939096267190585,0.2575421832732846
EQ,original,F,raw,-10.0,full,threshold,509,104.0,172.0,71.0,101.0,33.0,0.3379174852652259,0.6826923076923077,0.4127906976744186,0.0781925343811395,0.4032005375922296
